SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
726 1031 1 U801 P5 gwa-t10 C3 C3 C3
27814 1341 2 U801 P5 gwa-t10 C3 C3 C3
27814 562 2 U801 P5 gwa-t10 C3 C3 C3
30322 1170 3 U801 P5 gwa-t10 C3 C3 C3
30450 547 4 U801 P5 gwa-t10 C3 C3 C3
34312 286 5 U801 P5 gwa-t10 C3 C3 C3
38693 515 6 U801 P5 gwa-t10 C3 C3 C3
63736 1249 7 U801 P5 gwa-t10 C3 C3 C3
63736 386 7 U801 P5 gwa-t10 C3 C3 C3
63736 2998 7 U801 P5 gwa-t10 C3 C3 C3
96531 1145 8 U801 P5 gwa-t10 C3 C3 C3
96531 2056 8 U801 P5 gwa-t10 C3 C3 C3
96531 81 8 U801 P5 gwa-t10 C3 C3 C3
97398 3020 9 U801 P5 gwa-t10 C3 C3 C3
150693 3905 10 U801 P5 gwa-t10 C3 C3 C3
151099 247 11 U801 P5 gwa-t10 C3 C3 C3
151099 51 11 U801 P5 gwa-t10 C3 C3 C3
151099 944 11 U801 P5 gwa-t10 C3 C3 C3
335313 112 12 U801 P5 gwa-t10 C3 C3 C3
335313 58 12 U801 P5 gwa-t10 C3 C3 C3
371231 4404 13 U801 P5 gwa-t10 C3 C3 C3
425663 348 14 U801 P5 gwa-t10 C3 C3 C3
545243 4193 15 U801 P5 gwa-t10 C3 C3 C3
549138 119 16 U801 P5 gwa-t10 C3 C3 C3
551027 182 17 U801 P5 gwa-t10 C3 C3 C3
551027 385 17 U801 P5 gwa-t10 C3 C3 C3
551486 5514 18 U801 P5 gwa-t10 C3 C3 C3
556728 2734 19 U801 P5 gwa-t10 C3 C3 C3
556728 1832 19 U801 P5 gwa-t10 C3 C3 C3
573141 622 20 U801 P5 gwa-t10 C3 C3 C3
573141 109 20 U801 P5 gwa-t10 C3 C3 C3
573141 5350 20 U801 P5 gwa-t10 C3 C3 C3
604590 604 21 U801 P5 gwa-t10 C3 C3 C3
605889 632 22 U801 P5 gwa-t10 C3 C3 C3
605889 176 22 U801 P5 gwa-t10 C3 C3 C3
