U101 U103 U104 U107 U109 U11 U110 U112 U115 U12 U121 U125 U126 U127 U128 U13 U132 U134 U135 U137 U139 U140 U143 U144 U145 U146 U148 U151 U152 U155 U157 U16 U160 U161 U164 U165 U169 U17 U170 U171 U173 U174 U175 U176 U177 U179 U18 U180 U185 U186 U19 U191 U195 U197 U198 U20 U203 U204 U207 U209 U21 U212 U215 U218 U22 U225 U23 U238 U242 U245 U249 U250 U252 U253 U255 U257 U258 U26 U262 U268 U269 U27 U28 U282 U287 U29 U291 U293 U310 U32 U322 U329 U331 U341 U35 U351 U355 U361 U365 U379 U38 U380 U389 U39 U392 U4 U406 U41 U42 U44 U47 U50 U51 U52 U53 U55 U56 U59 U60 U61 U63 U65 U66 U67 U69 U7 U72 U73 U74 U75 U76 U77 U8 U81 U82 U84 U87 U9 U90 U91 U92 U93
U101 0 0.629349363507779 0.328275000752355 0.415110566431236 0.647122524752475 0.537834649890982 0.590391311200585 0.315639897323066 0.726911733726564 0.254222240405859 0.52241733607323 0.14721046793476 0.66167592368993 0.605216948100482 0.517187317810122 0.418834766688348 0.178903274942879 0.31459675093723 0.380626053871763 0.247259326930199 0.505280528052805 0.241398797413988 0.46602362029925 0.310220376876397 0.416949903945618 0.0952412808848453 0.136916835699797 0.2449287611688 0.265468309836764 0.148903125606678 0.0942907374849634 0.148755804784018 0.279295929592959 0.321335641359236 0.362535514421007 0.117096001635562 0.24200701320132 0.170623606863304 0.200329111123403 0.483186156453483 0.39419801980198 0.296231236026828 0.339378937893789 0.134335453412891 0.24374182701289 0.60884900990099 0.290799946136346 0.277945591169286 0.243719521205852 0.358733341688599 0.426844392513786 0.366458940011648 0.41561849317979 0.382680416056046 0.234848484848485 0.133250084433937 0.445533553355336 0.206440270195244 0.204401640814337 0.147109981268397 0.293668816422927 0.522018941024537 0.312116925978312 0.294583170614045 0.444157897465139 0.293198155431982 0.0901933050447902 0.193729372937294 0.274441020260967 0.496442120847599 0.306655665566557 0.475258827252588 0.384972588167908 0.564071407140714 0.35984598459846 0.33973329765409 0.486633663366337 0.188240375761714 0.363078307830783 0.263439677301063 0.473512735888974 0.386906199330734 0.240248121197662 0.453257282249964 0.250081826364455 0.303285218999539 0.339551638090638 0.325795717780119 0.196216407355021 0.204115560809812 0.405366336633663 0.504990418396678 0.549306930693069 0.279496699669967 0.373481678064714 0.313839011019746 0.293276908335995 0.599763237193285 0.297870353073043 0.176001885902876 0.272316990735218 0.507562173540189 0.565992125528342 0.281521568141407 0.353746320578004 0.378521469447076 0.565715395068919 0.150397375319319 0.232907565565717 0.278092595428788 0.587291973878239 0.348290494074038 0.275835396039604 0.194539453945395 0.215498857578066 0.411195066875109 0.581368851170831 0.208887456793017 0.189101553467449 0.471773493138788 0.224928519104894 0.311544002697483 0.144372600525359 0.120253273160938 0.535617217183903 0.520136976103625 0.0804494818516847 0.322784970804773 0.226237623762376 0.169528123025068 0.325155524401998 0.390046899426785 0.117524752475248 0.0769911504424779 0.348350294639492 0.155387868883976 0.513591359135914 0.454694434960737 0.33703121746209 0.276826968411127 0.159072664023159 0.420465619396585
U103 0.629349363507779 0 0.787993920972644 0.301015976423143 0.808035714285714 0.158612686952037 0.932447798222038 0.413227513227513 0.96306990881459 0.718004722550177 0.796765498652291 0.57009484291642 0.882984901277584 0.889660740561441 0.300230414746544 0.338807785888078 0.568131868131868 0.456380027739251 0.274048658764816 0.769771998574991 0.776984126984127 0.428277886497065 0.265823190262652 0.477649769585253 0.848614072494669 0.617438867438867 0.712503622138511 0.658710801393728 0.763900357830994 0.637488328664799 0.650400534045394 0.687673830594185 0.75984126984127 0.810610881323576 0.472857142857143 0.65299199325748 0.630952380952381 0.72677636499626 0.699361532322426 0.323230373230373 0.864285714285714 0.717741935483871 0.365584415584416 0.679517502365184 0.789353099730458 0.895535714285714 0.788925247980366 0.72134786117837 0.736673773987207 0.837703435804702 0.849482401656315 0.721428571428571 0.372256284488044 0.820190820010315 0.572943722943723 0.723942036419595 0.882063492063492 0.695460614152203 0.625887465994294 0.631660231660232 0.462712975098296 0.182298136645963 0.326190476190476 0.871478289691747 0.833395661929693 0.786203522504892 0.572222222222222 0.464285714285714 0.732497634815516 0.887650200267023 0.760582010582011 0.840998043052838 0.373494687131051 0.879437229437229 0.71984126984127 0.770592020592021 0.904285714285714 0.515935214211076 0.698701298701299 0.388095238095238 0.887362637362637 0.302264808362369 0.602839931153184 0.93167701863354 0.452007083825266 0.820689730105611 0.415679442508711 0.920896898127121 0.532142857142857 0.792643923240938 0.536857142857143 0.249078341013825 0.808571428571428 0.396807359307359 0.852546439260772 0.356456820016142 0.792396313364055 0.931987577639751 0.883692722371968 0.65 0.695209409064831 0.204068241469816 0.123976608187135 0.407039686360823 0.610617760617761 0.304128440366972 0.286134453781513 0.734244760298723 0.678680479825518 0.370018198362147 0.897112462006079 0.331034482758621 0.491741071428571 0.679437229437229 0.489560439560439 0.883145363408521 0.865873015873016 0.452451394759087 0.615696087352138 0.829782790309106 0.725622229798841 0.737328615656789 0.505102040816327 0.606003961376578 0.837675070028011 0.230451127819549 0.595871837600364 0.355128205128205 0.752380952380952 0.629179331306991 0.656257901390645 0.890601503759399 0.584761904761905 0.635082174462705 0.861221647433347 0.680443828016643 0.846103896103896 0.253940886699507 0.84688154420468 0.414285714285714 0.673271323271323 0.890958942632171
U104 0.328275000752355 0.787993920972644 0 0.635885402743813 0.664466185410334 0.734596688356578 0.615028657643431 0.621130248789823 0.76838905775076 0.223276143585621 0.534180191546711 0.404431888408228 0.711715718980898 0.585638809495122 0.71376278720136 0.680192872303448 0.466027589431845 0.550506093782276 0.687205505634382 0.175943120921102 0.546757852077001 0.483018972672135 0.710850927528725 0.606471222668889 0.322766864764324 0.309469043511597 0.324913531076407 0.546519386166506 0.287972935248793 0.210421757355424 0.319370508195324 0.359406801696389 0.14360914105595 0.0804624934843387 0.672921897713757 0.279671122826837 0.241261398176292 0.479861232673976 0.487213665925184 0.711684328705605 0.379063829787234 0.149916658495931 0.587114304135581 0.360574890798929 0.286201754889029 0.592116261398176 0.246361612922176 0.256687216297746 0.235097309803566 0.287381529503803 0.357957799215894 0.654182013230824 0.671719477673272 0.410235589742464 0.476167449571705 0.262980687901426 0.375508274231678 0.19677300230094 0.49080875346057 0.361948574714532 0.604026658486936 0.748143253601163 0.614657210401891 0.470200777156397 0.48641767055491 0.125848357413499 0.374873353596758 0.34242654508612 0.0847239276152902 0.534056756526432 0.317347742879658 0.487293722502117 0.66787661081665 0.602818458137607 0.316942474389283 0.177072208987103 0.336656534954407 0.454189732986505 0.349190384084001 0.458831475852752 0.25557893643 0.616576469716065 0.536876991247666 0.177117748116823 0.440603883543922 0.172619779679182 0.560654360342996 0.517061238782307 0.350075987841945 0.219253277684526 0.709641337386018 0.729789685263261 0.610577507598784 0.567796122317399 0.291086755018432 0.470454896708052 0.337832685121635 0.566882516188714 0.271434306360039 0.341033434650456 0.252780117430207 0.751106909508652 0.702287633978563 0.546259290858191 0.628801445822722 0.635843953040908 0.707729900470827 0.418156096710867 0.508540801410706 0.510686697771669 0.621580547112462 0.583272193690389 0.567557940729483 0.21792392005158 0.50317979892448 0.112966369825272 0.586795001688619 0.434191831082175 0.472002271568608 0.499688938658704 0.106368470304894 0.367357693357298 0.421189752496743 0.398782087413674 0.544728529709756 0.714605663093905 0.384271241945933 0.557789728002494 0.267933130699088 0.167933130699088 0.36433816607042 0.177299632058871 0.381641337386018 0.30397288646206 0.159451702212326 0.436229232449022 0.526692456479691 0.631883450372078 0.294168356899735 0.414792299898683 0.397967185201228 0.140323217576526
U107 0.415110566431236 0.301015976423143 0.635885402743813 0 0.759330890336591 0.167187996095909 0.832848583698271 0.220804680902401 0.926310439623906 0.524839152556061 0.669883022965194 0.364649645658472 0.851486983925214 0.849803587627311 0.105632193685152 0.138812937381615 0.356435312787104 0.231323065895028 0.153175066023735 0.557642267837464 0.697176981541802 0.233962488658843 0.117317402121889 0.266148296031663 0.706965984410197 0.417216891158259 0.49939544502514 0.479317285029528 0.557860999709204 0.446190202465351 0.430081078064274 0.495469526197957 0.584914947520811 0.630006601713544 0.278840579710145 0.443707782037608 0.530995521172638 0.514402169278783 0.51660358245531 0.102532499926637 0.683991313789359 0.600329235403313 0.189803573191195 0.468652702576382 0.57367914285129 0.856833604777416 0.604531814334579 0.58308029223946 0.553612231999611 0.668700779285037 0.714002468286564 0.525308807562113 0.181021748146491 0.607603570126648 0.359490672194255 0.503129647931664 0.742808541440463 0.510923721675952 0.439372781357528 0.419072981776565 0.241610136568748 0.265562007269981 0.241158678455095 0.659829550750596 0.69165089164407 0.602003480433716 0.357478930768833 0.324701411509229 0.578539019637451 0.732736663723908 0.591108698274822 0.728258444513855 0.158402203856749 0.781798440430362 0.608806852455061 0.643469202101124 0.795135722041259 0.306563330712494 0.626796959826276 0.188611412715647 0.777610735265458 0.172615737325358 0.433728398937771 0.761093801633385 0.23665885984512 0.614522316221538 0.215010195704563 0.705090396412938 0.3917364665736 0.576595848120959 0.351009771986971 0.154574270603481 0.782399565689468 0.187549353469549 0.666593727917523 0.186495886932038 0.573791927895112 0.872898078647972 0.662589883842419 0.438498526446409 0.553641275198514 0.149187377636427 0.37004019277292 0.211800093783473 0.414502450333069 0.237315414466298 0.199974452321645 0.514896008993817 0.459578453556125 0.177264594503541 0.828360708757826 0.128723330284602 0.284066232356135 0.472253479419603 0.279144742336925 0.728958321427891 0.822811643658549 0.248019582522213 0.410630925952821 0.718231517991504 0.536448656254616 0.533758231562812 0.314542755212834 0.385548448769987 0.780664057153806 0.121084470132987 0.387820191755239 0.149219076254907 0.550244299674267 0.48260447709474 0.569196621602145 0.703954511686382 0.367372421281216 0.420302095644403 0.672540141967524 0.468844544237479 0.73485342019544 0.190205548691452 0.648883186660106 0.375027144408252 0.459366088030583 0.735294463395659
U109 0.647122524752475 0.808035714285714 0.664466185410334 0.759330890336591 0 0.772224729241877 0.65478020984081 0.741898148148148 0.290735815602837 0.638817148760331 0.40497248427673 0.684582468879668 0.334603658536585 0.736650670322974 0.769473246287762 0.757983576642336 0.680528846153846 0.68724716828479 0.763782751091703 0.631974750623441 0.273263888888889 0.71382705479452 0.763312780269058 0.732123655913979 0.609219527363184 0.667370495495496 0.612671146044625 0.679496951219512 0.549704961464354 0.721303104575163 0.651314252336449 0.650304203539823 0.645208333333333 0.635555864884929 0.737807971014493 0.678327802359882 0.510416666666667 0.713432591623037 0.706442039106145 0.772240990990991 0.589458333333333 0.695204493087558 0.747443181818182 0.699848233995585 0.599646226415094 0.488541666666667 0.459597202338344 0.551229990583804 0.653995646766169 0.542325949367089 0.541375517598344 0.778897058823529 0.738331545064378 0.506637334536703 0.745265151515152 0.587494389587074 0.569583333333333 0.550379672897196 0.710254102802291 0.720861486486487 0.744791666666667 0.788179347826087 0.752480158730159 0.743607405259087 0.293520942408377 0.644477739726027 0.646478174603175 0.613541666666667 0.671426600441501 0.236166277258567 0.583680555555556 0.56949200913242 0.73454717630854 0.310700757575758 0.639236111111111 0.491835585585586 0.46625 0.715566222570533 0.601704545454545 0.675115740740741 0.708733974358974 0.718604819976771 0.748368473895582 0.685461956521739 0.596031336088154 0.544634481796978 0.663744918699187 0.731241428215199 0.628869047619048 0.551772388059702 0.783666666666667 0.774361559139785 0.601041666666667 0.714488636363636 0.587963155415142 0.628001412429379 0.529177867383513 0.371059782608696 0.725923742138365 0.496279761904762 0.479856927710843 0.787688648293963 0.737938596491228 0.687191562349543 0.760416666666667 0.731583114897335 0.78125 0.693902824620573 0.745149491094148 0.654757165605096 0.491356382978723 0.718544745484401 0.723958333333333 0.461458333333333 0.68349358974359 0.657620614035088 0.447172619047619 0.59932815581854 0.719513004246285 0.287828947368421 0.656908810660302 0.490050954592363 0.672300170068027 0.659851603119584 0.653492647058824 0.761591478696742 0.643176696712619 0.67323717948718 0.536458333333333 0.692708333333333 0.564620206489675 0.624725877192982 0.68625 0.664463495575221 0.636388695450325 0.695894012944984 0.665435606060606 0.705244252873563 0.579130815806246 0.667559523809524 0.698402948402948 0.642265419947507
U11 0.537834649890982 0.158612686952037 0.734596688356578 0.167187996095909 0.772224729241877 0 0.886171874591838 0.290045460623078 0.956932176050388 0.649807560342513 0.751345276207343 0.504186826849619 0.884373807636993 0.880438322232469 0.180040518983107 0.211151809006825 0.472007775617884 0.328852826749851 0.170372676682484 0.696530334812788 0.75292819895708 0.322470039397986 0.133922066989364 0.389006637941074 0.801295867234226 0.556590886915797 0.611276279464855 0.544554019547416 0.681156950443902 0.583881928222553 0.550804683018995 0.579874977370265 0.725805588982484 0.752812105521295 0.346196829383142 0.577734470677188 0.579516395908544 0.641295102727427 0.597165359094851 0.177106709597684 0.809992779783394 0.685171937646609 0.2483973307078 0.606916584980993 0.701382739595395 0.891944945848375 0.72995123640395 0.673091435680924 0.683091761409559 0.796973297384576 0.796036355210739 0.623168400934381 0.256255713422476 0.731046931407942 0.48583305984028 0.618757656086954 0.834464500601685 0.643813893856068 0.516936320908949 0.543077373402283 0.360944589805584 0.155281745408884 0.256432296143488 0.801213699984085 0.778857240062752 0.737822066168834 0.473955647240846 0.424879663056558 0.693595046261984 0.8327271500388 0.713076614520658 0.810774277566227 0.254676731211027 0.836494913029209 0.667977002273031 0.737730510293687 0.88028880866426 0.380621225324325 0.678247456514605 0.301965503409547 0.854963127526304 0.205373652498774 0.560915140707233 0.900604300737718 0.334188620699943 0.752704286330902 0.271345132223885 0.834981186521812 0.494004641567819 0.705372056684089 0.424953068592058 0.136965762198672 0.798194945848375 0.292063231593918 0.781806951049237 0.281455873054723 0.707173634563876 0.928300109872861 0.774538519174443 0.564466219700877 0.639815580009569 0.126533822261387 0.202852196677011 0.286880202458072 0.500380524929261 0.200216701127508 0.14716500318539 0.637701584673173 0.578424780224323 0.270485475801763 0.884399723481066 0.212685173658658 0.382586868231047 0.60072202166065 0.413746181616218 0.834095995102075 0.865795656409375 0.389037233247175 0.536710432523167 0.782179576498406 0.655019256782954 0.673676386762191 0.451189862226479 0.498582860432087 0.810519875820364 0.103308813550121 0.487778079789902 0.229130797000833 0.690162454873646 0.589177356171749 0.613702437621801 0.812312369371081 0.48072202166065 0.553924794734993 0.813331925491655 0.608776418632365 0.805743354118805 0.129515747541392 0.785883072986772 0.411827402441121 0.567376861600688 0.853982489553427
U110 0.590391311200585 0.932447798222038 0.615028657643431 0.832848583698271 0.65478020984081 0.886171874591838 0 0.823739079165997 0.758703082181236 0.395103515087728 0.528520328755154 0.732542289423591 0.694680738413752 0.790428660099786 0.85312365924849 0.835229453417418 0.745151953690304 0.73835583718545 0.846142543873508 0.474232291918539 0.537071876507477 0.765243277891217 0.857196628010357 0.818019700294104 0.315128410048167 0.578101980417465 0.631019511951694 0.720827009283117 0.351074044021352 0.727552188265562 0.615304921757713 0.655136201221777 0.531448785978453 0.539720040353382 0.810636129113446 0.687584578802898 0.421249397009165 0.748357718156401 0.745737292726111 0.85785061472471 0.359282199710564 0.586900704915737 0.834206025522958 0.693054503982136 0.559238729759987 0.548570911722142 0.390466650161033 0.36401023653593 0.438889128885241 0.377878327135503 0.305929834338568 0.864506682557249 0.822493990795203 0.404891148181623 0.822764548524317 0.572152346013245 0.360295867502814 0.464084287974898 0.767781367902493 0.714876598740564 0.81184030589891 0.90730510287548 0.798606804033722 0.801964938671215 0.468696251733204 0.522847570525147 0.676571796108699 0.623794018330921 0.57267037885395 0.523299565846599 0.326804952564721 0.47895644588942 0.806114028058509 0.594579660570977 0.432127351664255 0.455196151288771 0.316859623733719 0.73390373619926 0.344554663860018 0.719054510371442 0.597511348596732 0.791172718425551 0.803218663365474 0.617756244887686 0.633798184449415 0.445756801010163 0.707446495593755 0.794162137525485 0.699493487698987 0.515573363284878 0.865412445730825 0.884523364922272 0.595412445730825 0.777077029338245 0.357626223808701 0.671596883252798 0.320391723594188 0.476977285597433 0.789299074352183 0.561725587485356 0.378312090620078 0.89042849383335 0.854215858024221 0.743551975429328 0.841577032893965 0.809137516050778 0.866859623733719 0.694577109207029 0.814617602545266 0.710029114745809 0.616390060658312 0.793274543212165 0.792205589725036 0.432127351664255 0.755204274741178 0.579138844457985 0.501780258654354 0.627535772698859 0.767757119900695 0.483315137820431 0.575997568464644 0.349831759956629 0.658657963909153 0.702144682686785 0.324702963674616 0.844869046712294 0.633824064283555 0.734439125756058 0.42269657501206 0.638367152138436 0.359540488966869 0.471216391195064 0.702127351664255 0.623277794142131 0.483937936622472 0.74227586303795 0.435021707670043 0.791426717900095 0.333720723238506 0.54795672248639 0.743675263212166 0.549718256093531
U112 0.315639897323066 0.413227513227513 0.621130248789823 0.220804680902401 0.741898148148148 0.290045460623078 0.823739079165997 0 0.921907013396375 0.501453933272115 0.660726764500349 0.288765944367604 0.84327009936766 0.842185097658411 0.271164021164021 0.159975669099757 0.235612535612536 0.158576051779935 0.238921235646126 0.539946430220744 0.683333333333333 0.153475393201421 0.171939877096828 0.170728793309438 0.685461580983969 0.391641641641642 0.433213131996093 0.295392953929539 0.539124384500107 0.419389978213508 0.386690896503981 0.370042608980662 0.570740740740741 0.623628639775633 0.121433172302737 0.40986561783022 0.486689814814815 0.423017258095792 0.367732257397062 0.241991991991992 0.672074074074074 0.584698754053593 0.201515151515152 0.38980868285504 0.541229909154437 0.840972222222222 0.590716880086959 0.567168863779033 0.533029297954671 0.655297702766057 0.697319990798252 0.386143790849673 0.120330631060245 0.506718812675491 0.27020202020202 0.415120686215839 0.718148148148148 0.487971616476289 0.281519327037209 0.390890890890891 0.265290519877676 0.379710144927536 0.246031746031746 0.592162928589843 0.66254605390731 0.583967529173009 0.277248677248677 0.289814814814815 0.565734608780966 0.71497057805469 0.568518518518518 0.707508878741755 0.108968472604836 0.752693602693603 0.594444444444444 0.618868868868869 0.77962962962963 0.171310809241844 0.597676767676768 0.174074074074074 0.752849002849003 0.238611433733385 0.410754127621597 0.743961352657005 0.200489745944291 0.590784121511228 0.152213188798554 0.624515997201615 0.373941798941799 0.501658374792703 0.191777777777778 0.287335722819594 0.771481481481481 0.0797558922558922 0.651880180812672 0.169334588826114 0.545400238948626 0.837278582930757 0.588923829489867 0.351058201058201 0.542280232039268 0.24766695829688 0.41374269005848 0.0854776297722855 0.300900900900901 0.281017911751857 0.385076252723312 0.408750234213978 0.36728866270851 0.116149361372291 0.816587864460205 0.135148695493523 0.156539351851852 0.4496632996633 0.239316239316239 0.710282651072125 0.813492063492063 0.224906859522244 0.320771408351026 0.703216374269006 0.517148413329798 0.504701295722968 0.286092214663643 0.266769369022402 0.767740429505135 0.274505708716235 0.2607713758297 0.104415954415954 0.515740740740741 0.466115051221434 0.546624057686005 0.686159844054581 0.291111111111111 0.373287446738774 0.647761271020324 0.44237684286228 0.717845117845118 0.243231162196679 0.633506833793641 0.353703703703704 0.334607334607335 0.720235491396909
U115 0.726911733726564 0.96306990881459 0.76838905775076 0.926310439623906 0.290735815602837 0.956932176050388 0.758703082181236 0.921907013396375 0 0.642236680147705 0.389923725411481 0.840416703451929 0.159384189586577 0.87917185687085 0.950949439487531 0.934938137391935 0.840425531914894 0.837884734558975 0.945326581808046 0.694906351143418 0.254255319148936 0.862799961138638 0.943764907928633 0.914481811942347 0.648062877103842 0.702396013034311 0.73015407190022 0.817773741567203 0.508175842796431 0.85014601585315 0.746709087293697 0.770401054415364 0.719810874704492 0.708685968819599 0.909528214616096 0.804493817862298 0.566578014184397 0.8406149047566 0.843795316771663 0.956948437799502 0.559744680851064 0.796823217962545 0.926499032882012 0.834493447935748 0.655560016057808 0.35531914893617 0.536221995461399 0.595360019233081 0.672800889171165 0.504928629140856 0.526937139333069 0.96360450563204 0.923075518217514 0.441846531991704 0.908252740167634 0.692807211887391 0.514468085106383 0.601312388148737 0.862558923224397 0.842811960897067 0.899472965059535 0.970212765957447 0.89419115163796 0.89826726563657 0.316074412387212 0.67391431069659 0.7741979061128 0.731028368794326 0.758376778920671 0.255517995625373 0.538297872340426 0.495715534829496 0.904097063478108 0.302901353965184 0.640189125295508 0.61157753498179 0.474468085106383 0.839204962315747 0.595744680851064 0.811347517730497 0.8126568466994 0.878108088071762 0.901076647013586 0.788374961455443 0.730420256725866 0.611343202428652 0.787095658190625 0.889740518644378 0.79468085106383 0.626008256589393 0.962212765957447 0.958115991763898 0.499787234042553 0.874605093488072 0.575123293874576 0.763962014665224 0.494028826355525 0.30786308973173 0.885668406262545 0.654711246200608 0.563052208835341 0.964963422125426 0.888341420928207 0.83642938362409 0.935020126509488 0.902741139399348 0.965957446808511 0.800473610562951 0.911417898327107 0.807738175904594 0.415957446808511 0.890493658945603 0.891389627659574 0.558413926499033 0.852373158756138 0.742537638422297 0.375582573454914 0.722787359939569 0.861760852870759 0.286972751026502 0.757152287614889 0.467992885844147 0.755036908380373 0.798620893100778 0.726849037487335 0.943401055831067 0.74497867827892 0.831969448990726 0.529964539007092 0.796808510638298 0.551007343249859 0.638297872340426 0.809007092198582 0.767501412163434 0.683237519508485 0.831171245610411 0.696131528046422 0.889508437270726 0.552670761970628 0.757852077001013 0.84478017669507 0.740364801474284
U12 0.254222240405859 0.718004722550177 0.223276143585621 0.524839152556061 0.638817148760331 0.649807560342513 0.395103515087728 0.501453933272115 0.642236680147705 0 0.520723530329019 0.362381262645314 0.580716253443526 0.420058245908581 0.60801394760339 0.565631095292675 0.427336300063573 0.468233972558774 0.563688693204374 0.103847818470353 0.417768595041322 0.439171289482622 0.607360189749101 0.52178085843775 0.19109411619588 0.257784230511503 0.283114009354098 0.44807498488208 0.160139492667081 0.353124831199698 0.268680003089519 0.303261903020551 0.159522497704316 0.164004491155736 0.544448436938556 0.312723372095858 0.164858815426997 0.384821080870581 0.431467288425135 0.607594371230735 0.199636363636364 0.222736793997791 0.526170798898072 0.345158995128893 0.266708248869484 0.374793388429752 0.190225808550791 0.110989712222378 0.11437646478352 0.184203368553196 0.204582242526907 0.582771025765678 0.552293122406271 0.319032132947459 0.458677685950413 0.214600056382332 0.224903581267218 0.137607167683633 0.434350684994607 0.363022113022113 0.504374857836076 0.670140136543299 0.496490882854519 0.430327318747483 0.426022240491541 0.151047209328654 0.322707595434868 0.273415977961433 0.191319577472497 0.470981694601066 0.118212427303336 0.282410657005925 0.542148760330579 0.520661157024793 0.11233547597184 0.1633608815427 0.288595041322314 0.386016908900922 0.135537190082645 0.403060912151821 0.258571731299004 0.517096207561839 0.481907796475157 0.279536471433705 0.349586776859504 0.117405154792106 0.473587314385541 0.467790852057306 0.386924439197166 0.165609966695448 0.605223140495868 0.644048253798987 0.39603305785124 0.477892561983471 0.164101943948968 0.399019470514078 0.180485203945614 0.409701760689903 0.418945891158584 0.260448642266824 0.177417106442298 0.653682132708618 0.643883814218742 0.443092190341282 0.544427071699799 0.522699652307659 0.647869064981364 0.353512745111703 0.481849725569365 0.409054813165989 0.403253033233691 0.493148231079266 0.503241219008264 0.187052341597796 0.44170375079466 0.237905369484317 0.367191394464122 0.331991784439337 0.436690003684792 0.399816345270891 0.195088660525849 0.182744415730624 0.335123966942149 0.367586690920549 0.33899113364354 0.601367053998633 0.290320149338755 0.449290103835558 0.15564738292011 0.253798136099877 0.159833248007021 0.203958242714224 0.345454545454546 0.245761720178454 0.174773820760146 0.398170584931397 0.323140495867769 0.5479053861499 0.162815711433824 0.348209366391185 0.400446727719455 0.250939513242663
