U101 U103 U104 U107 U109 U11 U110 U112 U115 U12 U121 U125 U126 U127 U128 U13 U132 U134 U135 U137 U139 U140 U143 U144 U145 U146 U148 U151 U152 U155 U157 U16 U160 U161 U164 U165 U169 U17 U170 U171 U173 U174 U175 U176 U177 U179 U18 U180 U185 U186 U19 U191 U195 U197 U198 U20 U203 U204 U207 U209 U21 U212 U215 U218 U22 U225 U23 U238 U242 U245 U249 U250 U252 U253 U255 U257 U26 U262 U268 U269 U27 U28 U282 U287 U29 U291 U293 U310 U32 U322 U329 U341 U35 U351 U355 U361 U365 U379 U38 U380 U389 U39 U392 U4 U406 U41 U42 U44 U47 U50 U51 U52 U53 U55 U56 U59 U60 U61 U63 U65 U66 U67 U69 U7 U72 U73 U74 U75 U76 U77 U8 U81 U82 U84 U87 U9 U90 U91 U92 U93
U101 0 0.371012371244444 0.128941475518974 0.230281044341353 0.420160315954945 0.164220426368242 0.347308231740209 0.218083996196749 0.211883098979873 0.129385568501142 0.205317263381779 0.0968362282878412 0.163568319570435 0.634319346186045 0.221961060488956 0.131592325848817 0.0827706926731683 0.129080912762127 0.21103201399341 0.19844301323098 0.126841981230159 0.139957186092862 0.0957346925088861 0.160774709161806 0.217730318491464 0.12319369435119 0.0700236034618411 0.142931084352022 0.178154522316559 0.255746375865221 0.121313928309216 0.148099006344587 0.0419627276141108 0.103625708968451 0.318577567200699 0.0865623210536362 0.129642861782703 0.198550346088546 0.111572298669073 0.26977216332055 0.124288718148026 0.0793471595825764 0.153303114181632 0.129429280397022 0.154767812832329 0.263573513117031 0.127194323376965 0.0528255068121167 0.112238733840764 0.0898767716701014 0.0789926176085994 0.214411957488646 0.310933088046547 0.133869169633546 0.135586157255697 0.0675330703179392 0.130076762808999 0.174610234561543 0.216418220225631 0.0966391519386911 0.177947798915541 0.32863175307997 0.13361936867913 0.192682786081136 0.317944364633669 0.181706169247882 0.0738410962368225 0.119482035990575 0.246947890818859 0.146741201289951 0.140535205291171 0.235549889589546 0.324403076511228 0.267763118077831 0.0835154253546165 0.135454678149175 0.130675270201522 0.268225534766623 0.120828858190437 0.259861384444254 0.108617189262351 0.209429280397022 0.155055267313332 0.173357495135035 0.231120370803877 0.129601757311964 0.369387747523948 0.554452715743038 0.0874643183641486 0.244416873449131 0.358626093770406 0.178076193256459 0.13290457959185 0.145654748477329 0.126184908152882 0.0960994297157285 0.175162471936666 0.101426799007444 0.23697270471464 0.384276272242022 0.312830243760035 0.234717221991136 0.257147480850146 0.0734712751476785 0.328354175367909 0.269926564281403 0.143480471388136 0.248873096744828 0.284936311000827 0.286413626198572 0.198022703737715 0.0767496059191323 0.130378748533287 0.129776493417148 0.0767444168734491 0.131440015904455 0.101325167625785 0.166690994015472 0.119955596186496 0.079597120971595 0.188916459884202 0.060470947063689 0.232560570998411 0.128731483570193 0.0418517172164182 0.112366017753447 0.157328440060888 0.105478961266438 0.3649415101028 0.2482177320887 0.0992555831265509 0.111996606496449 0.106093241211361 0.219354838709677 0.416918979215517 0.113041080783016 0.188879956449081 0.202543424317618 0.105850212079356 0.185316184744402
U103 0.371012371244444 0 0.483922618003159 0.176047857366281 0.562281065200196 0.234600023417071 0.69302471066625 0.386606602568413 0.247002398081535 0.425079803706704 0.548818088386434 0.444784172661871 0.331701851633447 0.470144494410714 0.262567814600778 0.274907878575189 0.346717974457643 0.408379179009733 0.191461257223729 0.551729402994458 0.471403882480608 0.289251436379501 0.384081923650269 0.404045594693077 0.531754371783472 0.469286109573879 0.403930514125285 0.290197290020744 0.240221190656729 0.609617569102613 0.346563198879099 0.301541927462461 0.376523706850543 0.451840313463515 0.0659514200486301 0.374611553360862 0.476590455384384 0.525407042786823 0.378175781053479 0.169784172661871 0.478778423044697 0.423363849336235 0.242024009971354 0.464172661870504 0.488729016786571 0.128274738699606 0.473938900455567 0.399972851907154 0.462668067792957 0.429520790147543 0.379742678885937 0.30492398534003 0.149094517489457 0.258914607444479 0.4986545115053 0.357913669064748 0.297623816314432 0.513777657119587 0.207051830654436 0.38883179170949 0.509525712763123 0.231477975514325 0.342600819742612 0.448418939267191 0.657516092389247 0.504093277102456 0.40354213444531 0.475606069766036 0.584172661870504 0.320938754614286 0.485571394185767 0.529800013200449 0.116391534075644 0.631119494648184 0.439546869966713 0.452228262638758 0.270830197766473 0.570603371317545 0.471008268012456 0.607541552964525 0.367887508175278 0.57619359058208 0.507965990843689 0.22621570793158 0.29465313932664 0.261587451350395 0.292619776232886 0.458136716433305 0.409531021799102 0.262589928057554 0.0793988291148458 0.339044134711206 0.286960850481292 0.29970568999346 0.316546762589928 0.320333207118516 0.281534772182254 0.41401494189264 0.469888605244836 0.087994781572902 0.247524333474397 0.163873525457091 0.14079605880513 0.417256745784475 0.082057126575967 0.12588712813533 0.391481310364552 0.155309889548534 0.527002398081535 0.109032773780975 0.558941822919617 0.381535501082417 0.31186213819642 0.438285801497792 0.345726618705036 0.352283158636296 0.434532374100719 0.510960643250106 0.461171732470483 0.350529514276777 0.519498247555802 0.412157773780975 0.592615795004446 0.2743078264661 0.347278864806244 0.336794481940221 0.495979686838764 0.432885776939945 0.634635149023638 0.586083514141068 0.421452804311735 0.449146440155227 0.322931988981306 0.576241445867696 0.638439706950036 0.339478417266187 0.216850499192483 0.425843940232429 0.402789098770245 0.193220903336415
U104 0.128941475518974 0.483922618003159 0 0.337433722163309 0.403396756480654 0.273827901027654 0.410091905266879 0.209197629359471 0.315900562851782 0.0828622193506703 0.169076655052265 0.11880081300813 0.223110755697721 0.714204494782841 0.321321471411435 0.232317073170732 0.151351862355833 0.119858919177427 0.316286818605891 0.0870976827745806 0.104033247036381 0.243762906736619 0.127334651724896 0.256691479252455 0.153192655522061 0.104775962918 0.166666666666667 0.24783031572647 0.280393755094363 0.146501925545571 0.219877592034347 0.243668263861368 0.137294637041326 0.106598432055749 0.426393728222996 0.128138981093953 0.0997956838207125 0.131193838254172 0.214634146341463 0.367017738359202 0.0533352923890684 0.129090857883175 0.251056416339239 0.101138211382114 0.122851335656214 0.375134223040344 0.0946170242504717 0.131799355729406 0.099947474193843 0.0985944605208764 0.118649428195527 0.306603773584906 0.415264928511354 0.242841993637328 0.0985849934835226 0.169898227759256 0.227850507903743 0.127818683847216 0.314455072989392 0.180292848846856 0.144421860885275 0.435119811724433 0.227662520649111 0.290697674418605 0.216688061617458 0.0930193439865434 0.126767127543887 0.0951270752203321 0.182032520325203 0.242486525988855 0.0506845588901986 0.143292682926829 0.430826839388726 0.158536585365854 0.0863669457590098 0.177767354596623 0.235253597305847 0.169774790813602 0.126865671641791 0.168839360807401 0.16333361760191 0.102272727272727 0.0967184035476718 0.28144924602773 0.322929501358312 0.244502199120352 0.467265245043023 0.591146516303873 0.112506876948469 0.350216365066876 0.467204009084625 0.279972925440829 0.200006491082875 0.247089800443459 0.219007720652746 0.191698759092854 0.277497096399535 0.201923076923077 0.221577498033045 0.499903849235601 0.40674318507891 0.339325156257343 0.359358430540827 0.0739549324627104 0.444578604201884 0.37256921555702 0.247920862236145 0.353901384371149 0.22120325203252 0.38970189701897 0.167082773189937 0.135675365112314 0.240097371903952 0.138930272806751 0.15990243902439 0.209967793298111 0.169032174364297 0.0668220946915352 0.105263157894737 0.183608544159976 0.118527204502814 0.110221883468835 0.12595916689504 0.232169253510717 0.141007715809642 0.207411365350767 0.124205779872925 0.105060649536977 0.346907665505227 0.138033939863208 0.14097805693776 0.111859729093305 0.206716384078339 0.134756097560976 0.410382635936451 0.184112466124661 0.290163016426083 0.200750469043152 0.21078637510513 0.29577523987943
U107 0.230281044341353 0.176047857366281 0.337433722163309 0 0.515644206692465 0.121800062898027 0.525 0.324918732222674 0.190477517651431 0.314497552548229 0.403002070393375 0.288949275362319 0.27075908766928 0.583296755706691 0.0968950463292944 0.124337221633086 0.227586788001348 0.272868712702472 0.0466737942504158 0.407144601856375 0.330374058780666 0.141304347826087 0.272512730121426 0.246979107848673 0.417611138251099 0.328201849301594 0.252659950512549 0.139817284609229 0.0716273611266347 0.466819221967963 0.186117896108126 0.15344229657697 0.23067346148884 0.306521739130435 0.132442054234207 0.222826086956522 0.3353915319827 0.39033180778032 0.218470659775008 0.155533596837945 0.333542867120657 0.25426749673662 0.102401876569314 0.320217391304348 0.326811594202899 0.090251572327044 0.324492338358042 0.242924528301887 0.309412147858655 0.27367354458364 0.230150640447411 0.15557834290402 0.0820464767616192 0.114130434782609 0.356513441752406 0.19549577729121 0.14623317517188 0.369462674323216 0.0475028285113949 0.230294291629695 0.351006441223833 0.108714721586575 0.184219643166465 0.287436804853387 0.513615560640732 0.379010494752624 0.248497646081418 0.347141030325174 0.463840579710145 0.158211203387071 0.338079844835946 0.429178300757878 0.110071261049973 0.486823966065748 0.294256975989617 0.28720243950423 0.118064398762962 0.474246271025071 0.315768981181051 0.481446776611694 0.217429309820614 0.429446640316206 0.352193675889328 0.0754284683384449 0.129918097859165 0.196988595866001 0.149580751150799 0.539403147888421 0.272777051323962 0.103892005610098 0.156438127090301 0.173479910898441 0.142985767595244 0.150592885375494 0.154762277134814 0.227421815408085 0.112939958592132 0.240969899665552 0.360518934081346 0.210582471576301 0.101918158567775 0.0303970846946469 0.0684782608695652 0.279481912587014 0.187042617305209 0.0917156286721504 0.233595931392102 0.0291405275969207 0.451188405797101 0.123819108964036 0.417887709688463 0.222313994978195 0.153361981799798 0.294881683152571 0.239434782608696 0.187362920913431 0.28804347826087 0.37423273657289 0.298772623257749 0.187267080745342 0.374108138238573 0.267647946859903 0.457242305813385 0.15098814229249 0.207964091202806 0.175705961452264 0.3560467665327 0.321628691002093 0.525465838509317 0.449275362318841 0.26505016722408 0.296587977047791 0.173755454986262 0.439899257688229 0.552203829278022 0.213405797101449 0.0580301685891749 0.329765886287625 0.232576568858428 0.0868002483248775
U109 0.420160315954945 0.562281065200196 0.403396756480654 0.515644206692465 0 0.409068100697765 0.550808103801502 0.221510006361012 0.349979863068868 0.391916022329323 0.310695587135378 0.439267015706806 0.285125740279804 0.738702459701086 0.515639751952622 0.440697228961818 0.366410974471367 0.324915306436711 0.485892484193059 0.450627814708055 0.372371230512738 0.466040471084381 0.341068817508608 0.474331950771741 0.314547914583211 0.32207244557106 0.448420806197591 0.412970160280089 0.508795542335698 0.434003857812069 0.504794399670569 0.508510753478157 0.451729923718676 0.461142015706806 0.513171096557637 0.483286347160693 0.356020942408377 0.291898594654175 0.488880752755098 0.484198000951928 0.421224163670388 0.463054544575167 0.499419150527539 0.39260034904014 0.377362253802044 0.503605650498864 0.472648104532021 0.422285883631335 0.45235994274173 0.424860236045789 0.416860376702657 0.51775659389509 0.508485286152735 0.451513771909857 0.346029335358299 0.434630306226223 0.46354318497184 0.331719845895485 0.532793067206446 0.464437083734017 0.381859608299399 0.529943969872325 0.456623766713252 0.523000121758188 0.286635436759438 0.401588734428597 0.389585487044386 0.37119978881605 0.31500872600349 0.511520285506991 0.412872963662197 0.347903357509967 0.531163780930243 0.523624058230111 0.457177463468 0.456137025893724 0.515230344585862 0.379638475942982 0.358716886770337 0.396100379129807 0.490297660454729 0.373980644137712 0.49155640171347 0.47722187221655 0.532820501381396 0.348467942665866 0.589559547383864 0.637748878755465 0.388891075857182 0.503757811180544 0.547025033384912 0.535541492394965 0.536589996272725 0.475874583531652 0.535029567968662 0.446174336364471 0.493542757417103 0.457108336689489 0.228002026684682 0.571375497932591 0.536680012319064 0.518301909632903 0.527600728431596 0.415879952178753 0.56020942408377 0.514601315975661 0.51586691643851 0.516513475062377 0.267267015706806 0.508357572231918 0.282062909675558 0.445042091694648 0.397418726409351 0.524364508209593 0.355267015706806 0.491960165923532 0.477397794363373 0.402679396365876 0.431022821212956 0.355240479984391 0.329225399382467 0.459514979639325 0.435334431437143 0.401118514992861 0.44160247218239 0.431343444702326 0.312376259404285 0.501609877649299 0.116538893044129 0.343389013546082 0.475721865205134 0.468092506457552 0.493294925942506 0.363657259609245 0.132667275085259 0.324098312972658 0.522581873063361 0.279651631091422 0.467838444278235 0.518358119307797
U11 0.164220426368242 0.234600023417071 0.273827901027654 0.121800062898027 0.409068100697765 0 0.462080352228949 0.213499856348549 0.135554319098623 0.238332754511814 0.336347197106691 0.223078661844485 0.175480983013666 0.565122841625477 0.116672657338511 0.0665020067922198 0.137824691254188 0.204960465198738 0.0844375932568504 0.338408363867047 0.263226484285815 0.0876682625661567 0.188969258589512 0.202778234423804 0.322835605583437 0.260095079901483 0.185966421147032 0.0599629461165533 0.111738030932004 0.397223279718283 0.121018482773567 0.111202224471862 0.165737466530014 0.241212703435805 0.181008247695497 0.156419529837251 0.270793293127444 0.308403921195394 0.159928678916021 0.143366759822456 0.265031191674474 0.195574005320548 0.0977646108268247 0.251428571428571 0.263170584689572 0.121816961797855 0.258129660046529 0.176222320788836 0.240939783679081 0.213741686333405 0.160456356501317 0.153715582244362 0.159747770780071 0.0592879419241555 0.293416893281615 0.149511493879038 0.0773952162128419 0.306731720631888 0.137554871367398 0.168776371308017 0.284826870269908 0.187954062371118 0.136603675713061 0.251562302872282 0.450509184353288 0.302762362037788 0.180140749357874 0.278906499308584 0.382411091018686 0.117676141712552 0.270407443011085 0.333817210544652 0.168016027252332 0.417225334097826 0.225419017030579 0.227602628198309 0.119294150582218 0.376545980121698 0.250991876062724 0.415040219492424 0.151247486690525 0.365609074469834 0.284234752589183 0.07922835082875 0.134107215773202 0.0896599768772418 0.246868930413234 0.533077965091032 0.191776910631008 0.113719885667619 0.216126977619316 0.134107215773202 0.138421168512884 0.0816517343416078 0.133991179569907 0.128914057295137 0.105123568414708 0.184917930171095 0.281003908300764 0.257465550467763 0.189788320391448 0.122530983564861 0.133756584637157 0.214658294295492 0.227740676418456 0.127428400371438 0.185347092036211 0.117662503775904 0.374235081374322 0.157520148237448 0.353704204695932 0.161286599207418 0.0918457462466882 0.22735732871575 0.155660036166365 0.129522807883624 0.220784117579162 0.307094989894692 0.239307993804996 0.132282412139319 0.307701581119303 0.198447232268435 0.388564926752951 0.0728259082689462 0.14124271009702 0.120355698066777 0.287841718966067 0.238195162990398 0.442020795660036 0.373183309892171 0.201473265314762 0.226690072829257 0.103200185537487 0.3722312883165 0.474559118735173 0.122852622061483 0.126186708860759 0.250052163026847 0.19165055808443 0.119590292598538
U110 0.347308231740209 0.69302471066625 0.410091905266879 0.525 0.550808103801502 0.462080352228949 0 0.381281321955845 0.507357859531773 0.409122756502543 0.460041407867495 0.344746376811594 0.42223806129722 0.832914306246502 0.463622594440485 0.423117709437964 0.356791371755982 0.338192668371697 0.508576859111428 0.477408673940183 0.416889320702777 0.406407322654462 0.364003133568351 0.393242988895163 0.503224230581339 0.356869302905108 0.307776599505126 0.412198808571175 0.456784397004583 0.466895499618612 0.349910438039407 0.397199922933659 0.322126177267449 0.324508281573499 0.630783214664445 0.323925906869051 0.413233173988922 0.484134248665141 0.340995236647411 0.530434782608696 0.362266457132879 0.30547578404793 0.462349676225717 0.31768115942029 0.303933747412008 0.57194421657096 0.350321830488767 0.300246103363413 0.320306139065299 0.344571358388602 0.320476276384629 0.455851791085589 0.546814092953523 0.441304347826087 0.369509901537781 0.33870816390366 0.402595138956134 0.42679792179382 0.491308388556651 0.311387163561077 0.284621578099839 0.562013729977117 0.364697730815867 0.421604314122009 0.601372997711671 0.466166916541729 0.31319117511308 0.390013396663013 0.502898550724638 0.38304836345872 0.405263725014816 0.520010636883393 0.594335197546455 0.489360197949806 0.365952844473286 0.28139550134435 0.427296707294888 0.569766211784619 0.307700627298291 0.552648675662169 0.329036181210094 0.348353096179183 0.409670619235837 0.474003247338986 0.474190902114372 0.438631503920171 0.605310756518486 0.685335826710301 0.33155715375395 0.478284244974287 0.663228304875902 0.395140664961637 0.413468714744424 0.402025691699605 0.387269314982796 0.421662852784134 0.437474120082816 0.326309921962096 0.458158017765311 0.713614808889905 0.554816709292413 0.536407807656865 0.566304347826087 0.344916124614858 0.649103171186684 0.575705052878966 0.354580507911182 0.541722902772555 0.544695652173913 0.589694041867955 0.438091977633231 0.319492533368574 0.387799123693967 0.31073333121296 0.370434782608696 0.348832408721455 0.270860314523589 0.442028985507246 0.309943831911795 0.349689440993789 0.444593088071349 0.310658212560387 0.434961732616838 0.453162055335968 0.350816948213791 0.363424473330345 0.42942394349044 0.382980702162288 0.60564182194617 0.508166551644813 0.299888517279822 0.306953697641879 0.373743332794569 0.477695298692117 0.64845100385587 0.373731884057971 0.48081743566992 0.414632107023411 0.322274576997216 0.504043842185259
U112 0.218083996196749 0.386606602568413 0.209197629359471 0.324918732222674 0.221510006361012 0.213499856348549 0.381281321955845 0 0.236720185318316 0.221947143652906 0.190921228304406 0.234423676012461 0.137658955109545 0.656711043840136 0.320428604259231 0.24497378618646 0.178439469680504 0.129191863661352 0.290169041417701 0.248486121320312 0.194538714561688 0.268376141491478 0.147048918076955 0.269146741109358 0.184955721236305 0.157017803526875 0.252697363422232 0.223381686829884 0.316285467169594 0.246372356123955 0.300815569323393 0.317218625326137 0.25321001691672 0.250646695594126 0.334429646032108 0.287562904385334 0.186524440964917 0.160846040334481 0.294555911378341 0.303908241291419 0.221521600420373 0.251322009022037 0.306735221429992 0.184423676012461 0.174009790832221 0.307882207723506 0.279242428299815 0.225568682771998 0.255871749098673 0.228892760969428 0.210959010354054 0.32666196438018 0.334394134708347 0.255790329134498 0.158379111079404 0.24218382303503 0.266490435651396 0.157203315111973 0.341768578674912 0.256532519549876 0.206126687435099 0.362600426299393 0.264884387682913 0.327320147793958 0.300590260698475 0.213406380921689 0.18206440859575 0.169245268200738 0.227352024922118 0.315796842731632 0.220790049682104 0.202049215467719 0.34688021095901 0.331148848871666 0.252545682800949 0.265234490633061 0.322644977124311 0.228392114059622 0.183289161668294 0.253947792458911 0.300405202274361 0.222599830076466 0.295395072217502 0.281498429441191 0.338922986786196 0.154358817220775 0.421842166909664 0.56386292834891 0.191553650481344 0.309315646668677 0.371372356123955 0.339818049619607 0.341864557489383 0.284940526762957 0.339306125193303 0.250450893589113 0.307165109034268 0.268062544931704 0.147874585468797 0.412700946860378 0.363826278174821 0.326143914429258 0.341223080048761 0.219687492334486 0.364485981308411 0.323156100025259 0.324902112092372 0.322610696829576 0.194143302180685 0.319510788046614 0.201044962837589 0.243132687555038 0.201695283633993 0.329940041977453 0.213682242990654 0.296236723148174 0.279379598329688 0.205662451896647 0.237691722935205 0.168456492714924 0.161514497963096 0.265527647975078 0.234091147747559 0.205395072217502 0.236035875151299 0.239811157144234 0.14238592633315 0.305662451896646 0.281041388518024 0.223013400583494 0.280873941174632 0.277683501237552 0.300359587256367 0.21850923182129 0.293835205350253 0.137720664589823 0.329826673660118 0.127875629043853 0.265963813820727 0.325588886281331
U115 0.211883098979873 0.247002398081535 0.315900562851782 0.190477517651431 0.349979863068868 0.135554319098623 0.507357859531773 0.236720185318316 0 0.250268862851644 0.355189255189255 0.259722222222222 0.136962309093457 0.446042101620448 0.191304995095979 0.173149885345007 0.254422580003975 0.285822021116139 0.154266498528794 0.356189378661289 0.279830969775104 0.209626630679262 0.227881727881728 0.304861804861805 0.33083645443196 0.315485168426345 0.231134042109652 0.153426668764092 0.18170083272911 0.42695681511471 0.207288965715932 0.202988296784456 0.234649623373659 0.296111874236874 0.207897793263647 0.257396449704142 0.298160826956639 0.339496176338282 0.251670551670552 0.178787878787879 0.296725362990423 0.249777935690176 0.169978957213 0.286495726495727 0.319413919413919 0.172149653281729 0.304937183160679 0.244508950169328 0.280034572169404 0.246342170070984 0.267475263325886 0.27656829543622 0.199749484232243 0.184318097361576 0.294186729301233 0.264803541781959 0.168874802505092 0.366150620867602 0.206232326120802 0.249520320948892 0.371082621082621 0.228070175438596 0.230820308509552 0.34802226197575 0.455555555555556 0.298054818744474 0.264576188143067 0.272821949292538 0.405641025641026 0.220829732065687 0.299049979347377 0.329216654904728 0.223835869064085 0.415363769022306 0.264446995790279 0.319004524886878 0.187971605335622 0.347526358475264 0.27522643194285 0.395741231948129 0.195804195804196 0.367754467754468 0.338461538461539 0.148029932262297 0.20413981095661 0.164705058147681 0.29835390946502 0.415081334436173 0.291530107319581 0.180521091811414 0.244264507422402 0.254196467668953 0.207098623266288 0.175796425796426 0.228586361679887 0.226045883940621 0.178266178266178 0.257478632478633 0.275641025641026 0.263688129653964 0.23921568627451 0.191690133886666 0.206707543664065 0.254996971532405 0.235042735042735 0.195801570801571 0.273974751038971 0.186795124664947 0.311008547008547 0.184330484330484 0.349249613029141 0.266438053672096 0.189028026237329 0.258285971526645 0.21234188034188 0.218329148596211 0.289288961629387 0.326696832579186 0.320921768290189 0.242952699474439 0.346153846153846 0.248530982905983 0.373571497167003 0.133255633255633 0.197615547934019 0.212882192263636 0.328233857645622 0.278577631518808 0.420482295482296 0.407407407407407 0.287625418060201 0.286025754581999 0.179916118577829 0.376923076923077 0.407276719203325 0.156517094017094 0.194864163614163 0.260683760683761 0.290219359184876 0.188425557701776
U12 0.129385568501142 0.425079803706704 0.0828622193506703 0.314497552548229 0.391916022329323 0.238332754511814 0.409122756502543 0.221947143652906 0.250268862851644 0 0.133995584988962 0.147516556291391 0.171561176853762 0.644447256407091 0.306352459016393 0.212800839928929 0.120912264489964 0.146409557200364 0.284690406398147 0.142884308521633 0.0780458026564061 0.25655053268068 0.0958624187101008 0.261632407327772 0.117996130664484 0.123048455245572 0.176923491089216 0.205816032178117 0.261099950629054 0.203163123039387 0.241783862886624 0.256879298032809 0.147316603454713 0.138067644276254 0.387474905969495 0.177113131392296 0.0763236364897195 0.126559776925758 0.2327467234752 0.348765803732691 0.0859331365195882 0.148360430081214 0.248611083153848 0.127328918322296 0.125701671397036 0.326565038110709 0.132274805973548 0.142515306759965 0.123558300468785 0.129139072847682 0.143819900524855 0.299278395601649 0.376912537108929 0.22360591227565 0.119875132703099 0.174186478631664 0.212694877505568 0.141946769961265 0.315572761515547 0.215513357660945 0.134596517046848 0.41196119437667 0.231260388907944 0.29621130448175 0.24560822586267 0.0823247316738982 0.114807862656599 0.0784684734821081 0.191037527593819 0.245287347768931 0.0894901400822275 0.119402758369281 0.394486274078756 0.217735422387336 0.0871799940693881 0.199252344850319 0.221861231954335 0.172137090926669 0.131190076109519 0.200730760447591 0.19271291622285 0.157144290587999 0.133576158940397 0.260174218900278 0.313755325623859 0.195472804255781 0.459970071081182 0.56045123311733 0.099910371956381 0.324236274300363 0.428392363997104 0.296222526609447 0.216039223980296 0.256697772426249 0.201974843965887 0.138840478680144 0.295900346893724 0.192498726439124 0.200144199957274 0.45442559894179 0.405882352941176 0.309098623180084 0.338360207313562 0.0927065408214702 0.389597403448954 0.341898603901915 0.260475525042024 0.324691707837599 0.164759381898455 0.352138009974655 0.149541116963029 0.155598945228366 0.211894861132502 0.199294389512492 0.10635761589404 0.245607915577652 0.196878962942088 0.110732372419166 0.112091637884597 0.163146312368886 0.131974868398709 0.129909400294334 0.177598779671106 0.21207104154124 0.134917956721643 0.199563050454018 0.109076743280094 0.150812763395545 0.29872280037843 0.194567083639931 0.185159139737314 0.138307357504443 0.220426401437751 0.169649491196899 0.383999635457804 0.142844002943341 0.260643330179754 0.158749363219562 0.2290558836003 0.255725004157414
