U10 U11 U12 U127 U13 U15 U16 U19 U3 U36 U5 U50 U56 U6 U69 U7 U8 U9 U96
U10 0 0.995934959349594 0.477969185286258 0.515101193565127 0.458980044345898 0.895609756097561 0.839989837398374 0.874657237696637 0.947572372919991 0.883414634146342 0.749370113509442 0.484894405157069 0.687536669181125 0.450914634146341 0.649607696950332 0.515144485683987 0.578079460039883 0.877614649932907 0.961788617886179
U11 0.995934959349594 0 0.766025641025641 0.993617021276596 1 1 0.878598484848485 0.976331360946746 1 0.98 0.97444089456869 0.988165680473373 0.974226804123711 0.9875 0.871576022231044 0.980978260869565 0.699971412235563 1 0.750813008130081
U12 0.477969185286258 0.766025641025641 0 0.403481624758221 0.468531468531469 0.565244755244755 0.436538461538462 0.760623991393222 0.715443435069603 0.594125874125874 0.436582586742331 0.372781065088757 0.416985076778891 0.356031468531468 0.430527987296546 0.426411903314077 0.357061177815895 0.470093013782334 0.63182670987549
U127 0.515101193565127 0.993617021276596 0.403481624758221 0 0.661508704061896 0.890212765957447 0.776329787234043 0.859914390028956 0.939212567110758 0.835957446808511 0.518693494663857 0.307553820974443 0.422658477736346 0.442952127659574 0.634627891851714 0.407533533765032 0.553526027030644 0.844412311505887 0.90591593149974
U13 0.458980044345898 1 0.468531468531469 0.661508704061896 0 0.912424242424242 0.81969696969697 0.890173928635467 0.964386859246672 0.907272727272727 0.814793300416304 0.532768513537744 0.729850046860356 0.41032196969697 0.605961360328172 0.557435770750988 0.558461978273299 0.785010297146219 0.965853658536585
U15 0.895609756097561 1 0.565244755244755 0.890212765957447 0.912424242424242 0 0.90125 0.670236686390533 0.527663551401869 0.5 0.60038338658147 0.696568047337278 0.560103092783505 0.836875 0.902532751091703 0.547608695652174 0.82251572327044 0.930582524271845 0.951219512195122
U16 0.839989837398374 0.878598484848485 0.436538461538462 0.776329787234043 0.81969696969697 0.90125 0 0.874741124260355 0.95321261682243 0.88 0.829432907348243 0.537056213017752 0.728801546391753 0.44375 0.336053493449782 0.667934782608696 0.277672955974843 0.487621359223301 0.765091463414634
U19 0.874657237696637 0.976331360946746 0.760623991393222 0.859914390028956 0.890173928635467 0.670236686390533 0.874741124260355 0 0.791959298788918 0.499467455621302 0.706996616065183 0.757396449704142 0.585371805038736 0.816697485207101 0.870106715588744 0.551316889632107 0.792862193442745 0.897742287585454 0.927550873141867
U3 0.947572372919991 1 0.715443435069603 0.939212567110758 0.964386859246672 0.527663551401869 0.95321261682243 0.791959298788918 0 0.571308411214953 0.743602758950166 0.783221810540286 0.644956161479911 0.903241822429907 0.947332979635147 0.619362047947989 0.87133368600482 0.97196261682243 0.967084568041942
U36 0.883414634146342 0.98 0.594125874125874 0.835957446808511 0.907272727272727 0.5 0.88 0.499467455621302 0.571308411214953 0 0.580255591054313 0.621656804733728 0.46340206185567 0.7825 0.853799126637555 0.469565217391304 0.793647798742138 0.930582524271845 0.940975609756098
U5 0.749370113509442 0.97444089456869 0.436582586742331 0.518693494663857 0.814793300416304 0.60038338658147 0.829432907348243 0.706996616065183 0.743602758950166 0.580255591054313 0 0.309715106716827 0.151164322650769 0.521924920127796 0.696520501695104 0.290426621753021 0.633562400787671 0.897515431620087 0.930709888568534
U50 0.484894405157069 0.988165680473373 0.372781065088757 0.307553820974443 0.532768513537744 0.696568047337278 0.537056213017752 0.757396449704142 0.783221810540286 0.621656804733728 0.309715106716827 0 0.214512291831879 0.276368343195266 0.422043358052763 0.21633811422691 0.379572773622121 0.590049979893146 0.899004185308125
U56 0.687536669181125 0.974226804123711 0.416985076778891 0.422658477736346 0.729850046860356 0.560103092783505 0.728801546391753 0.585371805038736 0.644956161479911 0.46340206185567 0.151164322650769 0.214512291831879 0 0.460244845360825 0.619389546661865 0.179207754370238 0.576995396485768 0.780752677409669 0.904827759617802
U6 0.450914634146341 0.9875 0.356031468531468 0.442952127659574 0.41032196969697 0.836875 0.44375 0.816697485207101 0.903241822429907 0.7825 0.521924920127796 0.276368343195266 0.460244845360825 0 0.208283296943231 0.352717391304348 0.330385220125786 0.434830097087379 0.905716463414634
U69 0.649607696950332 0.871576022231044 0.430527987296546 0.634627891851714 0.605961360328172 0.902532751091703 0.336053493449782 0.870106715588744 0.947332979635147 0.853799126637555 0.696520501695104 0.422043358052763 0.619389546661865 0.208283296943231 0 0.447556721093602 0.251050506715004 0.240365455547547 0.746490574076046
U7 0.515144485683987 0.980978260869565 0.426411903314077 0.407533533765032 0.557435770750988 0.547608695652174 0.667934782608696 0.551316889632107 0.619362047947989 0.469565217391304 0.290426621753021 0.21633811422691 0.179207754370238 0.352717391304348 0.447556721093602 0 0.420341126606508 0.644984698184888 0.92268690349947
U8 0.578079460039883 0.699971412235563 0.357061177815895 0.553526027030644 0.558461978273299 0.82251572327044 0.277672955974843 0.792862193442745 0.87133368600482 0.793647798742138 0.633562400787671 0.379572773622121 0.576995396485768 0.330385220125786 0.251050506715004 0.420341126606508 0 0.424253526286866 0.584706243288848
U9 0.877614649932907 1 0.470093013782334 0.844412311505887 0.785010297146219 0.930582524271845 0.487621359223301 0.897742287585454 0.97196261682243 0.930582524271845 0.897515431620087 0.590049979893146 0.780752677409669 0.434830097087379 0.240365455547547 0.644984698184888 0.424253526286866 0 0.95609756097561
U96 0.961788617886179 0.750813008130081 0.63182670987549 0.90591593149974 0.965853658536585 0.951219512195122 0.765091463414634 0.927550873141867 0.967084568041942 0.940975609756098 0.930709888568534 0.899004185308125 0.904827759617802 0.905716463414634 0.746490574076046 0.92268690349947 0.584706243288848 0.95609756097561 0
