U10 U11 U12 U127 U13 U16 U19 U3 U5 U50 U56 U6 U69 U7 U8 U9 U96
U10 0 0.146612865678591 0.570336303535499 0.968199817240329 0.926530612244898 0.853471954819664 0.763775510204082 0.967616480554486 0.84440083725798 0.854931972789116 0.704980437770963 0.667059049325059 0.987460367078998 0.94421768707483 0.690298075065989 0.495918367346939 0.869287715086034
U11 0.146612865678591 0 0.647887323943662 0.974413646055437 1 0.861635220125786 0.773809523809524 0.971698113207547 0.852564102564103 0.863095238095238 0.725388601036269 0.683385579937304 0.99562363238512 0.953741496598639 0.709779179810726 0.5 0.877450980392157
U12 0.570336303535499 0.647887323943662 0 0.806946154539175 0.711267605633803 0.642793870139074 0.566985244802146 0.741562583045442 0.580263633080534 0.575033534540577 0.420054002773115 0.465671773588238 0.678722223934416 0.735182523713711 0.388479139823166 0.450704225352113 0.610811930405965
U127 0.968199817240329 0.974413646055437 0.806946154539175 0 0.987206823027719 0.668691582518674 0.45726723525231 0.840407128776602 0.52458176152206 0.352878464818763 0.624302617187932 0.430342688706044 0.637312033144686 0.460858970453853 0.687407935536378 0.5 0.802782306952632
U13 0.926530612244898 1 0.711267605633803 0.987206823027719 0 0.962264150943396 0.845238095238095 0.981132075471698 0.929487179487179 0.904761904761905 0.823834196891192 0.927899686520376 0.99781181619256 0.974149659863946 0.94006309148265 0.892156862745098 0.965686274509804
U16 0.853471954819664 0.861635220125786 0.642793870139074 0.668691582518674 0.962264150943396 0 0.570080862533693 0.710691823899371 0.417210933720368 0.403638814016173 0.544171799133183 0.33427968691469 0.664203239613008 0.257835964574509 0.537269606967839 0.462264150943396 0.694598594154643
U19 0.763775510204082 0.773809523809524 0.566985244802146 0.45726723525231 0.845238095238095 0.570080862533693 0 0.588724168912848 0.441391941391941 0.267857142857143 0.366919565753763 0.323910285117182 0.256408252578931 0.360374149659864 0.443405437884933 0.456582633053221 0.444677871148459
U3 0.967616480554486 0.971698113207547 0.741562583045442 0.840407128776602 0.981132075471698 0.710691823899371 0.588724168912848 0 0.631773101112724 0.606132075471698 0.390311858441685 0.545395398355711 0.448185458899302 0.749107945064818 0.640527349562526 0.5 0.50638179800222
U5 0.84440083725798 0.852564102564103 0.580263633080534 0.52458176152206 0.929487179487179 0.417210933720368 0.441391941391941 0.631773101112724 0 0.342032967032967 0.422180151454763 0.218009002491761 0.521110363014083 0.290214547357404 0.45881865243064 0.490384615384615 0.530354449472097
U50 0.854931972789116 0.863095238095238 0.575033534540577 0.352878464818763 0.904761904761905 0.403638814016173 0.267857142857143 0.606132075471698 0.342032967032967 0 0.373642980508265 0.212009255112703 0.389626966760446 0.249489795918367 0.466801862700916 0.436624649859944 0.523109243697479
U56 0.704980437770963 0.725388601036269 0.420054002773115 0.624302617187932 0.823834196891192 0.544171799133183 0.366919565753763 0.390311858441685 0.422180151454763 0.373642980508265 0 0.338070719703737 0.290960419949887 0.536738218603503 0.277471764109773 0.453367875647668 0.230493751904907
U6 0.667059049325059 0.683385579937304 0.465671773588238 0.430342688706044 0.927899686520376 0.33427968691469 0.323910285117182 0.545395398355711 0.218009002491761 0.212009255112703 0.338070719703737 0 0.434200146793522 0.327426268312968 0.368719282457997 0.424764890282132 0.519976642694695
U69 0.987460367078998 0.99562363238512 0.678722223934416 0.637312033144686 0.99781181619256 0.664203239613008 0.256408252578931 0.448185458899302 0.521110363014083 0.389626966760446 0.290960419949887 0.434200146793522 0 0.48437755846321 0.342626786959253 0.49781181619256 0.207437679667053
U7 0.94421768707483 0.953741496598639 0.735182523713711 0.460858970453853 0.974149659863946 0.257835964574509 0.360374149659864 0.749107945064818 0.290214547357404 0.249489795918367 0.536738218603503 0.327426268312968 0.48437755846321 0 0.622403914247087 0.472789115646258 0.62719087635054
U8 0.690298075065989 0.709779179810726 0.388479139823166 0.687407935536378 0.94006309148265 0.537269606967839 0.443405437884933 0.640527349562526 0.45881865243064 0.466801862700916 0.277471764109773 0.368719282457997 0.342626786959253 0.622403914247087 0 0.430599369085173 0.270025360301849
U9 0.495918367346939 0.5 0.450704225352113 0.5 0.892156862745098 0.462264150943396 0.456582633053221 0.5 0.490384615384615 0.436624649859944 0.453367875647668 0.424764890282132 0.49781181619256 0.472789115646258 0.430599369085173 0 0.495098039215686
U96 0.869287715086034 0.877450980392157 0.610811930405965 0.802782306952632 0.965686274509804 0.694598594154643 0.444677871148459 0.50638179800222 0.530354449472097 0.523109243697479 0.230493751904907 0.519976642694695 0.207437679667053 0.62719087635054 0.270025360301849 0.495098039215686 0
