U1 U10 U100 U105 U106 U11 U110 U115 U12 U122 U124 U125 U127 U129 U13 U130 U132 U134 U138 U14 U140 U15 U152 U155 U16 U160 U163 U164 U17 U179 U18 U182 U19 U198 U2 U20 U22 U23 U24 U25 U26 U27 U29 U3 U30 U31 U32 U33 U35 U36 U37 U4 U41 U43 U46 U5 U50 U53 U54 U55 U56 U58 U6 U60 U69 U7 U72 U74 U76 U78 U79 U8 U85 U87 U89 U9 U91 U95 U96 U98
U1 0 0.367255364562209 0.780013745433278 0.486837785848432 0.566724857717652 0.775184576929931 0.836540612391973 0.905050937494427 0.778597595566711 0.923527140333517 0.963320179548718 0.867844334018649 0.850284243336684 0.971183245958213 0.179467705216963 0.901616012556231 0.974625000472955 0.529437320037551 0.892580017382076 0.639830659290895 0.448871170348188 0.278458610017017 0.818429555870619 0.741106761792913 0.166945054594237 0.624788310999958 0.917717318271664 0.69139947065365 0.203034216931342 0.925158978755206 0.917754683382855 0.47551172953367 0.763044573227067 0.326649041363388 0.561353146374737 0.943847928708076 0.837003293184695 0.887320430027829 0.868646168229373 0.368414556934314 0.98341521316232 0.926149815032246 0.908310912134766 0.958014779787081 0.943698931118393 0.483555046386472 0.585779166153689 0.405393200249608 0.963101727083047 0.941608924713164 0.983545005245421 0.31151160484219 0.968389372595508 0.855436132807218 0.830605843902496 0.809994812711744 0.624149992891911 0.425089665395446 0.571462956246497 0.872903595885427 0.670524319765767 0.724899659168384 0.67223949756288 0.779423977146986 0.659515934628969 0.776681792586614 0.974698222212318 0.953076468368569 0.91647491059803 0.717674505157915 0.714602811805377 0.717847778757673 0.98575620693066 0.870598698639404 0.563906324385265 0.224076735667585 0.423969462639792 0.563225479698325 0.135358093236048 0.852379687078761
U10 0.367255364562209 0 0.798641175245955 0.624783904351153 0.582486023446798 0.876411811838913 0.850335072857817 0.921503027569316 0.79645824714526 0.943077408547537 0.980329219586961 0.874847690675518 0.864567961916962 0.982682079670032 0.400607353671348 0.888543499457745 0.99017514453027 0.510281884031118 0.907943265563658 0.606695326972974 0.464110815280199 0.179279009995004 0.833718658417454 0.760867502676465 0.228116396791096 0.569980919991962 0.910676262095361 0.710340132026879 0.168991882910589 0.939712905676761 0.906133781213046 0.493251340465525 0.726835547350416 0.599570840534696 0.580370170217609 0.96007399350132 0.811351106791561 0.867736301471241 0.889005972726154 0.328782141430113 0.998371865841745 0.942640005739863 0.925818290434651 0.975817525585471 0.959001787101588 0.49773940066539 0.598723184331673 0.378752246222126 0.980828006192623 0.960236354525841 0.994475138121547 0.531664998652758 0.982269886640135 0.872175004299006 0.849236493783046 0.825173535618179 0.589893041264601 0.355535732337792 0.586628229930852 0.84075681191179 0.671037947967226 0.739037807353624 0.5262129599479 0.793517073586101 0.622695373181188 0.79553490670139 0.995189913681964 0.966343380942956 0.932602060161626 0.701617279930533 0.729001677285378 0.729387833177725 0.999023119505047 0.875597450379337 0.424219363502813 0.200256705297594 0.374489957413832 0.527710309559016 0.352461659426103 0.861085530823306
U100 0.780013745433278 0.798641175245955 0 0.696159728528414 0.404600436040418 0.943329035427028 0.849262773024901 0.472244370734197 0.816644993498049 0.925785871218523 0.961323261837966 0.788273400317293 0.501390334220805 0.981284153005465 0.827813751643524 0.779021444643431 0.938114754098361 0.415447743420791 0.862157659191516 0.246210230584157 0.477017036322726 0.790421676308924 0.36875 0.344070645123246 0.781267394466091 0.758346966712297 0.741596985366927 0.375545068168019 0.771765098162791 0.823087431693989 0.813029055802999 0.457973409374727 0.568875887921551 0.855286692230486 0.368271496242653 0.881792814788978 0.585757769214984 0.430209321230186 0.859093370817968 0.531076930085449 0.989754098360656 0.821813929795314 0.442499691852582 0.612265171263539 0.856218536207564 0.302401228747833 0.452505389281596 0.444414086217365 0.89326287029048 0.900946927165207 0.992425957793678 0.847863091185251 0.981513382570487 0.343686682630319 0.801704889221816 0.353829016676856 0.455725755892266 0.777735863532902 0.560342333654773 0.788200192235809 0.404871818311089 0.576380238178285 0.773685823708281 0.154808707266108 0.417423174099536 0.36043839513412 0.568949156831204 0.96527108111004 0.911254257639246 0.306148089626265 0.611583668419425 0.525431190835586 0.997950819672131 0.752072734124741 0.43572044866264 0.811995668054022 0.443699056690173 0.383196721311475 0.825439824070372 0.392469030487353
U105 0.486837785848432 0.624783904351153 0.696159728528414 0 0.540935628909949 0.658957644052806 0.813411078717201 0.697677848237683 0.76058036069713 0.878272369330648 0.835453106494492 0.72842800714756 0.723504358756811 0.983333333333333 0.315316192044074 0.739124221117018 0.822707068775988 0.494169096209913 0.798894377589951 0.592505401691866 0.257474418338764 0.481610868489666 0.608035714285714 0.551791220085156 0.468231792795353 0.661611633306217 0.713679143757215 0.70172080376162 0.580605011657898 0.77089407191448 0.771416959386884 0.569682978202718 0.694421027968531 0.24497271436047 0.601757210340371 0.793077352521556 0.676707201855509 0.736392549936149 0.759604000683952 0.439386030598935 0.865889212827988 0.723377971043139 0.702930796378702 0.742021257857559 0.800280067032437 0.502570898489266 0.65660969499202 0.417989417989418 0.827604726100967 0.779517286366601 0.994475138121547 0.238708445495953 0.907760813627219 0.697431781701445 0.749445346805556 0.596447886567392 0.671347654115468 0.577409568685954 0.508403361344538 0.71155069752424 0.59214261027477 0.697816512623286 0.676521923097266 0.625669002348452 0.638562337377347 0.667487414891852 0.766371692794302 0.955658453857734 0.871746264168704 0.653568598982909 0.568485615270367 0.572837394364292 0.988338192419825 0.703939211152441 0.688549277432199 0.526782881916645 0.613482743456521 0.574941451990632 0.537723103178554 0.701713652493965
U106 0.566724857717652 0.582486023446798 0.404600436040418 0.540935628909949 0 0.833113020489095 0.572092190913633 0.515529371958562 0.764193708240349 0.527628734147177 0.57530773737693 0.473042653246432 0.43217973235389 0.850341005967605 0.602444666564697 0.478504445256363 0.585153662320238 0.403017655109207 0.495427534967025 0.362164657389253 0.406649616368286 0.555495567473077 0.411524936061381 0.305185008003827 0.537868750052523 0.426115084305218 0.418802245146673 0.393181602900273 0.559845061034657 0.53501705029838 0.414118520189324 0.276681421255294 0.277756050368708 0.602579493335796 0.39447825700036 0.555052511291288 0.297064692721135 0.362674642260785 0.484218980513674 0.404267718789882 0.593350383631714 0.534295663733437 0.50010576312905 0.430351096876433 0.553980304891556 0.347976502854106 0.406649616368286 0.216718764800606 0.575806523982591 0.540838968106599 0.983630300546834 0.596339973689156 0.577248404430103 0.320583924825426 0.466194562183397 0.405167768998565 0.3964262161411 0.544834836871736 0.465473145780051 0.476932112598615 0.247625476568517 0.335811845552282 0.541147495812387 0.37660098604945 0.395896928196243 0.370509862885137 0.587485231377437 0.914464336459221 0.836007477664491 0.394601423597202 0.399749071080442 0.501814560662735 0.593350383631714 0.418349648705059 0.219552792072647 0.591823145117475 0.225778336595751 0.144354534401073 0.581891335537396 0.370450521345662
U11 0.775184576929931 0.876411811838913 0.943329035427028 0.658957644052806 0.833113020489095 0 0.880466472303207 0.941634241245136 0.695494416115097 0.981958762886598 0.995626025150355 0.991935483870968 0.98845836768343 1 0.646893052668865 0.99859943977591 0.991803278688525 0.825101341241124 0.982195845697329 0.877227986439011 0.69585811852831 0.829451661641386 0.85751404494382 0.899765580793792 0.807438128407399 0.90755699977879 0.977628635346756 0.949078803011387 0.85384719703857 0.973333333333333 0.995732574679943 0.840319687726586 0.954990130250549 0.547198654742796 0.858413367556817 0.991489361702128 0.945757997218359 1 0.989606533036377 0.828454309048981 1 0.977401129943503 0.969924812030075 0.993233446109231 0.984635347547849 0.79852827750099 0.89076727485139 0.813940907199334 0.99250936329588 0.988584474885845 0.997237569060774 0.581891445597157 0.998322710499832 0.949438202247191 0.977152899824253 0.8382316621388 0.905066603133815 0.837104944871952 0.862524785194977 0.973941368078176 0.853310685063745 0.945396901289801 0.935493443266261 0.876872043979192 0.878317425798397 0.912495801675266 1 0.980392156862745 0.976083707025411 0.906351999759337 0.832132004805314 0.82477203281765 1 0.959770114942529 0.920036695021911 0.774975257611923 0.859895800640261 0.88856142936084 0.759239974422216 0.965360042028912
U110 0.836540612391973 0.850335072857817 0.849262773024901 0.813411078717201 0.572092190913633 0.880466472303207 0 0.595722113192136 0.806912919356857 0.274214030236542 0.58541445165116 0.437376563528637 0.849663148736117 0.489795918367347 0.858007896184502 0.372177442405534 0.802131625483917 0.84767999209369 0.499796696974678 0.806644678968084 0.85131195335277 0.849843955701566 0.83256195335277 0.597667638483965 0.850216663100853 0.85131195335277 0.85131195335277 0.837843939884756 0.838795189830195 0.597667638483965 0.597667638483965 0.41511593200391 0.601278740872607 0.857217612319653 0.746183669058719 0.597667638483965 0.459197865516165 0.78932848227839 0.475173206412696 0.816761707234927 0.597667638483965 0.491920739240006 0.582630044499003 0.851070290713814 0.369321181791052 0.746673734428836 0.796266081793137 0.612385271568945 0.597667638483965 0.549722433004513 0.88121546961326 0.848117065173856 0.792893378178415 0.567284698791234 0.38143231181501 0.845384563873886 0.83881668640843 0.846631766145281 0.35131195335277 0.85131195335277 0.589436695194984 0.392655542460145 0.841685888932185 0.814518260842914 0.840559265180727 0.762991899106287 0.753186264267874 0.3667371710589 0.8101644245142 0.839263760581685 0.417349689201826 0.401855817273376 0.572563035973505 0.491345799403505 0.60603530018138 0.852611066632426 0.61667508184439 0.589016871385557 0.846433904572282 0.749152408216034
U115 0.905050937494427 0.921503027569316 0.472244370734197 0.697677848237683 0.515529371958562 0.941634241245136 0.595722113192136 0 0.763480795211326 0.621344618717157 0.508967073925706 0.476685075938245 0.319098225770752 0.911348897535668 0.931343792448439 0.451198378183958 0.469662562990368 0.71351551238447 0.58303409576372 0.586057127858432 0.728503852903029 0.925116697245191 0.372884241245136 0.391932368502086 0.923634403194668 0.919868924691133 0.915759190104371 0.748739011384926 0.902245398837033 0.420557717250324 0.490322187844203 0.43022256960374 0.289263620173778 0.927720324885417 0.41433036844305 0.439332726219058 0.288386918710055 0.750313535067691 0.442398296834874 0.667631062292337 0.535577172503243 0.382510057376509 0.124279570521635 0.908089210186315 0.471108183461503 0.479898644990363 0.383673056557075 0.574405533938608 0.551300430063486 0.455741520530178 0.992529612829718 0.920775785979786 0.596403029824426 0.478140165260351 0.516593381794807 0.408942785507879 0.713453812006712 0.908120215859218 0.439688715953307 0.923446431513707 0.26873000030537 0.360962946317694 0.908022968867274 0.493125469763827 0.713066398895444 0.261364178544628 0.334881316522164 0.887401134253961 0.838114265440608 0.397913313435324 0.413148814330813 0.510545552509742 0.824609673900656 0.588398407799991 0.577475753136208 0.92348440555634 0.59126578701389 0.479141417363016 0.900664325709405 0.488379667940208
U12 0.778597595566711 0.79645824714526 0.816644993498049 0.76058036069713 0.764193708240349 0.695494416115097 0.806912919356857 0.763480795211326 0 0.821214792272733 0.829471859600526 0.820546163849155 0.8206099505037 0.957325530992631 0.792627867173318 0.8204459937421 0.840958025112452 0.813528622751474 0.818879194915745 0.79487691339307 0.727109309263367 0.770926697856685 0.809094603381014 0.813546042229935 0.767836922818357 0.812571673742449 0.81570824714976 0.817945383615085 0.791205130873191 0.815912440398786 0.820424078859504 0.779439702847293 0.804803116873043 0.736851667745221 0.784179701716869 0.82184655396619 0.785441960821904 0.82184655396619 0.81293786799737 0.789718813222371 0.850455136540962 0.815344603381014 0.815344603381014 0.81822161438185 0.82184655396619 0.779723082045207 0.815344603381014 0.815344603381014 0.822508155955559 0.817945383615085 0.990573967770442 0.70512096120849 0.866527452365196 0.817945383615085 0.811758817627714 0.66057216522823 0.808314815535157 0.787263480136084 0.815344603381014 0.8081733966444 0.702642515183303 0.815767526610567 0.797781392914727 0.787749333998623 0.802799800513631 0.809185367352309 0.836744408107438 0.943811247949548 0.85285570723534 0.812743823146944 0.749306867531958 0.719952959478136 0.925877763328999 0.815344603381014 0.814234182535462 0.749282427215211 0.790204938576545 0.816644993498049 0.815344603381014 0.808895609859428
U122 0.923527140333517 0.943077408547537 0.925785871218523 0.878272369330648 0.527628734147177 0.981958762886598 0.274214030236542 0.621344618717157 0.821214792272733 0 0.674389700867467 0.302377785167941 0.891808883147347 0.543900343642612 0.963359524731275 0.31511522134627 0.851487240155484 0.924203090287312 0.265666585089786 0.873505060662162 0.929123711340206 0.932043815946389 0.897487113402062 0.595101238596751 0.932281139553528 0.931701030927835 0.931701030927835 0.914367038078378 0.915318288023817 0.605567010309278 0.66489896027335 0.479675940515314 0.646587072465112 0.959012391633894 0.799829218460003 0.65030160122834 0.476124844070373 0.865851580472012 0.250944251831102 0.854570726396909 0.442525773195876 0.562379870697187 0.639543446244477 0.931459368288879 0.368597288740969 0.799644721993765 0.846054415334657 0.674694539900725 0.375994754928558 0.533817022077861 0.861515350002848 0.951644379302394 0.833795740722168 0.623175605235723 0.161025854727955 0.917902282095872 0.914582495696335 0.924443524132718 0.426546391752577 0.931701030927835 0.645414691892675 0.394631498135556 0.919113100531685 0.888464039448908 0.917082363374349 0.820776746480998 0.817581468304936 0.607506232733643 0.767588568874917 0.913209539187679 0.483150165337483 0.401921124086624 0.365041193978346 0.2527995023107 0.67884719729538 0.953488061535174 0.687611587859241 0.636724691566672 0.930600955494091 0.793668656994915
