U0 U1 U10 U100 U104 U105 U106 U107 U109 U11 U110 U114 U12 U120 U123 U125 U128 U132 U133 U135 U136 U138 U14 U140 U142 U143 U144 U145 U16 U161 U162 U17 U174 U176 U199 U20 U200 U203 U204 U207 U209 U21 U213 U215 U216 U218 U220 U228 U24 U259 U26 U28 U283 U286 U29 U293 U3 U31 U318 U319 U32 U321 U36 U365 U37 U39 U4 U42 U44 U55 U58 U66 U7 U70 U71 U72 U73 U74 U75 U8 U87 U89 U9 U92
U0 0 0.622786072195521 0.1389909594634 0.656575750788263 0.732022185009679 0.475817254944749 0.754086432265274 0.131875499258245 0.677511921925252 0.348273203137743 0.475193814140842 0.620280184905074 0.59970836978711 0.387908408000724 0.587035341512543 0.521949462199578 0.368203974503187 0.485664291963505 0.207921737055595 0.331817956717674 0.595197152080128 0.275931758530184 0.182560513269175 0.48631421072366 0.550756754208119 0.690123734533183 0.648771791612691 0.210892005846208 0.481166205575654 0.471270483081507 0.231943909109263 0.522684664416948 0.550951568316318 0.285208098987627 0.270997375328084 0.640321110488804 0.498551479773049 0.764062438693983 0.624353342591106 0.529905352739998 0.78580683743646 0.227396422073008 0.405380577427822 0.460828760041358 0.56871192987669 0.452965879265092 0.478420144006063 0.412044164870453 0.290298618333086 0.663701185749758 0.571883700903253 0.35978076269878 0.240367012946911 0.477858845625948 0.227749940348366 0.715907133229968 0.680021807329344 0.254978910383806 0.299970054078811 0.645669291338583 0.311477892186554 0.50101500984252 0.585799395108724 0.505957120528473 0.231390193872825 0.121704614509393 0.292814960629921 0.296212973378328 0.537263891162943 0.473354596498223 0.697287839020122 0.180140999816883 0.661658315437843 0.541500694766095 0.679211708705903 0.701441865221393 0.667670448221645 0.67869282733101 0.167917963742904 0.460476350030714 0.593374966060277 0.837452049263073 0.149757946923301 0.631179045018423
U1 0.622786072195521 0 0.673821548821549 0.170951149506948 0.514923311982135 0.197209141897364 0.445584201277271 0.713777526821005 0.275855130784708 0.748955658277692 0.89512987012987 0.161934878407051 0.420382395382395 0.574895506792058 0.0800135910601027 0.16013496307614 0.31017316017316 0.320743145743146 0.810714285714286 0.534525851506984 0.172270736925909 0.578116883116883 0.784030784030784 0.247619047619048 0.233416284314488 0.126103896103896 0.15914248206667 0.656619401007156 0.557683982683983 0.249809874809875 0.815134865134865 0.36596035543404 0.203715865883166 0.374025974025974 0.750565175565176 0.186633972721839 0.526744714765958 0.335144890514678 0.0876972522521429 0.250974025974026 0.261691051564469 0.550292805354155 0.351551226551227 0.223833573833574 0.202301315037164 0.399978354978355 0.154227145403616 0.427644562141769 0.412823654333088 0.246011913887125 0.067410017642975 0.648128342245989 0.81766615737204 0.65072679613964 0.551461038961039 0.139086814086814 0.163717242233333 0.503617069831127 0.51594613440251 0.0477579507107066 0.891033966033966 0.244795048701299 0.243328029586308 0.44828177440537 0.713349885408709 0.654276757725034 0.498588911088911 0.52034632034632 0.148279650406304 0.251131568853088 0.293016297428062 0.667962851102386 0.199220779220779 0.356054239877769 0.188027368112114 0.250649350649351 0.0625899434032024 0.352781917536016 0.761398872445384 0.590764023210832 0.202765338110166 0.726323676323676 0.662640692640693 0.21683453126446
U10 0.1389909594634 0.673821548821549 0 0.701693816354648 0.849840791017262 0.527397143101531 0.864026402640264 0.109983896940419 0.748193792383933 0.335091023226616 0.461487194135009 0.672079260589135 0.659259259259259 0.405747126436782 0.641688199827735 0.601960784313725 0.466666666666667 0.497354497354497 0.161952861952862 0.310412299091544 0.655683269476373 0.263333333333333 0.142592592592593 0.551322751322751 0.59529829230428 0.745185185185185 0.71054189826753 0.187733506100853 0.536436436436436 0.574274274274274 0.218596218596219 0.610582010582011 0.623320659062104 0.369047619047619 0.237037037037037 0.702990856965752 0.537098231197366 0.849683830171635 0.691293837319646 0.607070707070707 0.873042662916081 0.249715973642354 0.471296296296296 0.492929292929293 0.63088749126485 0.448888888888889 0.532461873638344 0.468942685702462 0.342278127183788 0.724177128224346 0.618284198862914 0.390631808278867 0.214130096483038 0.482373428474346 0.221338383838384 0.773287573287573 0.740355481714242 0.301005798130399 0.289634601043997 0.690128317293672 0.303062678062678 0.557957175925926 0.639189354917832 0.54769038701623 0.186928104575163 0.125488049625981 0.275534188034188 0.226455026455026 0.585269201148218 0.53089545241444 0.805882352941176 0.126916451335056 0.732255892255892 0.612854030501089 0.723038292529818 0.76017316017316 0.713988246657966 0.795355191256831 0.145564168819983 0.445941686367218 0.651851851851852 0.940455840455841 0.133333333333333 0.676576933227765
U100 0.656575750788263 0.170951149506948 0.701693816354648 0 0.676069586225333 0.190826810052506 0.581334719905251 0.751974122348016 0.21968132647086 0.73740145961338 0.927024913794558 0.24510408605023 0.378166788232434 0.5305465429211 0.229596458195512 0.220849244146966 0.348129623840784 0.260546698621097 0.803560771832107 0.530894678171834 0.204314327154439 0.550853391684902 0.805737904206176 0.198382306970928 0.156579619753928 0.252135042200688 0.220870014659364 0.64931005224847 0.511670313639679 0.382863169515248 0.850912763385411 0.314802323094388 0.145801266317778 0.412222569552985 0.763311451495259 0.212259933042186 0.47722169430794 0.472126050405701 0.113273194768821 0.239584024047919 0.302283282091054 0.538749647608436 0.336725018234865 0.223916775339095 0.164278931505718 0.391101385849745 0.180343790589639 0.363201838563378 0.406052598984352 0.15854554042236 0.136222222460703 0.604595185995624 0.855745361601971 0.617742858290005 0.571140839466879 0.124475835635573 0.318305465148508 0.472899378499871 0.503230875420381 0.216466513895829 0.924739101161421 0.235896471553611 0.205660295332358 0.428134143043297 0.706507548314731 0.69514180077826 0.478055041238849 0.523538605814317 0.153545147319785 0.206626411470884 0.415676263211338 0.68941784133123 0.348919832902327 0.237379328098854 0.321687744934416 0.181187302850323 0.166587744515273 0.489026198419246 0.786694485437552 0.609281158340705 0.14200558364144 0.834219828311732 0.687015155198963 0.0847661346070885
U104 0.732022185009679 0.514923311982135 0.849840791017262 0.676069586225333 0 0.624162686925898 0.405806191478876 0.816225654141255 0.724288604932764 0.8793448713688 0.906931568356035 0.51929778954808 0.753544494720965 0.863889322307172 0.458970851310113 0.575414781297134 0.501314371902607 0.751957193133664 0.882311805841218 0.822726884658072 0.545725628889929 0.816877828054299 0.854575163398693 0.697586726998492 0.726528842766955 0.445442792501616 0.559881825543325 0.828568790153424 0.873364314540785 0.366821572703926 0.891402714932127 0.774027829755384 0.613904994580459 0.65972850678733 0.859100050276521 0.550445862284405 0.837848882756357 0.30540672360453 0.597151360724117 0.556698203757027 0.530614582736697 0.800988257502151 0.736475615887381 0.637277754924814 0.578701727425368 0.753544494720965 0.537090360619772 0.853358274981673 0.773670280884487 0.720914439196356 0.54535871767502 0.875113122171946 0.878474466709761 0.870822782182739 0.835741464417935 0.631306160717925 0.363466723278824 0.781446518150145 0.739226821342889 0.480395125948623 0.900452488687783 0.583003393665158 0.681748374336999 0.746428389852051 0.861667744020685 0.773577335443461 0.84841628959276 0.744020685197156 0.542832459434261 0.712354659487943 0.461538461538462 0.788040618751973 0.333783079665433 0.792760180995475 0.429966510724237 0.723241464417935 0.515511903163998 0.381536977968993 0.875898838963134 0.769856551458554 0.659291621157747 0.385067873303167 0.755025976202447 0.714241570920347
U105 0.475817254944749 0.197209141897364 0.527397143101531 0.190826810052506 0.624162686925898 0 0.577984588297167 0.570137564012451 0.274879647399408 0.605785415117235 0.744129852704572 0.300902641584536 0.28011290736464 0.432613947068036 0.189397926848918 0.241467795740313 0.177719124601342 0.151904395322409 0.656623976485408 0.382787921042311 0.282560413403768 0.427390300230947 0.628025831836455 0.125137468382272 0.144639128210093 0.307152754866381 0.332081130365287 0.507349228044897 0.406653766930903 0.335133054532593 0.674930150680728 0.231606730451996 0.205446131420192 0.258693500494886 0.593276879651014 0.182956957556666 0.375222170059112 0.495005841811379 0.16972587421407 0.146954533790561 0.40495610060319 0.404497088369062 0.203239671542212 0.168116888671161 0.115037692274173 0.252055427251732 0.164762692815946 0.256531668107397 0.224192775284326 0.208218281801931 0.165177423611402 0.507607662002445 0.67745065693714 0.509865563489205 0.402005038841067 0.269378583466343 0.358485665102747 0.359959860989161 0.369646759768743 0.229282973577494 0.754863208385148 0.0889686778290993 0.147744826636893 0.298401536186003 0.55691191026064 0.535227932058385 0.33532821104992 0.35691191026064 0.105999816639526 0.110610888609544 0.455886126583043 0.519778183575917 0.373460004199034 0.206371416927048 0.367009825028379 0.308395069134099 0.235500071495601 0.500217695831598 0.604615357072524 0.431219596088644 0.178752886836028 0.726043702256173 0.506830895560688 0.165495932372609
U106 0.754086432265274 0.445584201277271 0.864026402640264 0.581334719905251 0.405806191478876 0.577984588297167 0 0.812293729372937 0.676965671919305 0.9208293710727 0.96185531149516 0.409276475223824 0.733113311331133 0.86246728121088 0.430777496354287 0.500873616773442 0.456294200848656 0.714269998428414 0.929012901290129 0.84202005106171 0.430105079473465 0.824224422442244 0.903557022368903 0.616159830268741 0.650817177526136 0.356115040075436 0.450979290812011 0.832943644218649 0.857773615199358 0.321960574435822 0.947194719471947 0.72421151889625 0.500872140445984 0.61030174446016 0.866519985331866 0.513636300868581 0.82694142949431 0.205786353615692 0.503297552496974 0.509400940094009 0.439319881355224 0.801393022737857 0.701320132013201 0.514518118478514 0.513606077588891 0.741056105610561 0.440179312048852 0.828880653428471 0.74973535089358 0.66569827303135 0.464386703506054 0.881479324403029 0.921984635438334 0.886248372543676 0.789191419141914 0.561973571874562 0.293818416406599 0.780006115627537 0.732817241455689 0.421136404979081 0.96039603960396 0.530566728547855 0.620524883614189 0.727537360477621 0.883878303796766 0.769903591344356 0.83791888804265 0.758510136727959 0.499366760872685 0.675084597067302 0.285187342263638 0.830915649704505 0.261926192619262 0.771287128712871 0.286849023885439 0.686168616861686 0.432589625675687 0.23118541362333 0.909586307467956 0.786531844673829 0.636804370092182 0.744960649911145 0.776824349101577 0.620977477795285
U107 0.131875499258245 0.713777526821005 0.109983896940419 0.751974122348016 0.816225654141255 0.570137564012451 0.812293729372937 0 0.748430802204532 0.393064767051503 0.545671733541969 0.714386074467255 0.7085346215781 0.473200899550225 0.649342770475227 0.593066211992043 0.448033126293996 0.578140096618357 0.144861660079051 0.370959803117309 0.669269531900716 0.320289855072464 0.120571658615137 0.580227743271222 0.638896120801875 0.764347826086957 0.718419960983923 0.246672582076309 0.585340775558167 0.522865256560909 0.168478260869565 0.594638770840144 0.639754504876839 0.34860248447205 0.29609500805153 0.737834273239949 0.597880549559168 0.812638969657579 0.733796277473756 0.656346069389548 0.83273711245643 0.318451587089891 0.518719806763285 0.557019470062948 0.655968006562756 0.528985507246377 0.588312795473921 0.526080884138936 0.399815422477441 0.770804311166508 0.663432628952811 0.447314578005115 0.137833394227256 0.564918228958915 0.26951581027668 0.790477589390633 0.750661313345928 0.36088345603556 0.363437408812372 0.725522081478946 0.202341137123746 0.614639945652174 0.665059026778002 0.609916951636541 0.256713554987212 0.0884825444420647 0.355142140468227 0.277846790890269 0.619801512287335 0.586406164006604 0.76062091503268 0.190091001011122 0.731982872200263 0.652749360613811 0.748280520756571 0.766346696781479 0.743647698846177 0.742486338797814 0.126600943714189 0.49745605920444 0.679160419790105 0.890886287625418 0.191940418679549 0.716784570897449
U109 0.677511921925252 0.275855130784708 0.748193792383933 0.21968132647086 0.724288604932764 0.274879647399408 0.676965671919305 0.748430802204532 0 0.842555568817803 0.940140845070423 0.384019331428427 0.517168753260303 0.631860126274891 0.276498526039961 0.333724569640063 0.354468477531858 0.38589593114241 0.873559539052497 0.632856098857295 0.357276320759808 0.695880281690141 0.847157016171101 0.327171361502347 0.295922240026988 0.382107645875252 0.40973503475728 0.733741736131072 0.648220403502094 0.435104999365563 0.892605633802817 0.301433601609658 0.292527981577679 0.414034205231388 0.807902973395931 0.300017679297543 0.625854655865959 0.579742716725214 0.228270031635483 0.331581661687296 0.422899209603613 0.662889916184222 0.462128325508607 0.290946436192915 0.30544113739038 0.490715962441315 0.260508460746655 0.41896490675899 0.480534148285942 0.247087499703109 0.253288428461894 0.752071251035626 0.858666706119067 0.767387582374984 0.631161971830986 0.183406746787028 0.427057087350193 0.622277595284165 0.608416438226675 0.298373904846401 0.935807150595883 0.314755721830986 0.356881354351273 0.565130954264915 0.779441354006391 0.721258585998751 0.599200975081257 0.595288397048961 0.225596727814905 0.352476674392346 0.54513025867624 0.758700458565346 0.458628894579599 0.258616404308202 0.439424683695393 0.377931223705872 0.30455100201047 0.593256946047872 0.81948766240856 0.652326191189691 0.166124332200097 0.819054712892741 0.719229264475743 0.175935064066107
U11 0.348273203137743 0.748955658277692 0.335091023226616 0.73740145961338 0.8793448713688 0.605785415117235 0.9208293710727 0.393064767051503 0.842555568817803 0 0.527086691937897 0.749544404886279 0.612303829252982 0.340216897201117 0.739736346516008 0.696687714633876 0.516491794457896 0.513317191283293 0.302550933059408 0.232228262800696 0.747775829599325 0.221977401129943 0.364720652856246 0.653080441216034 0.655282655028925 0.796846919558784 0.808987198052853 0.161404028923918 0.565557082506235 0.61388507151219 0.516211660279457 0.687920365886468 0.718989208967942 0.44561474307237 0.193188951663528 0.686330362700833 0.494338311919276 0.940292724414396 0.749579907701205 0.564629344290361 0.962823905218241 0.210645500444814 0.437005649717514 0.565456828168693 0.661159080410759 0.400376647834275 0.625406608457456 0.500026302223064 0.412376079309242 0.715511793269246 0.712370082820037 0.340844134263875 0.503220497238443 0.318669120060816 0.223763054271529 0.854012608249896 0.837782789410029 0.32480761478433 0.278940583172184 0.7752383706274 0.549489352455454 0.53240495527307 0.739384954041481 0.459309337903891 0.199575875547959 0.383758685628937 0.284504925394756 0.26333064299166 0.648621034606745 0.554375551264631 0.862523540489642 0.236970612709675 0.826242081835302 0.666101694915254 0.80225988700565 0.857497493090713 0.796433393208566 0.84937173906332 0.427714273201069 0.20319950314541 0.744444444444444 0.979125018108069 0.23112366603892 0.727724322414125
