U0 U1 U10 U100 U104 U105 U106 U107 U109 U11 U110 U114 U12 U120 U123 U125 U128 U132 U133 U135 U136 U138 U14 U140 U142 U143 U144 U145 U16 U161 U162 U17 U174 U176 U199 U20 U200 U203 U204 U207 U209 U21 U213 U215 U216 U218 U220 U228 U24 U259 U26 U28 U283 U286 U29 U293 U3 U31 U318 U319 U32 U321 U36 U365 U37 U39 U4 U42 U44 U55 U58 U66 U7 U70 U71 U72 U73 U74 U75 U8 U87 U89 U9 U92
U0 0 0.190173672244919 0.10471327572663 0.148684210526316 0.122488038277512 0.234697855750487 0.182589752527013 0.0548748921484038 0.305842800834686 0.164390594771566 0.242430819316332 0.24568345323741 0.120659858601728 0.190447216306663 0.11945400885391 0.245901639344262 0.284412955465587 0.133992971299473 0.170738773539353 0.103907496012759 0.163157894736842 0.13618201020947 0.130275454992622 0.158257169870785 0.116074825618263 0.398778464786608 0.158875128998968 0.174561403508772 0.244141462252917 0.171278875922839 0.384025203854707 0.151913875598086 0.254760948171957 0.137012495266944 0.17560255779636 0.190885033813584 0.383109421723931 0.261790302527973 0.42583239805462 0.277397809243922 0.163648528099911 0.212995451591943 0.116397888872599 0.159566145092461 0.142005329780147 0.192847050512187 0.15968045112782 0.249822590183323 0.0876415722851432 0.195590327169275 0.174582924435721 0.166536904391155 0.224041034790366 0.257918907486857 0.128872180451128 0.263117200217037 0.235818903565807 0.12638326585695 0.119076732234627 0.162529845323368 0.0908788962698007 0.114499484004128 0.382738847948371 0.215893547427892 0.304014272970562 0.0922094841063054 0.200597508263412 0.203744939271255 0.335067783094099 0.15223656392567 0.421527178602243 0.300877192982456 0.226851039389927 0.155278729367798 0.411961722488038 0.54328399122807 0.223715651135006 0.114756281949744 0.152138157894737 0.329059949338587 0.101754385964912 0.480028559771522 0.10359206621896 0.193126309534978
U1 0.190173672244919 0 0.27379503909488 0.1186988256611 0.213934571437007 0.343675195169187 0.312377803922749 0.195674204065261 0.41663764624077 0.257943583651252 0.337391139846583 0.27231290641407 0.180042463874198 0.114366011035037 0.222344310114038 0.313792534301641 0.384428011092512 0.121424636144847 0.251168763836704 0.2155621659925 0.231217678067305 0.112502321802349 0.315444084588697 0.221552996637449 0.162157561718129 0.35175525861018 0.133140509413112 0.257762925230148 0.341941248480805 0.242839024834707 0.501349441239839 0.25942110287677 0.37235867697701 0.195067070734449 0.203455424597742 0.233477458581379 0.490921376745535 0.359304969145827 0.507107692954469 0.272894983703259 0.245213612167719 0.284938993339989 0.163818879081133 0.221171317468817 0.196578701781361 0.225687761432174 0.11228947246323 0.364924041440567 0.126625445545776 0.270975790665625 0.144058758865734 0.204892466815669 0.278317855786327 0.345329961977158 0.191089871479608 0.379948721468679 0.296342746062966 0.171547746937484 0.180707147254728 0.187688694746431 0.199850537780202 0.159823981557547 0.492246834463787 0.188202200802594 0.443843202448517 0.124717424649253 0.156495693909027 0.357855322657206 0.391778494591908 0.207900893112794 0.499207215457435 0.377577591266246 0.270723725565268 0.201815697481123 0.467145472260769 0.565194665475804 0.189218494163194 0.176438154587651 0.187264026469633 0.440270731694609 0.161199523654866 0.579393792910715 0.157510001223951 0.144490006381759
U10 0.10471327572663 0.27379503909488 0 0.213046609059963 0.115603799185889 0.286726091763405 0.142927745379065 0.104844629312454 0.336958379906634 0.252493423551423 0.262309586090168 0.229840008590143 0.126865671641791 0.198472953153309 0.161319570372437 0.232175189625642 0.25947187141217 0.189912915549439 0.226345337532521 0.137211668928087 0.161595866819747 0.178879848250387 0.124354861207979 0.158101707033694 0.157885272433016 0.391117478510029 0.227022780832679 0.253556777515929 0.222698723576687 0.248497332342811 0.389005675846122 0.199909543193125 0.207872849492993 0.184473316868893 0.247872785604687 0.25362711581756 0.380652642040749 0.285732753555059 0.389151325303896 0.273657095234487 0.239375158107766 0.235581352496775 0.138839230033676 0.166095199677289 0.188267523143775 0.201692877892417 0.241684434968017 0.32819050813349 0.160400529000567 0.24684852763211 0.241303297057402 0.251965026936324 0.235137869972173 0.327210103329506 0.164904051172708 0.281639482997384 0.320793626147546 0.131505931879066 0.159178853208704 0.237628425917749 0.122228662512679 0.156950541410594 0.355865659276113 0.206003878910532 0.267518340500885 0.172528446874538 0.233434277885933 0.239380022962112 0.383593396653098 0.199220598908207 0.408686077807683 0.279610718338134 0.316147362611013 0.234964232093968 0.421048168249661 0.516635572139303 0.306056337190987 0.15983012434408 0.202658582089552 0.31147737249581 0.153192371475954 0.442265417100544 0.190641746755835 0.272102056562109
U100 0.148684210526316 0.1186988256611 0.213046609059963 0 0.180502392344498 0.241593567251462 0.290243406529569 0.132981018119068 0.308070561867223 0.15089000777155 0.237068185928739 0.271551180108545 0.143034825870647 0.170114592840483 0.189805705853419 0.299928098935864 0.336875843454791 0.138844727080021 0.159262835989055 0.187998405103668 0.154385964912281 0.113418999002523 0.265699294966388 0.208123227229751 0.121776580004227 0.404130850047755 0.100232198142415 0.154239766081871 0.244879733269826 0.137364054933714 0.393316036570299 0.162878787878788 0.347545868488014 0.118405275779377 0.107620101656009 0.192639419778497 0.385731338035332 0.253215223097113 0.421389824167602 0.288226912458812 0.142358013678263 0.243339831059129 0.138078483115868 0.19327880512091 0.143210082167444 0.20118038384552 0.112781954887218 0.258155923516657 0.106179213857428 0.189515173067805 0.186455158996608 0.0916381189660542 0.233534046981861 0.239392611839588 0.130877192982456 0.273761077952614 0.194496726210846 0.144736842105263 0.165802764486975 0.0909763313609468 0.108925225685573 0.12827657378741 0.382543714298173 0.230188819506393 0.407708890871246 0.0629233976029181 0.188310450038139 0.308367071524966 0.338118022328549 0.158599458477059 0.416702617198735 0.355263157894737 0.178647968815643 0.122573445447939 0.422049441786284 0.588815789473684 0.111236873545872 0.158653730770154 0.160224780701754 0.422799981236514 0.12390350877193 0.557935536515708 0.0703446301212973 0.141941864465084
U104 0.122488038277512 0.213934571437007 0.115603799185889 0.180502392344498 0 0.344486531986532 0.139373871161951 0.112891207153502 0.404365238285943 0.254948162111216 0.317994376757263 0.140712884238064 0.105970149253731 0.135286389910667 0.0800339847068819 0.174813710879285 0.20541958041958 0.119142939731175 0.25650542118432 0.0643939393939395 0.197202797202797 0.111249619945272 0.137468139337298 0.0930048992923245 0.0923329682365828 0.29615785360771 0.146556900272071 0.272248803827751 0.306355409296586 0.242348827642945 0.488924455825864 0.231818181818182 0.195975017349063 0.19404839764552 0.227994902293968 0.195251396648045 0.478399114551177 0.34201861130995 0.479854096520763 0.174526995846793 0.204776579352851 0.134287317620651 0.0618890858445176 0.0615479115479116 0.162543153049482 0.101677852348993 0.156493506493506 0.347191011235955 0.111910241657077 0.237070024570025 0.156204835400125 0.221382463690156 0.244607087827427 0.360562571756602 0.13961038961039 0.365674789128397 0.30989675690586 0.0561771561771562 0.0882154882154882 0.198224852071006 0.175507502206531 0.0842245989304813 0.460296000602546 0.113764766307139 0.264252696456086 0.148514851485149 0.133794466403162 0.197202797202797 0.356060606060606 0.17061310782241 0.465201192250373 0.225066454013822 0.307524318664058 0.211000537923615 0.427272727272727 0.467897727272727 0.259934470149524 0.126464370103221 0.110653409090909 0.261229946524064 0.128787878787879 0.433474277660324 0.156743997841921 0.185710041592395
U105 0.234697855750487 0.343675195169187 0.286726091763405 0.241593567251462 0.344486531986532 0 0.396185921020358 0.24605343047966 0.126643824441181 0.112915401263658 0.0511407025582283 0.468725019984013 0.344423714759536 0.399633376150717 0.333008826583593 0.469975713418336 0.504451566951567 0.342942206912795 0.134641522256201 0.335016835016835 0.164280626780627 0.336608138238573 0.354383004499827 0.376885118651586 0.312472110664882 0.614778998195904 0.270424836601307 0.16703216374269 0.143340455840456 0.138522289257583 0.171850547730829 0.175925925925926 0.471232683064744 0.177208233413269 0.221400138456213 0.208540244154769 0.165142500874239 0.0758785360163313 0.236625514403292 0.49432459108855 0.207352479598242 0.434413580246914 0.340335809346951 0.377752752752753 0.266174402250352 0.405869376087497 0.321097883597884 0.130461922596754 0.301394749179559 0.141203703703704 0.396480754552393 0.24450745123822 0.137633396107972 0.0930311051579708 0.232169312169312 0.0548396334478809 0.232366469200019 0.344195156695157 0.332281144781145 0.177350427350427 0.214738403451996 0.328976034858388 0.159952361226181 0.437303829252982 0.522167294413057 0.267601760176018 0.419384057971014 0.425213675213675 0.270622895622896 0.241660793986375 0.263008500303582 0.523148148148148 0.088804267286383 0.177596975673899 0.289983164983165 0.764467592592593 0.168259657506969 0.31833928661904 0.367766203703704 0.553822539116657 0.25462962962963 0.697405254091301 0.2060322562919 0.331563180827887
U106 0.182589752527013 0.312377803922749 0.142927745379065 0.290243406529569 0.139373871161951 0.396185921020358 0 0.177939420258387 0.442121539224553 0.331116465161568 0.367071755308254 0.162918671685168 0.207373727389542 0.242238640278682 0.12025747354088 0.150732819454999 0.199503311258278 0.217569146864044 0.313961966097576 0.143638370459563 0.250101884870097 0.219561895058584 0.162313548307235 0.166276718087005 0.200630335913189 0.306552306495379 0.233127618422761 0.344041671507687 0.288094453267807 0.32651104252195 0.47341665889376 0.24287577764399 0.149436327789293 0.259397779789414 0.333323017886984 0.29023456287691 0.49136505895762 0.378761015800177 0.469760147464342 0.214593068208559 0.285189134583006 0.216253781375194 0.175450570938405 0.148894755682835 0.213722860256518 0.200386683852616 0.248462630085147 0.410707641937644 0.210495431301869 0.281143726507965 0.257767971456239 0.33079274266233 0.302559209787855 0.426737935386744 0.185127719962157 0.376092373864955 0.398375804131968 0.16838597384955 0.163388855441836 0.287961910733179 0.201215199639941 0.179132580184392 0.4385922077067 0.181707636472481 0.219497137725895 0.248934496098616 0.254534984163547 0.218415690269995 0.294902669074855 0.189371770998138 0.415372923678211 0.25355330932187 0.396563076509237 0.27873349269172 0.348359422034919 0.381432809050773 0.370806860410221 0.146433715947491 0.224389486754967 0.224935368488154 0.179497792494481 0.31718774064377 0.269666122978364 0.27569422310365
U107 0.0548748921484038 0.195674204065261 0.104844629312454 0.132981018119068 0.112891207153502 0.24605343047966 0.177939420258387 0 0.328648804795263 0.171232418122917 0.244591853980057 0.239513307386877 0.10068509909469 0.170946650241637 0.134926714672387 0.241530054644809 0.278320722992854 0.138175784270288 0.162330174963654 0.109910581222057 0.152480033627575 0.144726501818448 0.157703896634493 0.147802755145447 0.0819013759957864 0.393317362644245 0.14819232265814 0.186751030581919 0.22134856464654 0.172563855302525 0.407180789655969 0.153874813710879 0.24569307137196 0.110940755592248 0.187681936571166 0.211939432792991 0.404202092560359 0.261456047502259 0.414484860750799 0.270394718593104 0.15870149115495 0.217769682250557 0.111055299328736 0.152174715699306 0.157397800373521 0.187112626985 0.163436768149883 0.271781175170381 0.0997094832952895 0.190204548811106 0.167267276929595 0.169916254405536 0.23626933407428 0.269578965199225 0.125027322404372 0.284540307588305 0.238902271774428 0.118064312736444 0.103217972070431 0.160021987260323 0.0901374078200435 0.129026036644166 0.371299477999466 0.208391219783273 0.297351116050755 0.0950062219336688 0.21240199572345 0.222992854140395 0.358513412816692 0.174008479765247 0.420765027322404 0.295081967213115 0.236899076885362 0.153037798687231 0.413437655240934 0.540642076502732 0.221918639951427 0.121900532992457 0.177083333333333 0.324070015487566 0.103825136612022 0.470580759944084 0.108608584261647 0.192075041641098
U109 0.305842800834686 0.41663764624077 0.336958379906634 0.308070561867223 0.404365238285943 0.126643824441181 0.442121539224553 0.328648804795263 0 0.194697878736293 0.106185567010309 0.511908534846132 0.401111184167269 0.473097196404472 0.409773971756762 0.520733732938543 0.550457472043375 0.403237080044543 0.201446873863315 0.379648912027767 0.231396136902745 0.404794248080975 0.396492239285273 0.421398612466697 0.362862905365957 0.68363227850498 0.319246418715875 0.231694875956411 0.185911057069388 0.19865648733231 0.192169758639945 0.221619276465091 0.516124693143222 0.244566285297753 0.289983119930833 0.273809465213004 0.0867337906697246 0.119469978147005 0.137901943237234 0.562342628412979 0.252930635406556 0.494099091749606 0.389702183009584 0.442918799857126 0.310790163385937 0.475753185702037 0.389852108244179 0.0844082561995743 0.370590531422517 0.186150136921062 0.440984726323207 0.300868023877173 0.18106473530949 0.173255713975025 0.306758967904342 0.12904309914165 0.31192616228334 0.410507737490116 0.377549355522924 0.246951489716654 0.294709379410633 0.393521637729982 0.0949819153323673 0.496831678239877 0.567960875083999 0.33179221005801 0.484049458383877 0.491773974923755 0.172266720064077 0.286980655856796 0.153650610240485 0.575608625086947 0.149307826560712 0.248833511456351 0.179455346415699 0.811251835535977 0.234174390391528 0.360201763319814 0.431415198237885 0.595443944498104 0.303212187958884 0.74029300276611 0.274453260826939 0.381885190332975
U11 0.164390594771566 0.257943583651252 0.252493423551423 0.15089000777155 0.254948162111216 0.112915401263658 0.331116465161568 0.171232418122917 0.194697878736293 0 0.141371202036593 0.382135761701666 0.249616666901121 0.308848125609497 0.255842222554987 0.386091067814156 0.4206662799971 0.258513655863548 0.0948992209184688 0.255854968154685 0.111099833248749 0.250243507261087 0.287200401666564 0.299412485114596 0.231425229665126 0.531041969920792 0.185583921549174 0.0895188804559309 0.114862184995799 0.047419620353035 0.255253481302518 0.124503755747865 0.399759696671007 0.0899043253615768 0.146115021096303 0.146401887120299 0.250351273961373 0.162273000512071 0.325222412980293 0.408493089078879 0.123124970047445 0.327445573125749 0.249449329087238 0.287900883918792 0.190171679452153 0.321698536900101 0.229495422108523 0.15759459488081 0.214432288621911 0.114622869806659 0.304574072823701 0.150628245096454 0.180577964504225 0.117734390470615 0.176857412144877 0.135718588765704 0.142700350161599 0.257401097174895 0.247193899408791 0.0804161159413823 0.167418537192427 0.241695773502615 0.252734793191148 0.343424016358089 0.449959264524992 0.182944354755928 0.319118323339116 0.334327194953962 0.287819881186988 0.164002207817827 0.340520078490753 0.44894753377317 0.0891164860456672 0.0830186995633236 0.36564990146517 0.68848177819667 0.0819662101269025 0.236237914055217 0.287921182846371 0.47367784402768 0.168937846894963 0.629740847087361 0.121337297270086 0.246537560558739
