U0 U1 U10 U100 U104 U105 U106 U107 U109 U11 U110 U111 U112 U114 U115 U118 U119 U12 U120 U121 U123 U125 U128 U132 U133 U135 U136 U138 U14 U140 U142 U143 U144 U145 U16 U161 U162 U17 U174 U176 U182 U185 U19 U192 U195 U196 U197 U199 U20 U200 U201 U202 U203 U204 U207 U208 U209 U21 U213 U215 U216 U218 U220 U228 U233 U236 U24 U255 U258 U259 U26 U260 U275 U278 U28 U283 U286 U29 U293 U3 U31 U317 U318 U319 U32 U321 U324 U325 U349 U350 U353 U359 U36 U365 U37 U370 U39 U4 U42 U44 U5 U55 U58 U64 U66 U67 U7 U70 U71 U72 U73 U74 U75 U77 U8 U85 U87 U89 U9 U92 U95 U96 U99
U0 0 0.782992691687198 0.599581919803006 0.732434568842051 0.868104619558213 0.564605465809595 0.825262631368006 0.488511762481764 0.799143174119441 0.588012833826062 0.717195728731934 0.743732545327381 0.723329072674051 0.756244693403193 0.161310407221998 0.774327696916026 0.675241068374356 0.733989517115496 0.720377162939319 0.329126753385148 0.750649899676117 0.755353295676626 0.670910312395029 0.794128937833625 0.626087763109667 0.693616707280355 0.740782634918829 0.74419183291374 0.523859392598155 0.682500921547092 0.726248460418766 0.788465353564931 0.766183102448868 0.566798220073329 0.735685028000742 0.552200725772338 0.531183518083081 0.749699128194747 0.705191097112495 0.723950329175182 0.457385409350475 0.520322472287538 0.742547268522272 0.502347140472264 0.524980044137672 0.519031480153816 0.517483023623099 0.577391723644717 0.816573680026359 0.679385034115332 0.511950973725391 0.658325771211126 0.838631925592155 0.706322505256237 0.803725529385713 0.676290154341177 0.863571318346747 0.688608901768549 0.701355553869992 0.676850911388897 0.786498138621997 0.741940050280712 0.778878413612457 0.738303844337766 0.620290443789987 0.549256487697901 0.705028097703959 0.57954846807984 0.803634411440088 0.80525128743929 0.737291525164813 0.743019060105974 0.708226612361438 0.592542828350689 0.617233478347548 0.658103130845771 0.73956575287702 0.560414399360139 0.821724271342291 0.76883067905464 0.142966716706024 0.731996125753347 0.728471091353479 0.793740208857881 0.496536941951789 0.805197781304757 0.724791166236746 0.498270692593837 0.579825327510917 0.397896695175835 0.558765086319056 0.772346098852263 0.761782786113567 0.734043660878958 0.583683238159221 0.806978501847497 0.699690610469742 0.630401967636753 0.713223888452659 0.657614284823168 0.72276034069418 0.731711893283946 0.817392118921118 0.728368193710466 0.604266568627192 0.219474302989587 0.772520756560689 0.786820274637949 0.806850736599645 0.789468749445698 0.755548142429124 0.79641321913654 0.575037977729759 0.750921947943526 0.491039872561362 0.762989212696858 0.777830780865593 0.868339249859909 0.569738687642618 0.765173625172308 0.589538502670131 0.64104921356128 0.70972962020997
U1 0.782992691687198 0 0.693462526505393 0.349530375089748 0.947851588456684 0.36399730032658 0.721263130147029 0.732469950921296 0.40755192235704 0.848184935737971 0.944503598095138 0.606924312208953 0.610365539478632 0.436180670345308 0.676259086611497 0.569865425226209 0.584197228758861 0.503499652488712 0.605055398366997 0.661269658546989 0.138250622845754 0.215695363412644 0.385077383164612 0.339132733760595 0.923127133537779 0.75012927128222 0.448623912007898 0.423363451376281 0.791946450888602 0.241694376342098 0.155836756463756 0.12110257536681 0.403150694359384 0.721057212849032 0.395305284250442 0.615167204800537 0.85488561231534 0.229242403689161 0.392102691733059 0.367703906526232 0.926014166730979 0.852990058935959 0.226177528490939 0.907823874397512 0.790552853850312 0.905432274329174 0.959947823414605 0.785183883745513 0.252358785418985 0.616741041046281 0.816922155707185 0.579167961585873 0.471679528833423 0.228154132240044 0.510445843448749 0.406750051004993 0.369020122954518 0.650081624051145 0.249819488873824 0.286392984589709 0.231787063348457 0.368721745135957 0.411299324513439 0.636647664753903 0.700994144297476 0.834830736280686 0.305981120258227 0.898430384036942 0.242462563887636 0.202159139198371 0.197640566598688 0.654929452352921 0.288286529051664 0.42789225326983 0.798345761733272 0.762617334820284 0.725126291076092 0.745681225529263 0.189268592937927 0.175709525602611 0.794275803003591 0.816759687172973 0.148509125623102 0.235055692274445 0.948202687628887 0.208562605226673 0.275104253386287 0.907526068083377 0.894991209303311 0.938732597999003 0.283590888464512 0.222018187997376 0.188849113573484 0.245868132755307 0.803235448912121 0.166544251193314 0.596191369877922 0.824819268978639 0.607952737069864 0.284913551715971 0.418625047406505 0.281620551198386 0.601401833441284 0.886961008568729 0.839076015856001 0.790592406597829 0.318103224947016 0.241838431867554 0.387198566859225 0.45434237033804 0.0575023468432272 0.701905631859146 0.781266252355752 0.312707225853202 0.762336740041705 0.49495302353652 0.14151332994336 0.698030229212843 0.801613797419682 0.194767944854457 0.869781510011279 0.773017931088816 0.90524321599964
U10 0.599581919803006 0.693462526505393 0 0.406944108060105 0.978941522630517 0.381450494280613 0.886309685545719 0.333397026976708 0.794140278133576 0.436384866826115 0.590136105909168 0.734622884636113 0.740483654276758 0.658192075998654 0.517885115403701 0.824049083868372 0.219169287455571 0.392783879980099 0.260781595604799 0.382352941176471 0.75839725745309 0.76839583962712 0.488733173520192 0.599061353657656 0.512436850491329 0.115931641329616 0.709777135487885 0.48962448590447 0.333381628513474 0.67073865578777 0.586226400374473 0.648743553522701 0.779709369816557 0.31607289700596 0.555793042899095 0.663037628844641 0.431099495501118 0.676813132195102 0.67455414767788 0.594266448933543 0.607235563625016 0.535731003276642 0.632183908045977 0.583760587929506 0.469639468690702 0.551860373588447 0.636009099772506 0.339993783942943 0.728129300414726 0.242734188280824 0.497867708900213 0.387999152311465 0.891414552263801 0.530510917963755 0.785102948866649 0.337069855165297 0.915455234319169 0.125434042699488 0.489293907470967 0.524843355944649 0.795849457568063 0.379636210792775 0.790600643620478 0.327411703869965 0.298044719090523 0.320236616597117 0.563157471933806 0.350579160883954 0.712909301651695 0.635401475457339 0.561220937873505 0.779286353028419 0.695756211967546 0.368232173506007 0.253238268847035 0.264539327714097 0.207142247391704 0.127223903671275 0.820175361017 0.685802268108923 0.546127542498656 0.399207742475373 0.626398667400985 0.799176674026339 0.61984793917567 0.62382031117383 0.518486164797734 0.592085493201112 0.435659229208925 0.553410468451817 0.587535354112505 0.571702956434328 0.756310317539727 0.532853479713291 0.363921828678421 0.772488418647085 0.641278301073326 0.179873758129185 0.165850570406067 0.440573188491916 0.502611909194476 0.564356992348879 0.883823672256664 0.270905350969917 0.373414149803283 0.467019035731003 0.698180114399913 0.720428758807044 0.720910605621559 0.632472441582169 0.661568223093406 0.86692392173622 0.363476733977173 0.779923938716006 0.680353382072182 0.610709742693103 0.726616202250501 0.948023760277625 0.330598069948983 0.663212336808512 0.536780229333113 0.204690224547169 0.450175472487846
U100 0.732434568842051 0.349530375089748 0.406944108060105 0 0.944775813993263 0.254514522993203 0.764622177275616 0.628213101160862 0.50610173768837 0.73442411936611 0.873622956645345 0.605342850962578 0.621349421722556 0.506314220355509 0.647677620914593 0.663559783725998 0.361729198046465 0.1726497230827 0.340641328533213 0.573501029336078 0.47208470594009 0.480531738470767 0.383305065581185 0.217479374063274 0.806337781601376 0.471521588172213 0.505083408834422 0.107741501815376 0.631302521008403 0.359159259880373 0.242202449292002 0.271205271079131 0.54887621431119 0.592980320405693 0.157960199004975 0.610072013880179 0.728664370455415 0.529346232414089 0.474454028558506 0.230600772938427 0.874397679434993 0.803769613471106 0.494231429061589 0.851961924048101 0.738936366554325 0.833022388059702 0.905305997636129 0.655572941742898 0.47548609203638 0.325064662004246 0.766069045018808 0.433457711442786 0.662197238322852 0.273500562668167 0.645434735333147 0.181297460068081 0.709277704120265 0.389819967956826 0.200839643425103 0.344048489008961 0.408716509632385 0.170488144261232 0.616939840304054 0.352461498741494 0.406846581048247 0.629658699892608 0.159830180779272 0.670054333595182 0.368181414356787 0.23855232343153 0.285326500139887 0.420408040442947 0.377953980099502 0.327329697665519 0.559646654158849 0.566803993230329 0.485043140418395 0.462467051309593 0.423397243103361 0.343065468176751 0.673649690231166 0.568533453807197 0.405375142300505 0.517541507445986 0.88852294649203 0.258750114242729 0.330056087487093 0.828669154228856 0.754776119402985 0.851331360946746 0.238705241398641 0.362677761634306 0.395440120027664 0.332392954365638 0.688050133945656 0.410349996741185 0.305692186839084 0.549919168940697 0.450595351269132 0.17421210728878 0.245433789954338 0.162626963932934 0.728113306705907 0.628639373554761 0.682490598190152 0.68496460007654 0.480020387432689 0.534875314241513 0.433066808813077 0.276558858266551 0.368577168785171 0.771433546828214 0.652674129353234 0.463992359503412 0.69905492190449 0.214377567368966 0.379305984046249 0.830663775804274 0.632843179484971 0.34465932671044 0.79994161843842 0.515874574495941 0.78121298270552
U104 0.868104619558213 0.947851588456684 0.978941522630517 0.944775813993263 0 0.94613811633242 0.337454509293204 0.902652111636017 0.880002338565874 0.977167304111841 0.983425414364641 0.569443332354694 0.395572403859697 0.603342834491673 0.707238240376823 0.588402017834464 0.961530591364846 0.973547648555467 0.967588608070021 0.843038885713681 0.909922573212557 0.894017562878501 0.577052290864446 0.89189105940551 0.97931207761907 0.979792063894908 0.660518124959549 0.978519585447478 0.94469635613607 0.781159830138662 0.89852198139491 0.918187871114335 0.729408446193822 0.96450278218234 0.98096992019644 0.537269788209943 0.981993042766523 0.916047033825381 0.719811240529473 0.977997479887564 0.981993042766523 0.981993042766523 0.975649682832003 0.970919668940158 0.974570453540334 0.979946797626356 0.981993042766523 0.980969920196439 0.955068844308914 0.969780334087093 0.98096992019644 0.972484111059191 0.778070658471835 0.838467024944192 0.914134278585415 0.896293065382917 0.865415211532797 0.940398775027486 0.948074579334604 0.687406605910795 0.813946363921251 0.823970749414057 0.670568765888032 0.980560671168406 0.981993042766523 0.981993042766524 0.96410521346794 0.983220789850624 0.980969920196439 0.964046390871764 0.807355009898523 0.975593576110418 0.966368042766523 0.894022209629944 0.971986788857831 0.954576958319607 0.978619994966788 0.97720519378811 0.852216057444559 0.816305707642393 0.979688193886332 0.981993042766523 0.957180238704938 0.911519223683192 0.983425414364641 0.971782250601705 0.976173212720695 0.981993042766523 0.981993042766523 0.981993042766523 0.733467924386919 0.980151422140372 0.831023163862026 0.947601784149267 0.970945286553021 0.968690215463358 0.942094741978429 0.952929169836479 0.847851898772123 0.811307800583149 0.85215738708511 0.92507701071237 0.751086786732262 0.976178536329497 0.941599841456282 0.839194645133872 0.711533419110237 0.951748382707132 0.694584758396913 0.94425539101887 0.910006392898129 0.495897286419003 0.967067669632195 0.647566526003768 0.971400542206009 0.923881662621245 0.85414136010142 0.628474196190653 0.902505720185278 0.853666550659804 0.965254548719426 0.973221112941962 0.974056534830015
U105 0.564605465809595 0.36399730032658 0.381450494280613 0.254514522993203 0.94613811633242 0 0.756422101770572 0.43035856010184 0.431415771635324 0.549265862514843 0.637426715792343 0.580629529804048 0.641230538844853 0.505454254827363 0.49116773514222 0.676059346400933 0.277411980715098 0.275027820498393 0.338670126341086 0.380730247563729 0.413454407879963 0.418910777757696 0.39837339598771 0.320819690600237 0.624374477806167 0.399019524570108 0.530467499966798 0.259862214711615 0.490642597179844 0.338175915565511 0.24066846010186 0.357422669979186 0.51985798673111 0.417906833016177 0.219732531990328 0.592893003939331 0.553367441041397 0.388090481793166 0.478892876507191 0.24154511762199 0.621334927497949 0.549595202676714 0.350695201829774 0.603271493318148 0.48755851984865 0.599728179992861 0.652243245699085 0.486929109604348 0.365439339622989 0.333219063750117 0.512555414005252 0.329245243149875 0.595819468605812 0.257383904864218 0.628273636638257 0.245756719650201 0.599820247143447 0.353492297371396 0.190421498380198 0.34960080359494 0.414953803350695 0.239858061213977 0.507561251273481 0.330100143441092 0.415142688618115 0.533640766534155 0.232485793310941 0.576636671200865 0.336318937027188 0.338369656560597 0.300359439458677 0.411361741574016 0.349457704530393 0.126315533373187 0.485781767409077 0.448101226463312 0.409198380245416 0.443933858786757 0.450621590591575 0.347605660070228 0.54081107456744 0.504291549250495 0.263882811847857 0.447348220347697 0.639445946460999 0.33153223850491 0.235179091261465 0.604586286991854 0.600219290318694 0.630286418480332 0.229128430441678 0.302352151505022 0.380803067179205 0.33334031586029 0.508664504812616 0.400550119949879 0.331321554173914 0.470350813895494 0.251792468504933 0.184773143211688 0.22724796922079 0.25884847157213 0.701267121980028 0.559342621182847 0.546891877083953 0.489023898566642 0.435310591801411 0.392656162819634 0.458357162221476 0.34425104075746 0.329918247151867 0.795148270996512 0.479315423604911 0.413226965238698 0.673266393890021 0.320973272551936 0.36981436251292 0.766576299777095 0.502483894133994 0.29988729114577 0.580060453604901 0.453781299444164 0.608156257261625
U106 0.825262631368006 0.721263130147029 0.886309685545719 0.764622177275616 0.337454509293204 0.756422101770572 0 0.808072599214411 0.751516246030671 0.957895179068397 0.982346832814122 0.291796469366563 0.164468449515178 0.33702781821882 0.69945339453816 0.290998343674639 0.736374289062277 0.849761946746606 0.903455491371708 0.802565617502775 0.680158464928623 0.597821524049402 0.42625318606627 0.726343826488646 0.969980428676026 0.886085517504559 0.336869938524114 0.848941768359857 0.910215799715525 0.523096129837703 0.640266794472402 0.607280717382267 0.420364860721545 0.860074493719354 0.847488414624696 0.308715386466113 0.962616822429907 0.699951173553946 0.397344607624982 0.820917818950283 0.962130289233093 0.939501957025322 0.790650624843342 0.960169487103221 0.864988443372525 0.948342400148789 0.984090922129854 0.885451210933574 0.678323899535958 0.893637065185569 0.866504571587772 0.888183692131244 0.450414561662017 0.572846564627876 0.592792835354133 0.808766464447724 0.548051933989952 0.868815671365964 0.759859676049004 0.448400923178371 0.546644802379722 0.651631917622583 0.343089362143367 0.915762453068179 0.955347871235722 0.95588309294102 0.820733475216681 0.978193146417445 0.83073727933541 0.804912413816319 0.534855912655795 0.942334103775165 0.878455996884735 0.703850147775381 0.96174400277432 0.921868671642564 0.918787489160462 0.935989386605287 0.568491895147563 0.559485849735558 0.966331567406974 0.924618973778691 0.724131768011488 0.625850074990074 0.982346832814122 0.75953961189543 0.79187484080801 0.968933887158186 0.976116303219107 0.96428198369248 0.62842057537332 0.782969885773624 0.580770457603993 0.697665370738903 0.898693985142583 0.749073809556199 0.895323739494915 0.93947009265079 0.760045240788142 0.611310391125053 0.791583095065364 0.714362817166555 0.466278209234639 0.971150892896319 0.918430756903051 0.838116063583353 0.426465768584137 0.74927805848185 0.362794837561193 0.832404246780366 0.675742125103827 0.182118315713949 0.914919173602393 0.546622457667062 0.939929120450517 0.885818882175606 0.622470515207945 0.306674627785327 0.881359208462012 0.559413227754936 0.94247886070316 0.94657594141116 0.970256638480937
U107 0.488511762481764 0.732469950921296 0.333397026976708 0.628213101160862 0.902652111636017 0.43035856010184 0.808072599214411 0 0.752012882447665 0.156111155869461 0.48143341264691 0.710144927536232 0.675073718551979 0.668287087611973 0.41348790091989 0.753104164171358 0.323893099321899 0.675890985324948 0.589153496953366 0.266783275029152 0.692596365195947 0.707061362935553 0.447079490557751 0.712715217623784 0.199155560736165 0.430156535395435 0.663070488185087 0.639887477764448 0.117403483132383 0.610324051457417 0.592019695280565 0.740919759254526 0.718827959450813 0.120019398280268 0.604643449419569 0.558785833173849 0.164251207729469 0.610423265188598 0.639751552795031 0.628217080543549 0.308773352251613 0.232441471571906 0.558304181242712 0.271672371519433 0.165030388031791 0.228423101881895 0.316064803693917 0.150089605734767 0.779499557532343 0.413930791572998 0.205278661482267 0.305898046001875 0.813984954705091 0.586819284658189 0.766545139562244 0.518052377320112 0.837170847101013 0.325800376647834 0.54110530267613 0.55184277297553 0.749292867869943 0.624110723062993 0.73508866830117 0.643915216819372 0.349511290866195 0.159845921385856 0.614291863969006 0.188405797101449 0.702251552795031 0.766485589121294 0.679078744551929 0.723390992675705 0.657608695652174 0.335470085470085 0.293589290407954 0.243132588153626 0.532880892744541 0.212831897964657 0.790147113574959 0.720988943637216 0.44673983947361 0.666363380342713 0.625676376843822 0.756313583621169 0.2964606132308 0.740711917553548 0.575467140643515 0.345008051529791 0.178405797101449 0.242031844038533 0.542185480029938 0.725492710871703 0.693586035831113 0.674791984061877 0.141559829059829 0.738231230090923 0.633620841401162 0.350642353713309 0.299486138035016 0.507420280260399 0.471940970154192 0.671728584772063 0.797776416955841 0.584779206640811 0.358743200578189 0.345457079152731 0.716491093660218 0.699100390911729 0.775879917184265 0.75569711864729 0.708796159711978 0.790352758038745 0.12473862571202 0.724216400258293 0.55773821906545 0.678574352855856 0.736042965481877 0.873739751937837 0.192567496915323 0.701030404547992 0.225377107364685 0.279176201372998 0.276052449965493
U109 0.799143174119441 0.40755192235704 0.794140278133576 0.50610173768837 0.880002338565874 0.431415771635324 0.751516246030671 0.752012882447665 0 0.880323277482018 0.961441927697606 0.538302277432712 0.594370203065855 0.502229343173193 0.692632662212585 0.681859057353128 0.647338774183609 0.65585765068948 0.732844114753663 0.692500971736354 0.494002553456797 0.529433358295523 0.356862622080013 0.473557925957809 0.945266866120112 0.793619904389608 0.523311218268851 0.545991887840231 0.824990865911582 0.388753188948597 0.304356673921891 0.32991925601086 0.576764090037374 0.750390141694489 0.542488386226219 0.54240246823367 0.875749854010724 0.54342417774609 0.499681075768032 0.351147595236077 0.944009291835379 0.87081276211711 0.486070456835074 0.925752526145797 0.810039552676299 0.924526779491088 0.976071641457181 0.821451761318521 0.500182630809619 0.760005108081003 0.834747821598299 0.742488386226219 0.728079523504482 0.304551205357926 0.645521422486865 0.519559768987687 0.772298521359122 0.756553321402253 0.356877396148083 0.360439581443323 0.420083649332661 0.510345941281812 0.644871279784555 0.722084323093211 0.835936037149384 0.86276828720805 0.366690126569593 0.927766275592362 0.394266160570508 0.325501129079926 0.323152123995246 0.812028317638416 0.327697262479871 0.455508662030401 0.877991377461155 0.815865190339244 0.824257860862823 0.855130960146307 0.412276277343037 0.404648883823972 0.892129669020676 0.846358655678211 0.433134550401134 0.582409736275281 0.96431036182589 0.308275689667895 0.344638462439939 0.929319070623418 0.921122613296526 0.955167339782724 0.393118777074686 0.3918621529241 0.419227450300759 0.329183865689198 0.830164702447311 0.432607992461799 0.743920373210991 0.863301715734235 0.646447729527209 0.388774666590823 0.439126653242198 0.42245709637014 0.747674193307996 0.914972929363621 0.872302194109794 0.81118720249155 0.482680343626523 0.556505806774665 0.486378536922015 0.617376891615813 0.429003042953089 0.721071825490375 0.808722090032927 0.502424667262906 0.809317430598895 0.57982711630464 0.348562483855173 0.8015060275302 0.830311395528787 0.392427347856668 0.902009596108975 0.801968689840543 0.932482171612606
U11 0.588012833826062 0.848184935737971 0.436384866826115 0.73442411936611 0.977167304111841 0.549265862514843 0.957895179068397 0.156111155869461 0.880323277482018 0 0.554686419662036 0.84543151524917 0.818197861434427 0.794294977047064 0.511772545999347 0.904384402166423 0.431648826152739 0.780930460218863 0.667260018436841 0.397062895358991 0.840802944483498 0.847804660086999 0.558245830759728 0.822277205061883 0.20676467617286 0.49153020193797 0.800394476928329 0.746765485266833 0.163938212715599 0.750765141473097 0.725960548613421 0.867932544751018 0.864226226080483 0.152295258286611 0.715378020336858 0.66074236983243 0.185414390015996 0.732283029750193 0.758370567048763 0.742361560112392 0.389433605307602 0.280140875184112 0.692999084151562 0.340179898876718 0.21043455737313 0.264784785153909 0.364077818993376 0.106753969993425 0.907301774627555 0.504385055590315 0.284636707392398 0.459031279673283 0.964173611797037 0.698813399292667 0.900287564211562 0.622454840003034 0.98707733374222 0.434989862613108 0.664313742538055 0.670805512433033 0.883398313181007 0.726577077645337 0.869833565718772 0.756807845664619 0.45771506959507 0.19550056732687 0.72754521900615 0.169646630473652 0.814080009706168 0.883639994893013 0.796505170114668 0.869184482655562 0.785539878011118 0.462179883118734 0.334129847213805 0.324526924588691 0.6191154390048 0.324974038163159 0.92449097208686 0.844683482529477 0.557049247083684 0.781023828582666 0.747661710648359 0.885870218427057 0.333814439920502 0.857731061248553 0.681117799247148 0.436168874247935 0.124453366275479 0.250320710790136 0.686869829228615 0.849109304880649 0.841140935693572 0.78327692212923 0.134930156316815 0.871337838603268 0.756265300968009 0.421152915248357 0.345027008100463 0.612201617706321 0.607448365725503 0.777051318434889 0.938849750759032 0.628878894118261 0.404873070606755 0.482129282082957 0.84041100468614 0.818084495729816 0.90931350922086 0.889271906271351 0.829779299228789 0.927542271314354 0.0982871313598776 0.863740358086889 0.68969478556293 0.795081709781095 0.86113850538818 0.989460973064972 0.265339503449448 0.813037194507548 0.28397473875282 0.340826587778898 0.179397433257841
