U1002S0 U1003S0 U1004S0 U1007S0 U1008S0 U1009S0 U1011S0 U1012S0 U1013S0 U1014S0 U1016S0 U1017S0 U1018S0 U1019S0 U1020S0 U1021S0 U1023S0 U1025S0 U1030S0 U1031S0 U1033S0 U1034S0 U1035S0 U1036S0 U1037S0 U1039S0 U1040S0 U1041S0 U105 U109 U114 U116 U117 U120 U123 U137 U147 U149 U150 U157 U159 U176 U178 U180 U182 U187 U2002S1 U2003S1 U2004S1 U2005S1 U2006S1 U2009S1 U2010S1 U2011S1 U2013S1 U2014S1 U2015S1 U2016S1 U2017S1 U2018S1 U2019S1 U2020S1 U2021S1 U2022S1 U2023S1 U2024S1 U2025S1 U2027S1 U2028S1 U203 U2031S1 U2035S1 U2036S1 U2037S1 U2038S1 U2039S1 U2042S1 U2043S1 U215 U22 U224 U231 U245 U247 U25 U250 U253 U256 U257 U276 U277 U279 U28 U280 U281 U282 U283 U3001S2 U3002S2 U3003S2 U3004S2 U3006S2 U3008S2 U3009S2 U3010S2 U3011S2 U3013S2 U3014S2 U3015S2 U3016S2 U3017S2 U3020S2 U3022S2 U3027S2 U3028S2 U3031S2 U3032S2 U3033S2 U3034S2 U3035S2 U305 U316 U334 U346 U351 U355 U356 U358 U40 U4002S4 U4003S4 U4004S4 U4007S4 U4008S4 U4009S4 U4012S4 U4013S4 U4016S4 U4017S4 U4018S4 U4021S4 U4024S4 U4026S4 U4027S4 U41 U45 U46 U5001S3 U5002S3 U5003S3 U5004S3 U5008S3 U5011S3 U6 U64 U66 U68 U69 U70 U75 U81 U87 U92
U1002S0 0 0.755836428409005 0.1325716942001 0.425024342745862 0.122851752677702 0.335431382147936 0.363521840755244 0.763863177732193 0.281979549124557 0.569865567657737 0.71186464358566 0.862589598901937 0.862698141179154 0.927371851109162 0.968456102892583 0.88151832199471 0.98125657945413 0.957481337228173 0.935722667465608 0.191684676340434 0.329362124596674 0.505338321460906 0.318297560080719 0.805298969855932 0.780215658696671 0.60337552742616 0.476558500761796 0.958900316455696 0.4349212484298 0.886075949367089 0.394537383449319 0.766451715627737 0.432705405495199 0.251565898786592 0.32499531976786 0.959937819231623 0.560126582278481 0.548745280923829 0.893576164643073 0.957805907172996 0.673290685540583 0.63181810416987 0.253950661522265 0.789526586696711 0.173999214703738 0.955585035425251 0.505690981447749 0.288710003929647 0.271901594793678 0.158190574167673 0.318150994575045 0.384610876699484 0.13863038268719 0.426886257429336 0.301041517072537 0.678739720964612 0.584183002409588 0.369644892050879 0.302451017884686 0.625057019044361 0.910834773880555 0.92744153470336 0.966854026717848 0.882584668234943 0.923895507570117 0.94345184018735 0.918743407172996 0.867770053633235 0.933586497890295 0.354048964218456 0.934959079482153 0.303678611754918 0.806970002035439 0.807461692205196 0.835003569096955 0.33476004006921 0.663853727144866 0.474208860759494 0.795442717715914 0.953586497890295 0.965182444880252 0.981676049772295 0.418030836585134 0.33256855174403 0.605907172995781 0.953586497890295 0.344132301583007 0.174485652871132 0.134917950600048 0.450987248525538 0.267530060242433 0.22725728549695 0.906942167275986 0.291427936930935 0.957306240284255 0.940928270042194 0.466669648581354 0.259514820807292 0.268727951857232 0.31633739500769 0.769295365533002 0.414895310882891 0.116542994325622 0.256482733194052 0.306988868872213 0.301680294530249 0.778147901399067 0.713596129150615 0.970464135021097 0.950596585352223 0.875838694058242 0.964094708269505 0.879407566859309 0.934310779224721 0.164906154517678 0.36754068716094 0.479510347256665 0.347326201349933 0.477812556022395 0.946233556713825 0.238341487762552 0.24178094233474 0.451722584080947 0.463577534378348 0.461815956453119 0.334537585338911 0.483648390021153 0.845050308341448 0.896494341259513 0.814120354701144 0.389673422599449 0.196477710511833 0.547431980212425 0.0880186667859433 0.652940877433786 0.338270777990059 0.70377364910848 0.978337673873983 0.951758344325396 0.970131023761936 0.87703807886649 0.927466716582044 0.427902295513491 0.943096987400785 0.866389928933498 0.424660235952236 0.2151143341211 0.205959915611814 0.817172995780591 0.543394195692964 0.511603375527426 0.962025316455696 0.951255495559293 0.20337552742616 0.935991189972407 0.667811934900543 0.488430506238763 0.328600752651386 0.365059426031501 0.0725921281237346 0.150894112919429 0.480340747840959 0.328895678742907
U1003S0 0.755836428409005 0 0.679107885923069 0.79502533394749 0.704344196222939 0.456719158368346 0.477275664498342 0.445693593051052 0.682356443795796 0.314057930650327 0.49553872387675 0.470709184041555 0.627946809084534 0.829356139206735 0.865107135127336 0.576559758275827 0.937365633843874 0.898011668969753 0.73549646269591 0.602760332992551 0.893272278971469 0.442410725108488 0.641033585003905 0.68595627278262 0.38709248170326 0.240729068179431 0.406213058448788 0.762406437125749 0.73962761499901 0.641478822459792 0.858715188306389 0.38060106202689 0.62566599085294 0.575798713132741 0.859884326909321 0.899653324929089 0.262620328962329 0.760185370885024 0.23987535133814 0.645900036661371 0.732711995364111 0.474429683143834 0.743523157766101 0.229864877574694 0.690676991659222 0.799748278618407 0.270003073596162 0.500346437886222 0.789531107276972 0.768884492499101 0.487792272597662 0.557939676203149 0.657948910541287 0.418882664777971 0.542047186016945 0.370033655317103 0.337091403228456 0.499541063857686 0.733467355319572 0.442668716620812 0.774407132870822 0.854844965938568 0.864480425430727 0.691139844205395 0.822362627685805 0.840787324871788 0.827891092814371 0.557623714615695 0.860658682634731 0.671493171848394 0.71305813569711 0.867588766129712 0.683561820296825 0.532829078684736 0.712642445392178 0.687289449877224 0.11062908197211 0.387651363938789 0.182771080230431 0.822908638169206 0.843620856877794 0.920980984207223 0.362072846787628 0.478157356958791 0.538393800634026 0.734483207498047 0.586097781418419 0.600037122520458 0.650068254622081 0.875781585999272 0.556496832923748 0.645211327636443 0.520411309320217 0.578411597856918 0.888797304177071 0.617703844647154 0.913226550432704 0.519586141001206 0.779817414351625 0.654541384520678 0.0652601811059773 0.453310360411253 0.703174685112534 0.599151212138829 0.776789493585873 0.757920592673681 0.484898623805021 0.4787978391044 0.914807440955652 0.880289090692787 0.724387290991787 0.929964910942446 0.613075143612959 0.731005614669941 0.70964278339872 0.542878528656972 0.896729539217987 0.553263325079659 0.366876859986685 0.731023247622402 0.618120567667965 0.568820691949435 0.582751971784586 0.422504731469703 0.335717877222654 0.905534424712806 0.505984053113931 0.558252725318594 0.310341932956517 0.0737989262117475 0.549929043646811 0.70859151262692 0.67690481106752 0.71425699837075 0.265637399898997 0.50402112191732 0.492708132122851 0.951214795289803 0.903239225388346 0.911886752810169 0.545706940029406 0.672590124741275 0.457424600340603 0.662995686947783 0.230905246571397 0.775825120297648 0.602347734199121 0.651343147039255 0.363832335329341 0.228166691447804 0.33845944474687 0.744653550042772 0.747564311935569 0.788660653376791 0.609399968391662 0.339421157684631 0.463478823936709 0.502771484058909 0.641335649312063 0.697831890398769 0.768122485188353 0.766510409026046 0.516346617110606
U1004S0 0.1325716942001 0.679107885923069 0 0.33751629726206 0.215189048239896 0.319599213409495 0.269636832906556 0.744188383466202 0.163659471570535 0.563362238864801 0.712060837355483 0.783770675924035 0.780176362803481 0.935685517704313 0.97156422299367 0.837429564132832 0.993734314298484 0.970121686223381 0.912153578711597 0.154867713931377 0.242023928215354 0.430119055788101 0.237343404568902 0.807747820459685 0.697159447583176 0.538061254831995 0.473210483409785 0.967213983050847 0.308680510630957 0.807203389830509 0.288758532976873 0.719291653341861 0.481682904043774 0.338904095167912 0.207431885231677 0.970405887600357 0.481254022741901 0.623550401427297 0.801591144932549 0.960057073676928 0.728813559322034 0.700850888629658 0.142993829571194 0.696878605022629 0.269036502015372 0.963898702020403 0.541889341142475 0.337468310027584 0.192796610169492 0.0968512307600168 0.235825262308313 0.43793157564344 0.23197060965767 0.377559079035296 0.233349586572535 0.646155511567487 0.658988122913056 0.364814012948988 0.186255056582518 0.646644525881814 0.846822967221683 0.927357098744253 0.970966162883192 0.88626818659067 0.926782153539382 0.951200227069986 0.920683262711864 0.822005999816198 0.934745762711864 0.249293785310734 0.87935035662915 0.218459059441394 0.812842242503259 0.736011993259986 0.837286604965357 0.206407755151811 0.611529074906799 0.44780131826742 0.70604316084006 0.935685517704313 0.970338983050847 0.990096989484803 0.417675544794189 0.334508407282898 0.646460618145563 0.944915254237288 0.352553241295515 0.108404906574078 0.108383278249391 0.353860380185411 0.340244440090134 0.203619741708364 0.853602206253324 0.265008920606601 0.962902285047691 0.922580389672105 0.356605977121639 0.213708706795237 0.142180698342132 0.380088705845082 0.690086957723892 0.485449312440038 0.220762711864407 0.333223630080632 0.203214108851579 0.175492872845897 0.7752378828427 0.710068165070007 0.98093220338983 0.95894600965316 0.872314068722793 0.974562776638238 0.866400106519628 0.899875015242044 0.262229690239626 0.378026634382567 0.384333583576358 0.342661882556614 0.467164638268168 0.940137919574609 0.188770895017835 0.235404896421846 0.389192858318249 0.399479669798893 0.426122396170268 0.245135302247763 0.566785055972665 0.766177748804867 0.80870030096626 0.732102933623372 0.462342020182228 0.294233603537214 0.630479251899474 0.191261903335929 0.635108229528283 0.289847834727927 0.704209950792783 0.990978022869191 0.957371487001518 0.978516205768659 0.827401711190161 0.865475892101883 0.346427460737055 0.918217375844494 0.786890698450375 0.323988492501721 0.218773028739867 0.312794256120527 0.738389830508475 0.506465929525194 0.596494607087827 0.970338983050847 0.931986093003042 0.117034971036258 0.933352800835032 0.700242130750605 0.561971473160817 0.272217132386624 0.445998835554406 0.173315579577058 0.0976033539592862 0.349750858782228 0.372491720241574
U1007S0 0.425024342745862 0.79502533394749 0.33751629726206 0 0.492307692307692 0.462299900835812 0.501475742482937 0.777477956825783 0.387231313979617 0.587432915921288 0.736118186449312 0.870134383688601 0.867203742203742 0.946115765422696 0.978761198640717 0.897149499646214 0.980769230769231 0.961538461538461 0.940335305719921 0.308067542213884 0.476082740788623 0.520242914979757 0.281270903010033 0.816891066891067 0.793518518518519 0.609817813765182 0.493049036390745 0.971153846153846 0.347915443335291 0.894230769230769 0.526387089174225 0.780406386066763 0.58805269533616 0.49617773530817 0.315699658703072 0.970242914979757 0.654941577409932 0.712044534412955 0.869740973312402 0.971153846153846 0.821064240419079 0.809716599190283 0.276725578568896 0.799033427305679 0.544483581411203 0.970230589083048 0.678955439610802 0.460163542948115 0.204041720990874 0.417029083990215 0.380265567765568 0.555555555555555 0.512016438845707 0.466053212020954 0.499501309063708 0.759545199326221 0.747482255898715 0.481564664046416 0.416192191494306 0.759095634095634 0.887622839715351 0.940789473684211 0.977159122465982 0.895932607215793 0.93420060331825 0.961630474788369 0.932091346153846 0.88306619793839 0.951153846153846 0.205924960162248 0.926559660811629 0.457204767063922 0.820143415906128 0.826135852451642 0.845910711804752 0.320807969009408 0.727062619919763 0.483995726495726 0.800868486352357 0.966203351104341 0.977248104008667 0.980769230769231 0.580827067669173 0.41013690262784 0.74027149321267 0.971153846153846 0.5532340070321 0.332313912502592 0.318253378230638 0.1364392973509 0.534181858603824 0.484741046584687 0.924531220991398 0.384817813765182 0.967611336032389 0.961538461538461 0.417912476216363 0.480849559796928 0.246321984026902 0.554636951833213 0.788712510980048 0.596879535558781 0.50106100795756 0.484721184963903 0.411041832813746 0.37166076601223 0.794871794871795 0.77069397993311 0.980769230769231 0.967524197656648 0.890500210172341 0.974399804017638 0.898691881131807 0.931516325401217 0.471419098143236 0.472527472527472 0.177352247411873 0.405588645292105 0.494177237380884 0.963800904977376 0.374304306422601 0.418269230769231 0.499688822504357 0.47190115583898 0.606943628890194 0.259326510399472 0.710543766578249 0.865384615384615 0.888623292595255 0.82438639791581 0.613216985326812 0.509197324414716 0.727122015915119 0.493884207665126 0.729958294717331 0.494541838197882 0.741004962779156 0.980769230769231 0.961538461538462 0.971997300944669 0.892265484858077 0.921974975117304 0.420254057868737 0.957167832167832 0.878136441181545 0.183627515072274 0.469506197127681 0.540865384615385 0.804230769230769 0.621592290328182 0.723776223776224 0.971153846153846 0.968822843822844 0.331353456669912 0.953558538235958 0.808241758241758 0.665396969197826 0.334199584199584 0.646237032687414 0.389378423434151 0.35999185999186 0.141511050197019 0.569407603890362
U1008S0 0.122851752677702 0.704344196222939 0.215189048239896 0.492307692307692 0 0.291915462530103 0.325062257885999 0.763642064457282 0.35595109744195 0.574016100178891 0.714474019358125 0.823470806302132 0.817026160776161 0.922077303884235 0.956165044794563 0.889024436470231 0.964317756280231 0.940224358974359 0.925456114398422 0.216029549718574 0.315695701357466 0.457262145748988 0.380330267558528 0.794516838266838 0.734846866096866 0.610298582995951 0.477888411839417 0.95625 0.493741436680368 0.842307692307692 0.48099673106373 0.77408381712627 0.451695941853422 0.2652323220258 0.396683840903124 0.950986842105263 0.51896299902629 0.567813765182186 0.865247252747253 0.955288461538462 0.681067342156052 0.665485829959514 0.339900364612346 0.734655658477648 0.141157965003977 0.950499909926139 0.496958506662906 0.292257941963963 0.355231421121252 0.222207121500408 0.308104395604396 0.370299145299145 0.0702436790851425 0.383436724565757 0.292128475252462 0.661794637843908 0.604693794360253 0.369423778775969 0.385154252846851 0.630496361746362 0.855534140969163 0.925404858299595 0.954807692307692 0.886032164737917 0.912877073906486 0.940934394552816 0.9171875 0.873395325627123 0.933846153846154 0.438545740982182 0.92276944949189 0.359005958829902 0.798794002607562 0.767962775528565 0.823318899643403 0.398495434421693 0.628966073608931 0.473108974358974 0.746350897679171 0.953365384615385 0.95625 0.96116120069732 0.39281015037594 0.332345154629593 0.61677036199095 0.954807692307692 0.326755969696203 0.218952156334232 0.217954093234793 0.545776668083298 0.264495331258337 0.272863185530922 0.917976824060895 0.2792004048583 0.95043016194332 0.952403846153846 0.552308711606415 0.215372566030461 0.333632828919714 0.327053378864126 0.719358608357385 0.419212626995646 0.0915616710875331 0.261392208115509 0.391996393097948 0.37791478918571 0.786217948717949 0.712479096989967 0.960576923076923 0.948185175751401 0.881365594787726 0.954207496325331 0.890481480164937 0.921402877697842 0.183189655172414 0.358035714285714 0.573517559952824 0.353214104676213 0.485368195820133 0.952884615384615 0.316521399851868 0.247542735042735 0.413164363953199 0.469577022718214 0.448587052260716 0.353241581379993 0.490683023872679 0.802724358974359 0.85937275341481 0.76563656931304 0.397062583370387 0.199310200668896 0.553083554376658 0.0446928513182931 0.608613299351251 0.291145809241871 0.701256203473945 0.961561464850939 0.953365384615385 0.953728070175439 0.884912815236889 0.915277086591782 0.428025758645025 0.945410839160839 0.821322888113631 0.515506283140844 0.189649321266968 0.191452991452991 0.777307692307692 0.504160878624761 0.505914918414918 0.95625 0.952884615384615 0.26292599805258 0.936250845928265 0.665453296703297 0.503216109372426 0.359134615384615 0.361893227637502 0.111429804715408 0.238311457061457 0.54129904060305 0.343462643678161
U1009S0 0.335431382147936 0.456719158368346 0.319599213409495 0.462299900835812 0.291915462530103 0 0.179170475774077 0.55770532614155 0.364237129441096 0.365529573000985 0.512988913687754 0.586167875923584 0.585187397342093 0.751718542019948 0.792568062304466 0.667132516825056 0.934796170325627 0.889715257118572 0.71470136323515 0.255320486906527 0.554436139096523 0.175222373826619 0.369284970774281 0.623477463256469 0.448700634335993 0.379810022293302 0.281705819283209 0.769797421731123 0.488423094766142 0.571162727912605 0.557607754548352 0.553674554362556 0.209770739983469 0.185706278668085 0.479613322522455 0.814510031986042 0.25949949879945 0.312784724241543 0.630676137858458 0.761634156425001 0.426404483257094 0.418443047695737 0.404135705253408 0.516873487412378 0.259249587199513 0.7758333656803 0.256338061453749 0.169626599723844 0.380762867933951 0.360534655655988 0.156455538016312 0.14280233271946 0.265517418394389 0.0983781857066476 0.244831075333327 0.389791775886868 0.348222445727302 0.189713809466199 0.40335108188257 0.428581205514907 0.754926537996609 0.856047897048188 0.791970002193988 0.68976841213188 0.7465605026541 0.769559509018654 0.763222260589319 0.648826769261055 0.841068139963168 0.433529980959516 0.699907677286196 0.528752626254766 0.626023275971773 0.484798552550806 0.652788541815654 0.3935715515985 0.39963167587477 0.25804788213628 0.527587616761194 0.753560162646099 0.783812219541929 0.935402417583564 0.125541754939836 0.214387148520838 0.352708265626693 0.758747697974217 0.313644767671776 0.265455217842375 0.306355004570025 0.583793738489871 0.180787532334813 0.344065017588874 0.69193524251462 0.281932732383445 0.827648168444912 0.732689626684566 0.620580598559241 0.206014576034931 0.387902665821333 0.244161029930638 0.487590841767836 0.181486500573335 0.299042674795199 0.162831447013177 0.474655585699582 0.423882150505512 0.576814965590772 0.513216630634959 0.906928045918987 0.891027282816826 0.678622105485614 0.916739979589682 0.675582016795852 0.702008558898737 0.343354289705976 0.263598395159169 0.610401548592745 0.293961486767334 0.270539855962063 0.747711515545445 0.311859074224657 0.194904849600982 0.183393230703213 0.24148608288247 0.226505278843856 0.562061824706171 0.279324266893328 0.548321291967701 0.630161270890346 0.503983612530899 0.209944751381215 0.270069661301946 0.329491331682225 0.323165374929231 0.337926290798553 0.135944381506718 0.506557060535852 0.943288658612881 0.904532002787682 0.904574973344965 0.660046684703939 0.692415314386087 0.239596533022454 0.737395201483599 0.581803888742801 0.51072626630982 0.180916853890247 0.231391958256599 0.488268876611418 0.274603095419228 0.311819856018751 0.769797421731123 0.746719210807609 0.432937035223908 0.738595183703008 0.423520126282557 0.259163738608176 0.323521726146036 0.222287827028243 0.302456254383114 0.380893916805519 0.533247609789711 0.152251222455071
U1011S0 0.363521840755244 0.477275664498342 0.269636832906556 0.501475742482937 0.325062257885999 0.179170475774077 0 0.574416356243069 0.326516066580197 0.424446489320172 0.594442326933155 0.533493686978128 0.667104154514226 0.868052092979082 0.914615295715235 0.680367401217003 0.950009971738633 0.923399741745065 0.796815801796433 0.240878516698836 0.415996614473127 0.18239012029243 0.327758315087061 0.746942214568114 0.48994138022915 0.30064369556986 0.386649761310837 0.823988309352518 0.434716349058158 0.549760191846523 0.383203697379003 0.491529795031899 0.2732113521781 0.214047395623874 0.425334135422038 0.92712356430645 0.324932459096014 0.454003304533407 0.583022561542603 0.831025791611609 0.526978417266187 0.511235545976175 0.278027479267409 0.497203284492825 0.333619367430723 0.864245839862068 0.428263621916399 0.183975491290881 0.381843677600293 0.355557956461686 0.132172833162042 0.288302691180389 0.301510707810059 0.207956215672623 0.0779687433197688 0.440039209508306 0.482377688871347 0.252253671515343 0.317986698254689 0.513845680212587 0.803080002957986 0.871440499422324 0.913030586361236 0.765136563315719 0.871138383410918 0.883196791848818 0.8607426558753 0.660864646779865 0.882446043165468 0.36101627172838 0.773930461929669 0.390313101631371 0.742140576977792 0.488283057764315 0.773361804235119 0.344124700239808 0.410732638379093 0.31558553157474 0.523980815347722 0.866407863807964 0.898894264869794 0.949370248843418 0.285033627233552 0.231242866918273 0.468098462406545 0.800041705765822 0.339113648246152 0.249799621219466 0.256482931903482 0.458189249705208 0.248787097489638 0.16973422428918 0.63612826552917 0.180556607345702 0.917368129787668 0.734031466415652 0.441410122785164 0.125753532512336 0.358149545937021 0.292190546628118 0.478303816979043 0.335301570064703 0.343771189944596 0.239627715303485 0.303242043499979 0.330825072803038 0.61958853969456 0.571232144719007 0.934052757793765 0.908078834945289 0.755061524550851 0.942224564297607 0.709090768050994 0.79136690647482 0.313210121557926 0.331106543336759 0.47229541749905 0.206718974079386 0.349866354677938 0.789850472563126 0.296248833120574 0.138938848920863 0.242712626015692 0.282656776133497 0.340614531275743 0.429755766202489 0.455460565234815 0.531774580335731 0.562981017055515 0.514484668949333 0.331430809109937 0.352199979147117 0.473455718184073 0.354606773944802 0.475188523879692 0.148041158173882 0.570540341920012 0.961065597282939 0.918443307511212 0.933674113340906 0.643312510485439 0.734171996968045 0.262600928431567 0.729532457949724 0.540828936651327 0.42689757542408 0.241752378148632 0.290442645883293 0.485179856115108 0.307805674196534 0.477926749509483 0.806648558704057 0.804313192802401 0.353437756124215 0.778878949626223 0.515656046591298 0.421283101998059 0.350614103311945 0.348820180496824 0.320843634689771 0.331439610216589 0.489853551457275 0.209666749359133
U1012S0 0.763863177732193 0.445693593051052 0.744188383466202 0.777477956825783 0.763642064457282 0.55770532614155 0.574416356243069 0 0.643094317000946 0.419408953028771 0.23011281836505 0.292109148054669 0.403108642239077 0.476069346065041 0.494809276632221 0.265853126477019 0.655709578365897 0.598864903212729 0.389363145215988 0.61557890677721 0.793469957152822 0.500368052999632 0.554308300395257 0.337263859002989 0.288801054018445 0.548748353096179 0.357901875271331 0.384226778656126 0.777197799434773 0.794569873559175 0.750158889648869 0.39604743083004 0.585913914910834 0.613777526821005 0.800037771992068 0.567880174745163 0.377057587431831 0.817349698356563 0.427216261998871 0.520835686053077 0.78987632283565 0.230945256116881 0.658856070797565 0.321751546882437 0.773349057980745 0.395555442419306 0.460776819323027 0.517336645112832 0.758859784283513 0.737328733641531 0.55274797666102 0.621815985946421 0.742913149063732 0.532817657642342 0.600540675588241 0.234240212342402 0.41573930785684 0.406075993191195 0.704964892588037 0.250360538404017 0.471948947432571 0.574866780816438 0.519655826828955 0.413393263143167 0.428514686507014 0.723320158102767 0.77729743083004 0.382327637674016 0.548695652173913 0.658873182823072 0.382617686623164 0.749485052608139 0.349294773023587 0.576520352264059 0.348297254142345 0.636522876560412 0.383399209486166 0.346541501976285 0.577532606820619 0.439459163307635 0.437559149362579 0.636296453884827 0.51516389788701 0.440984723964932 0.601453150430132 0.385770750988142 0.46996710308264 0.710546221620873 0.655643365458725 0.774252251071852 0.668875231328109 0.546566061405491 0.349609989856238 0.493166215935095 0.574282696708326 0.224520704813269 0.79512283691113 0.616448895625097 0.753828376422817 0.700639060248975 0.414258909400409 0.444775896785741 0.767319749216301 0.686583010348312 0.687096966468355 0.71267608142267 0.280251022813952 0.255681818181818 0.633033045083365 0.592466560217784 0.387330179917493 0.951461443568893 0.374767119884857 0.371143401484346 0.739293989368952 0.423277809147374 0.78032940320919 0.433662605570062 0.34798308302969 0.346634503603813 0.569156912102908 0.523523276240668 0.735843022883968 0.382815539945524 0.565217391304348 0.788927717179257 0.573557626781015 0.712840782406 0.369731446935835 0.484460978067116 0.647284607827458 0.762450592885375 0.740595611285266 0.772664422687468 0.337766084099243 0.639926415188513 0.262989289812572 0.671728728936967 0.624404766205895 0.887698495249983 0.368310046248855 0.357776917288289 0.629328788483156 0.361964122833688 0.379451565022373 0.742288011286656 0.661939083933969 0.713054457619675 0.300731225296443 0.492982628324664 0.333333333333333 0.370896184560781 0.383399209486166 0.753624856156502 0.304475328318246 0.408977978543196 0.549364795896776 0.481999786347612 0.71358456788261 0.735973274269142 0.716314281531673 0.776869107458824 0.671618736086502
U1013S0 0.281979549124557 0.682356443795796 0.163659471570535 0.387231313979617 0.35595109744195 0.364237129441096 0.326516066580197 0.643094317000946 0 0.460240724093682 0.680962365580892 0.73524727413638 0.730423548363944 0.872432359789535 0.914888826477346 0.750168183451989 0.974070746724428 0.949277829478479 0.808729134693227 0.200867944353684 0.216478919688265 0.387471732193821 0.204032483610659 0.742753671346177 0.697988044107844 0.467896652223654 0.382963801005618 0.864092468279729 0.156069216601833 0.758040719976394 0.342723982689695 0.632087163241787 0.476362850630688 0.380175907072388 0.219376682440782 0.933114876302589 0.551750637767012 0.642440854947261 0.734780592673777 0.857873913802759 0.73325464738861 0.707027857452606 0.168521244913694 0.688789879174848 0.404897154012482 0.874977973233419 0.611159087780356 0.364256613519419 0.270868862871403 0.220234452140421 0.26304816703902 0.472265936635957 0.373216243438411 0.392509605713615 0.317580521976669 0.637370152037614 0.673480064960055 0.31922370859206 0.0760426259116263 0.703644740934502 0.811661335000644 0.895463771215041 0.910246891354808 0.78639246703938 0.871153935165096 0.883991410431441 0.86595188477427 0.749999942859742 0.903115963411036 0.21737881336483 0.793765119873442 0.192509735307686 0.73728663522563 0.694733045853544 0.770927615977534 0.145493566787172 0.617313316592497 0.341404626077834 0.720943357877898 0.866891720154606 0.895888832552708 0.972794000252441 0.485002340611044 0.292408492316074 0.664408206481176 0.84685748008262 0.407780108362655 0.18633616448968 0.178946499652506 0.374447282862386 0.449101735127418 0.314978826755379 0.772267572409625 0.212841080275194 0.930137154858001 0.81825408206319 0.25768569483269 0.325999911749473 0.196822893740114 0.433561853495228 0.681225170966234 0.528051353713735 0.354522237258473 0.396875098476797 0.172835188636296 0.0899643795414138 0.672169506090396 0.713299581767098 0.949243072166894 0.932102106738005 0.772113894680153 0.948627350006484 0.762675972988613 0.796474063003949 0.374037708204027 0.383072334864899 0.249755823907692 0.281138755436598 0.364032844240881 0.834307505829124 0.146805243763402 0.318817415822432 0.374031346417736 0.324862363299734 0.525109300633617 0.224631697856103 0.639645897595043 0.741516671584538 0.753809879682204 0.716916794347235 0.514766406787004 0.396593839403697 0.671202979212666 0.325611232349099 0.662931454350894 0.319234153437947 0.68142305752006 0.975381935081272 0.943019220696274 0.953753889001051 0.750767532009677 0.786567829266045 0.281726362408331 0.812231881426334 0.745680110017186 0.230647896836708 0.312365340250049 0.434285966033901 0.69148421363234 0.511150468885193 0.666554896858821 0.866332251401593 0.829979895190872 0.143644180165913 0.82962993088732 0.715173741376161 0.605246347453627 0.262504685269513 0.546419827056102 0.28005694986603 0.174130122197399 0.309218347582017 0.432538673124341
U1014S0 0.569865567657737 0.314057930650327 0.563362238864801 0.587432915921288 0.574016100178891 0.365529573000985 0.424446489320172 0.419408953028771 0.460240724093682 0 0.417719082088403 0.426099747828523 0.597475382359103 0.792251899608566 0.821051648454282 0.402751887051921 0.93577527241851 0.910405485986881 0.654293381037567 0.441803743618832 0.599472347078366 0.317978533094812 0.360080889787664 0.659398601259066 0.357235142118863 0.408914728682171 0.290326215796591 0.661264534883721 0.583200189360317 0.600572263484719 0.555931479041276 0.392145677928916 0.391686504303241 0.422938032644807 0.606040161917612 0.885373317013464 0.285546070061819 0.623122287748971 0.349644043663977 0.417370669197912 0.595648912228057 0.463915827134921 0.46683864843762 0.334287105807866 0.58221119164577 0.709615489352432 0.312125636817087 0.339965871053841 0.568584942845881 0.543984715260087 0.400816722037652 0.425279931093885 0.550083731734327 0.342127198466283 0.451170329049037 0.355202851807842 0.323058632488546 0.211848582583602 0.509564041312443 0.358422375864236 0.762396270873886 0.858864513699275 0.843401057845689 0.64010084379502 0.779269265845873 0.815038388783799 0.795966569767442 0.385986165402698 0.855232558139535 0.491328340559716 0.624412500762986 0.555027841467409 0.641140353536885 0.382292941656467 0.673795556053372 0.442295465952819 0.267204556241101 0.189425064599483 0.435847932571378 0.773946580704582 0.792662954471012 0.936194742736676 0.339744710613744 0.25140406023308 0.416757865937072 0.704044489383215 0.341216552082776 0.517222465993857 0.462214260216561 0.58002484046426 0.517643500470493 0.370152777400885 0.392210331343898 0.300917992656059 0.882426325204783 0.536839817430993 0.6006656257704 0.465825416253813 0.559600965815224 0.506411649641382 0.314788117910391 0.270403685827117 0.572093023255814 0.505644615037254 0.504898844880871 0.537342534861266 0.234904120767034 0.369438827098079 0.911403612324401 0.895502849222239 0.709556487482526 0.943786105762109 0.457862270558397 0.654299815961184 0.544747393744988 0.288205980066445 0.58587219206846 0.250747097812344 0.236526543731 0.62796397628819 0.375966859665398 0.339551033591731 0.541845412809513 0.197885287384022 0.399698206994497 0.594470506038527 0.426377151317007 0.518843172331544 0.372093023255814 0.35155246030759 0.506049200161312 0.569919110212336 0.544506816359262 0.580203796532172 0.318926870271785 0.467941098323288 0.405195048762191 0.944948258595749 0.903469240253391 0.906772745818033 0.407590838038728 0.623597558354469 0.433699594623426 0.573873800617987 0.37084707259546 0.548290401212201 0.467941473859513 0.520268087855297 0.330348837209302 0.32799622027403 0.335447498238196 0.655078310393925 0.661286388030574 0.560067706800118 0.400122757962218 0.355703211517165 0.379500522882327 0.292347580138278 0.519586957808154 0.541975664194686 0.52208687092408 0.582871497384368 0.506816359262229
