U1002S0 U1003S0 U1004S0 U1007S0 U1008S0 U1009S0 U1011S0 U1012S0 U1013S0 U1014S0 U1016S0 U1017S0 U1018S0 U1019S0 U1020S0 U1021S0 U1023S0 U1025S0 U1030S0 U1031S0 U1033S0 U1034S0 U1035S0 U1036S0 U1037S0 U1039S0 U1040S0 U1041S0 U105 U109 U114 U116 U117 U120 U123 U137 U147 U149 U150 U157 U159 U176 U178 U180 U182 U187 U2002S1 U2003S1 U2004S1 U2005S1 U2006S1 U2009S1 U2010S1 U2011S1 U2013S1 U2014S1 U2015S1 U2016S1 U2017S1 U2018S1 U2019S1 U2020S1 U2021S1 U2022S1 U2023S1 U2024S1 U2025S1 U2027S1 U2028S1 U203 U2031S1 U2035S1 U2036S1 U2037S1 U2038S1 U2039S1 U2042S1 U2043S1 U215 U22 U224 U231 U245 U247 U25 U250 U253 U256 U257 U276 U277 U279 U28 U280 U281 U282 U283 U3001S2 U3002S2 U3003S2 U3004S2 U3006S2 U3008S2 U3009S2 U3010S2 U3011S2 U3013S2 U3014S2 U3015S2 U3016S2 U3017S2 U3020S2 U3022S2 U3027S2 U3028S2 U3031S2 U3032S2 U3033S2 U3034S2 U3035S2 U305 U316 U334 U346 U351 U355 U356 U358 U40 U4002S4 U4003S4 U4004S4 U4007S4 U4008S4 U4009S4 U4012S4 U4013S4 U4016S4 U4017S4 U4018S4 U4021S4 U4024S4 U4026S4 U4027S4 U41 U45 U46 U5001S3 U5002S3 U5003S3 U5004S3 U5008S3 U5011S3 U6 U64 U66 U68 U69 U70 U75 U81 U87 U92
U1002S0 0 0.433251594541712 0.0983932491273525 0.391105808787231 0.276153382085585 0.222637438238789 0.345546145008286 0.0919424266881894 0.199302623416645 0.279190207156309 0.214665803254688 0.18025166923472 0.223310836720607 0.342967366557045 0.572195724384635 0.557288358461761 0.359273804602453 0.26180973209404 0.681232954640521 0.220671319375208 0.25 0.200218310585485 0.23172208114333 0.292507456172256 0.15545155578042 0.204364781760912 0.229545385387822 0.592463205993305 0.310768649465616 0.462399643175736 0.274149942809608 0.396314843348742 0.308044121603444 0.187817796610169 0.12665428372417 0.121603443637342 0.233279526499865 0.390592610657237 0.403330907074278 0.798138371769936 0.436227289354957 0.340154333746727 0.256453629887676 0.410093865385471 0.222119145522014 0.445689732209347 0.220813248328409 0.34180790960452 0.267275097783572 0.16211467278095 0.346331899822919 0.252739456050453 0.29863156028718 0.416717473478844 0.284049514069309 0.199819954057242 0.113474576271186 0.206572964034725 0.170908223572577 0.251694915254237 0.228242975268455 0.383977378210197 0.59960697617293 0.292749529190207 0.580050951440158 0.486228813559322 0.420559188576004 0.663388516620681 0.272613065326633 0.311416693316278 0.629864347413102 0.294236086068037 0.337853549419556 0.556380857427717 0.300091892995712 0.218739315195623 0.364984591679507 0.283342595165324 0.333440742411549 0.250337296568007 0.53687374001344 0.605209938366718 0.366290018832392 0.363780550613353 0.328221088945553 0.566086827237586 0.339356601248885 0.414702789809936 0.292155955342165 0.164894615047845 0.195999211667324 0.29930302550293 0.679064657878217 0.329927105227852 0.310348084419487 0.207944667169452 0.32561004928477 0.296215303108643 0.133608079869979 0.268361581920904 0.455466932535726 0.181396287328491 0.255875170003364 0.132401496808276 0.396131501770032 0.267205627162299 0.241825408729564 0.291114395233917 0.334053960567278 0.184802259887006 0.475880052151239 0.513689700130378 0.66274557456216 0.632846358882536 0.247528248587571 0.310810810810811 0.262065253514818 0.359204564524249 0.337361815562755 0.562809728063965 0.23677275822505 0.127561566172562 0.354996698217037 0.365331278890601 0.263689700130378 0.187297248040824 0.425848863495777 0.592128254412022 0.481654288072113 0.48456416464891 0.196393378005518 0.0918880911849604 0.24454679439941 0.0965501724913754 0.391353883967433 0.317429480511534 0.249451039593769 0.170713820078227 0.387952443037189 0.497862606869656 0.670116794434815 0.67887633396108 0.32015065913371 0.582827832292596 0.215353938185444 0.268778572172006 0.25013037809648 0.134013464831985 0.458031683842944 0.388983050847458 0.226096519601501 0.580291177748805 0.59571519087597 0.17048505939722 0.36293212872396 0.106317411402157 0.275514657743508 0.229661016949153 0.305517122103078 0.115208251215346 0.219166967183556 0.250255087580069 0.240594689918683
U1003S0 0.433251594541712 0 0.460199836387539 0.244901820934193 0.685186988035564 0.29953473447778 0.766965047770056 0.402281002355965 0.588432761187293 0.571608932375917 0.593493950699069 0.383953477806551 0.366678651624414 0.29919368673872 0.211656483316131 0.464392064322868 0.327884838068771 0.336576872853896 0.492426047588249 0.52336331834083 0.228584860112317 0.481259370314843 0.578875196548067 0.67044675087349 0.515249837767683 0.562139284340131 0.638414186084696 0.540820498841488 0.731259847783115 0.869375838396591 0.656616477037555 0.804455726682114 0.69143999428857 0.427529985007496 0.428041116428087 0.458548503526015 0.657666404892792 0.768266945663859 0.811195629179275 0.963016442598373 0.82851919364059 0.218189685644982 0.683771750488392 0.806171717290961 0.595335468360494 0.52502307721359 0.231370094769129 0.740406632841771 0.237227540076116 0.543843462883943 0.680341918592942 0.588194274955545 0.700628186778197 0.161519959444738 0.686640864482601 0.552416099642487 0.495172413793103 0.611701466340001 0.568576686345154 0.678687774756689 0.288815856972176 0.303818678895846 0.231009495252374 0.654032983508246 0.219289741632251 0.814720043824242 0.75105360705474 0.438971212068384 0.310390031115096 0.72360895024186 0.50214384926626 0.246068455134135 0.756541134753437 0.42043390069671 0.675054641354022 0.607176959070897 0.792302712280224 0.690857821992032 0.337368388049321 0.659110743135895 0.20712375089988 0.408158136840671 0.744941088777645 0.771058358942076 0.7069916369249 0.190378494963045 0.766016827112759 0.778195864980524 0.704848087901442 0.377719811680875 0.608634636170287 0.704048676596281 0.414681548114831 0.729066864984394 0.725735916236411 0.602870695799641 0.691803034652886 0.699192610130372 0.423277402394693 0.691203693927684 0.0705186622375087 0.589319625901335 0.656886397181047 0.322392375240951 0.807545307968364 0.6769907061923 0.611720688328402 0.705697559939376 0.197870452528838 0.297051474262869 0.471983788325617 0.865692153923038 0.448977638840154 0.503373763298423 0.370585540563052 0.73886029957994 0.680600876032572 0.781915972706716 0.764679936163472 0.55276661423588 0.635103334408745 0.516024217856229 0.780939075916587 0.763301466150042 0.619951562680198 0.598732891618707 0.838503773992234 0.796256510919798 0.508692283071947 0.0810184193617477 0.551950768801646 0.475026678800338 0.619490254872564 0.476313170848204 0.341652436621568 0.719211693792093 0.653339322241713 0.478678929765886 0.394052973513243 0.842684852264133 0.431580366302779 0.473243933588761 0.303875839857849 0.526557773744707 0.590556292143061 0.6811731120741 0.628274324376273 0.413855789875097 0.394363119947564 0.769408516080943 0.641782162353937 0.455872063968016 0.558169513374154 0.578581431717601 0.791502926950622 0.449021900532987 0.701832560114792 0.620283078799583 0.712453722118533 0.483195611496577 0.573008708411752 0.624187906046976 0.633671603504606
U1004S0 0.0983932491273525 0.460199836387539 0 0.453981407045534 0.260558266927694 0.26532618829373 0.325513241300784 0.16881508442018 0.171190563923627 0.264424330465229 0.173709714962863 0.1943640223895 0.272790154768424 0.38058117058022 0.636189439767841 0.592788016599873 0.386631971415256 0.280131497842613 0.706237175738751 0.211502435369052 0.310716470545899 0.184321477328028 0.208034650865162 0.253224351439272 0.0989004024463669 0.13971403340661 0.208719749034676 0.655338804251609 0.304458598726115 0.42746675606213 0.2385702004611 0.348460721868365 0.259629966636336 0.20057059447983 0.11576214989966 0.127792943079567 0.225740572237388 0.331821167270006 0.36396910372136 0.803678953047231 0.380233392903512 0.368960695976386 0.236306571670737 0.35944631124931 0.19334099674619 0.511494445874798 0.24632540563704 0.299572972519102 0.307202351788339 0.123840578485867 0.261748581931109 0.188693033130894 0.280861741618153 0.466350486489789 0.266431106358579 0.201745176267469 0.131374734607219 0.176075811713531 0.151995168187035 0.246270106876822 0.273407291798484 0.406747544174709 0.656166343579802 0.262448690728945 0.644153543563492 0.431794055201699 0.324539846531922 0.696553596997976 0.302371731267804 0.305528181708929 0.666017825471014 0.341916248814202 0.326292741112872 0.56822780067441 0.259054050597294 0.184921407025337 0.354202856591392 0.269443210516722 0.342790600050051 0.236904648730868 0.600630395540466 0.642262594093804 0.300034785946478 0.321624892963132 0.264735170884768 0.595262040451447 0.328515057548329 0.334434274931889 0.284048172865807 0.225922705086923 0.188478250135782 0.257877453022997 0.714263002964194 0.294494955436421 0.303486728747604 0.178662171770661 0.272620499616027 0.281496012343149 0.192298519617253 0.254597649591818 0.490841347154573 0.168638155899302 0.227914466127729 0.189242286376044 0.364537818659027 0.252111179922976 0.240046596396295 0.283575440971439 0.377908488236059 0.230615711252654 0.495847040433028 0.434550057161522 0.692448802025332 0.664413536115083 0.257829087048832 0.295403683938716 0.242076226779829 0.342130709886275 0.327527358530351 0.625685326322269 0.218521816250627 0.0914948548939539 0.347457743954559 0.315019163426807 0.229903642005553 0.17502910759537 0.386795097753301 0.606693370105282 0.522829743075932 0.505853806490749 0.207290277983509 0.159096598336717 0.217206683282563 0.0930349660860906 0.432402614479702 0.271156690963999 0.233803519086791 0.165880695737384 0.406196775623527 0.41818386787667 0.704363006322796 0.694232130219391 0.339761736258552 0.6457034305509 0.214834794978123 0.250543823280751 0.226898579127879 0.13594768340768 0.501477664330143 0.319277411925582 0.212200774703814 0.641025641025641 0.658590789134274 0.147223365866654 0.355153997961035 0.183839738315099 0.258982349671505 0.204814854798661 0.291942891806404 0.11006764429961 0.15068663323847 0.207606387888858 0.188640575334732
U1007S0 0.391105808787231 0.244901820934193 0.453981407045534 0 0.64901908591229 0.238831368896213 0.702156656047431 0.387810140237325 0.579237399846402 0.501845227956623 0.597297035770732 0.301618122977346 0.286210077757765 0.227261749504903 0.353720056593648 0.386753732534166 0.236384087141842 0.241215158158472 0.511611190446525 0.452598515134209 0.16652953760079 0.4123161149294 0.536280910659315 0.670690445435226 0.533400956383133 0.58029040295558 0.600397413327291 0.385945156283288 0.683532249087873 0.782319877363311 0.646330930966704 0.725102971462195 0.625057790106334 0.362075242718447 0.403411357893337 0.374633995993219 0.611619664046849 0.695862727293893 0.728611988008021 0.870125736113322 0.737829154152406 0.12696345410056 0.613466876447037 0.731544479270188 0.551846958120296 0.312192513977284 0.208809120869333 0.659810213372827 0.169861422288607 0.539740585271218 0.599913056078829 0.545360126439377 0.670946559631734 0.190088705734442 0.656666587925889 0.512784949678154 0.459199029126214 0.5643618280843 0.550027325310573 0.625703472107948 0.20139737242547 0.188680359991335 0.435134374560293 0.572729234088457 0.393674429686104 0.724841299477222 0.663022704686186 0.49178896665914 0.226911255305655 0.681571716431581 0.464234097903525 0.157267782138677 0.711406880694451 0.41313535122787 0.683927944788864 0.579292689068577 0.730406001765225 0.656894984313334 0.262708110303075 0.626720765106506 0.238894829134767 0.439292806707855 0.654160495858702 0.694930738078635 0.637311338316579 0.407085675353432 0.70681208482371 0.704678917701589 0.663618189248595 0.266023000035826 0.567396703544818 0.632848652572362 0.504330628644685 0.673899121346415 0.683231524380048 0.582319638025511 0.603353301659437 0.674317081779787 0.387418539699428 0.623683850676877 0.282743194365125 0.548312528895053 0.604999287970045 0.286439288866473 0.738298933915583 0.641798835951713 0.560615173124839 0.65749583344356 0.119229245096097 0.226990291262136 0.385682278886162 0.780931043066965 0.497884914184098 0.467173277077821 0.27245145631068 0.67138983643838 0.622393828785208 0.718366496843859 0.707648752975692 0.380692254478662 0.61241724596716 0.502926152701194 0.727903164796369 0.683747320640525 0.553622106049291 0.565946340954171 0.750678065467946 0.713392052847563 0.305116177593542 0.304837031900139 0.579024610521562 0.451604697502862 0.565386238919375 0.44926540080763 0.161352770363418 0.649030878693351 0.62285287528006 0.411314413741598 0.25096909562929 0.759601340321333 0.497317936176876 0.500089895720964 0.226087738223661 0.299574178163856 0.386319197746566 0.64207456053859 0.560592481951705 0.374006292074016 0.189393569790701 0.684668970434973 0.599718372489439 0.332337565347274 0.396697214408856 0.534620448644591 0.730365111272686 0.436986110465927 0.63506812783866 0.602435412209972 0.678274222310283 0.492978098893655 0.505422433381533 0.634001147297897 0.545934115270217
U1008S0 0.276153382085585 0.685186988035564 0.260558266927694 0.64901908591229 0 0.479660424309871 0.116546099149578 0.318302068302068 0.126175171629717 0.177590440748336 0.142845956799445 0.365945165945166 0.45163115751351 0.556862153877079 0.829318792132863 0.753480138095523 0.609034596839475 0.433176620273394 0.860518407408832 0.258318478906714 0.517495373427577 0.252676479857007 0.121458487312146 0.116157487402123 0.319158177367133 0.172061959672579 0.0549501167095422 0.85160305849961 0.0789815044592114 0.224472798157009 0.142552460037123 0.189814814814815 0.0877825877825878 0.305227873977874 0.273218156779801 0.290524290524291 0.0474266474266474 0.167813800907326 0.178728565231633 0.675107830845536 0.19798014402331 0.604969556189068 0.063941694376477 0.176625649066594 0.103222276299199 0.704385050606492 0.460686374447842 0.103398798314053 0.519147519147519 0.152108427970497 0.134052680321337 0.131856773717239 0.027861973823624 0.682494696883186 0.0309455345951696 0.145151145151145 0.287171717171717 0.114483980337639 0.130586996850692 0.105482590228353 0.460495844601805 0.634496222731517 0.848615555137294 0.152419432419432 0.837433050929983 0.274741462241462 0.190426954206482 0.858862154210991 0.459500484626113 0.0629012496937025 0.82388095785644 0.557223706159876 0.0783624304751065 0.710944175650058 0.143123721436974 0.106822305669568 0.116341991341991 0.0444177682299382 0.480050367883068 0.0793435420301092 0.793077830963294 0.80762987012987 0.138259104360799 0.14093970154053 0.128018490850349 0.750968329915698 0.0881321042505253 0.199723854477732 0.0543891704301261 0.413986109558065 0.139272011365035 0.086272718282064 0.876058723884811 0.0923635145271029 0.0499421776017521 0.100773543396494 0.128836490538618 0.0937761995012308 0.373347302114425 0.0771768659092603 0.712644653821124 0.177873977873978 0.0704020358895251 0.391414141414141 0.160835131132161 0.0317663186304526 0.136974464408093 0.0306333085624639 0.586545729402872 0.437556517556518 0.659433159433159 0.287536537536537 0.848331782651857 0.81762806132554 0.405603655603656 0.116623116623117 0.0589133325706216 0.147683816000648 0.100092660333624 0.822263822263822 0.0602819081079951 0.186745503818675 0.104497354497355 0.145743145743146 0.108643208643209 0.108541637573896 0.199601155805535 0.471457332282075 0.749079883911345 0.73953823953824 0.335964853406714 0.300400553675663 0.119371771545685 0.228665926011059 0.655326099434861 0.117037662164016 0.0845626108784004 0.278286528286528 0.640729640729641 0.28111711297552 0.866197352813688 0.847450697450697 0.493626743626744 0.841239462292094 0.371442670545363 0.0338472563319044 0.0951233951233952 0.302983376154108 0.724995830523469 0.177885391444713 0.137433954227847 0.841602841602842 0.852400282306824 0.145940666853214 0.111403525500442 0.311409837725627 0.0485696944924413 0.0907166907166908 0.0638442245585102 0.253124825217849 0.158098205970546 0.117153378022943 0.174936816555314
U1009S0 0.222637438238789 0.29953473447778 0.26532618829373 0.238831368896213 0.479660424309871 0 0.548173022222124 0.206949569495695 0.390150607527327 0.37286636024255 0.391413615132829 0.191524097059152 0.238199395568616 0.25376806006866 0.426603497190751 0.440800502679583 0.17060420604206 0.215557671705749 0.577159290842662 0.341690181607698 0.12095815873413 0.320591603481958 0.378318783187832 0.476016343854426 0.303959905270694 0.379143127714463 0.428559693137326 0.443377019977096 0.521794721131925 0.666711982909303 0.461039549045797 0.577756345745276 0.496573537163943 0.250023062730627 0.224599403528282 0.239784064507312 0.448251625373397 0.575681152494978 0.595857952444555 0.858780473050632 0.620603148477528 0.173956739567396 0.465408942626976 0.5980668468102 0.384391580602197 0.294880857420174 0.136152205558753 0.537772496369031 0.158466584665847 0.348638340494811 0.515850636118302 0.397391229726251 0.500144728350247 0.260280336616316 0.486145153422337 0.34728924212319 0.263136531365314 0.398010980109801 0.369243465762954 0.461761210832447 0.119180860682779 0.186743561147579 0.480400021391518 0.475120951209512 0.437368981051774 0.651983394833948 0.584812737891158 0.545181498326611 0.190732259081385 0.526554341015108 0.524350366095605 0.167988275627437 0.544971482578676 0.481376166702843 0.485664428933446 0.402059827514702 0.575838644750084 0.489913659903479 0.264454982952871 0.453406399735639 0.386696360355674 0.491141814827239 0.552379761085746 0.556926082037063 0.502073604806844 0.461092768822425 0.548317634492134 0.590072481979034 0.503520018135335 0.108856088560886 0.406268771990045 0.489296306514467 0.563298096749083 0.521429475508475 0.521712147212658 0.39673081742527 0.509526052707336 0.499212802408007 0.172066926148714 0.47071358037524 0.343794467356438 0.385573712879986 0.441905001448634 0.103333013849619 0.589266359424556 0.470883636717887 0.410165561832609 0.502478458027087 0.203196776865728 0.1230012300123 0.427598232026276 0.690013246286309 0.541320903495806 0.515322734259755 0.194316318163182 0.524400784548386 0.461028114117458 0.569105988089584 0.549365508308291 0.416425650742994 0.43542029256286 0.320891780346375 0.566360761010208 0.55330426031533 0.434572807266534 0.394179264373289 0.622611086761166 0.669817780652033 0.28275080503614 0.357894043226147 0.347056551960868 0.231215456259366 0.414936627627146 0.269313914378082 0.183860826523673 0.505193138573985 0.447786724830811 0.309466363894408 0.174323831150399 0.668745714005813 0.553904423738815 0.577087604209375 0.238041547082137 0.433546967048618 0.323038265277967 0.469680516361139 0.410956571104173 0.215590727335845 0.255780748762261 0.565365772301791 0.43838201740796 0.424543476203993 0.447606648963686 0.363842782914521 0.574369686428142 0.254506612051766 0.483125603788227 0.420226405653887 0.510006401084419 0.286810263451472 0.381172960665777 0.434134692517494 0.432267559669816
U1011S0 0.345546145008286 0.766965047770056 0.325513241300784 0.702156656047431 0.116546099149578 0.548173022222124 0 0.421222898277487 0.233551459719862 0.210059742437477 0.253260975711834 0.415633236988966 0.494979737084257 0.604840225984654 0.868406821148333 0.776495588456273 0.688557410469126 0.488422315536893 0.88576401205445 0.276156533399202 0.584328896932478 0.319815144476176 0.195085373169269 0.216930004557028 0.388350688071341 0.259514468787658 0.1415245137687 0.899820035992801 0.0654534061340598 0.128147002178512 0.256548996949076 0.0880028539746597 0.10261757172375 0.349081433713257 0.350356641000567 0.336358125200357 0.146761123965683 0.062725584379527 0.0676564073688331 0.582901452496386 0.0906811443466703 0.662579679186114 0.109511299321163 0.0693467605691461 0.175228859553533 0.745415767461622 0.540008145159959 0.0865137706921892 0.58132988786858 0.230923576557898 0.187692610731585 0.199631701566663 0.124323653572597 0.739742698942226 0.120187641303856 0.220784414545662 0.376954109178164 0.165299135294892 0.225975054328009 0.214238508230557 0.508323500862741 0.712815651879766 0.888854837728106 0.163924548423649 0.877489042068887 0.170890821835633 0.122011818108819 0.882850406662853 0.491654432932509 0.0871342712589557 0.863332412326641 0.618880479223304 0.0982927045263873 0.744613430255125 0.244154783501131 0.176748511969076 0.0393221355728854 0.0958016232263411 0.525514288777226 0.189669528780811 0.83396589404586 0.852724341495337 0.0594626837344395 0.0600891907253908 0.0748133559128882 0.771545690861828 0.0965899583241246 0.238801194582392 0.149413462017494 0.491995696801599 0.253030789190999 0.0797265780488762 0.899391619260689 0.0676265802248521 0.132044715676925 0.176862051477292 0.145419852199773 0.195814326478624 0.46341471431741 0.108150200945726 0.785516426126539 0.267957837004028 0.117022669667964 0.457636394798962 0.0511411154827027 0.136128344195939 0.194116928826624 0.118068484395764 0.665465886414554 0.508094381123775 0.686351740640883 0.174734283912448 0.881940725638406 0.853596147517195 0.4499766713324 0.111583088787648 0.104366339008413 0.0357304776668429 0.0488839711705981 0.867879004051769 0.156813491456909 0.27143839524778 0.0700768937121666 0.0562142117031139 0.16523925984034 0.203364488392644 0.0872437324081302 0.379250953932925 0.804679513535495 0.807256405861685 0.444012360318634 0.396059652698281 0.168159411595942 0.300757547605523 0.716238625386705 0.0604951211923679 0.184362317819837 0.343970628951133 0.712354232450213 0.180532035185883 0.896204698662189 0.867841987158124 0.53252682796774 0.885784948273503 0.433879226148788 0.109198566521934 0.151818866995832 0.368543712860215 0.781095037273952 0.0692119203277989 0.231640694761811 0.880836140464215 0.89521021029439 0.212591702191881 0.0952822651328765 0.419362060602234 0.101977029486806 0.185320224090775 0.0816219409179389 0.352135154364476 0.222909673384472 0.2281751007658 0.19014809754812
U1012S0 0.0919424266881894 0.402281002355965 0.16881508442018 0.387810140237325 0.318302068302068 0.206949569495695 0.421222898277487 0 0.207201889020071 0.313492063492063 0.209486895533407 0.148051948051948 0.237233354880414 0.319888651978204 0.572868309802983 0.526744622898469 0.33778552071235 0.262596006144393 0.645379902536862 0.25046685340803 0.256793112725316 0.232219324511414 0.280391018195896 0.284062265821922 0.160092395167022 0.199992976541649 0.294729417799436 0.593135791411653 0.386851683348499 0.529908103592314 0.265897360989386 0.469155844155844 0.384920634920635 0.174107142857143 0.160687105892585 0.146825396825397 0.294444444444444 0.461744889802444 0.479355341318532 0.827933905802758 0.50950668036999 0.323945025164537 0.320205157161679 0.486970378702662 0.287921480229173 0.447666471392306 0.206108926751129 0.416801183750336 0.246642246642247 0.211727927245169 0.420658611703388 0.308010335917313 0.328774798705072 0.413155190133607 0.328206465067779 0.231990231990232 0.159087301587302 0.284978706929926 0.202560850558584 0.28255313424805 0.207925996005466 0.359243697478992 0.593685300207039 0.368571428571429 0.580723536858506 0.5625 0.482033495813023 0.632244370616464 0.244875169498285 0.348382749326146 0.597656575765157 0.296521445457616 0.379406066025784 0.548646125116713 0.296968827691719 0.290963359407163 0.406349206349206 0.350424721152701 0.34680729072364 0.266109926557688 0.537546325431788 0.583107864357864 0.441485068603713 0.44013910812944 0.403954207051552 0.523809523809524 0.38515037593985 0.485748536321699 0.342393954168698 0.13408598371698 0.218807678110004 0.376909954012758 0.649528410397976 0.406803618545043 0.341185410334347 0.261709601873536 0.398429584599797 0.313405833150923 0.089410741465536 0.345238095238095 0.438375350140056 0.204761904761905 0.320671898325048 0.13023088023088 0.472065063649222 0.3125057492411 0.276127265065318 0.313286622550928 0.321995464852608 0.173968253968254 0.491147741147741 0.584554334554335 0.62202105634113 0.592403628117914 0.260912698412698 0.367224367224367 0.334155401290951 0.431046676096181 0.409115225380286 0.564428064428064 0.272132243100873 0.157665505226481 0.396103896103896 0.442207792207792 0.337118437118437 0.229749103942652 0.501398236799697 0.628784159711995 0.483859461387551 0.465674603174603 0.191214470284238 0.130484508213766 0.300690131124914 0.158217446270544 0.386191435285091 0.392269783966535 0.269311098258467 0.22008547008547 0.365384615384615 0.567811490377862 0.639300149252105 0.646560846560847 0.324074074074074 0.583500417710944 0.255036477867983 0.321934678453337 0.301159951159951 0.159504452187379 0.458762064289702 0.465254237288136 0.260299285108445 0.585470085470085 0.596387776294318 0.243738306475949 0.397839311936228 0.0872066529961267 0.350245248313918 0.254842615012107 0.349489795918367 0.135695828719085 0.276764606551841 0.246191007060572 0.307849343976512
U1013S0 0.199302623416645 0.588432761187293 0.171190563923627 0.579237399846402 0.126175171629717 0.390150607527327 0.233551459719862 0.207201889020071 0 0.184371051595932 0.0561969742730841 0.31607634789453 0.395211740131526 0.507326120284058 0.761978724792795 0.719046493522018 0.52147224541903 0.397516852648817 0.831164169223938 0.227064379470797 0.437666339823505 0.214537767230004 0.137745846171567 0.0955943977988457 0.22389821847081 0.0704960767309922 0.107123462468656 0.780889956438546 0.185813549507817 0.33639159883179 0.0781574811134209 0.297127115308934 0.184310638856093 0.269126328217237 0.185287315424302 0.253804276531549 0.0999672045126591 0.287976466524537 0.290737427658789 0.722705014806356 0.304721276107803 0.516749695241935 0.134780897626747 0.28331427579817 0.138290031646675 0.635578792512807 0.373786055479133 0.226125441071512 0.432862591953501 0.0671355812421643 0.253723413628434 0.171747068998655 0.134702099970707 0.595618900393263 0.124243429651525 0.12686555868374 0.173046044864227 0.0878063178506637 0.0321139433427787 0.101572849338643 0.397870291458491 0.542575394364072 0.78278408021491 0.203152302243211 0.769907142494984 0.394088865679775 0.306940196525021 0.823319879556666 0.428782044816764 0.151708583012185 0.792953702880466 0.473977827459452 0.189111867408922 0.681766094867699 0.106865478442697 0.124827752807842 0.222136953955136 0.147908395123531 0.456732776383658 0.105595105934319 0.725886388341334 0.767193034238489 0.253360147813152 0.261799037225958 0.238420000487579 0.722436255929079 0.195668536009445 0.319755338145579 0.145412504549954 0.32246326300335 0.0489415447132149 0.196667181586468 0.84124892820545 0.199896888911041 0.15027590075946 0.084783323978555 0.228486858080669 0.11923884154443 0.267029483592373 0.180770573856361 0.623750877761573 0.106040928768201 0.1755299371583 0.310212514757969 0.268419699112768 0.108167837547923 0.163304113424789 0.136251041502466 0.50417439703154 0.357591499409681 0.619335210244301 0.394015075833258 0.819009957328854 0.789065212862004 0.366260002623639 0.170027760936852 0.159374745226873 0.258824583757077 0.207200735678282 0.75143591052682 0.0872083087773286 0.0986912200881158 0.210153482880756 0.249704840613932 0.162814458269004 0.0832876312348453 0.314853195908272 0.530660061587897 0.663746025850214 0.648509445100354 0.213688531341808 0.184508127838815 0.164847800420923 0.141764791925693 0.569026277210842 0.216352895545544 0.0754389151518339 0.191717373535555 0.549208367390186 0.40508405512428 0.83104383917075 0.819535178626088 0.463870304779396 0.771844901509973 0.283098167127896 0.134307280300753 0.169551660460751 0.215473550839404 0.640317882209157 0.298059952374282 0.0802608217597808 0.768337722883177 0.784461927197696 0.105546228169802 0.218284018744571 0.19775678866588 0.149425389281027 0.12264022572189 0.168852251644459 0.139662099704383 0.139283830289633 0.0560421133543663 0.153733680927585
U1014S0 0.279190207156309 0.571608932375917 0.264424330465229 0.501845227956623 0.177590440748336 0.37286636024255 0.210059742437477 0.313492063492063 0.184371051595932 0 0.188494492044064 0.226475279106858 0.307533539731682 0.411713363009514 0.682935143554027 0.605661095539638 0.494365996291542 0.301112997547632 0.710800528798139 0.0945132438940488 0.401575973832887 0.136187324294509 0.13723332722049 0.207469317069498 0.189709347996858 0.187807276302851 0.161743676966204 0.710315496159416 0.202592468432227 0.319298245614035 0.195592508879561 0.235845295055821 0.152882205513784 0.199890350877193 0.179323880477449 0.203007518796992 0.156056808688388 0.227565316168118 0.2527535607936 0.561259706643658 0.275379696243006 0.456568249893025 0.13237639553429 0.252843394575678 0.170793107027925 0.558782721302377 0.342588121680348 0.189364654574289 0.376518218623482 0.215862379201762 0.216426638736144 0.10953352373181 0.17770506063726 0.537633051453574 0.171127331711273 0.0950453055716213 0.279444444444444 0.152788475253174 0.18644741812976 0.190207156308851 0.318306804538941 0.515960286110815 0.69978387998983 0.119766081871345 0.69079037060955 0.2957995951417 0.237463738085371 0.711043111655107 0.310529254459432 0.191448747655302 0.67501357011911 0.418439716312057 0.214438678856766 0.548400412796698 0.20807792573804 0.138227412912685 0.235273790536948 0.167141944887225 0.456718475529762 0.138517936632626 0.648494216451555 0.665154837852206 0.207156308851224 0.213463417983264 0.155255395124981 0.599415204678363 0.211513157894737 0.264309346078165 0.178991277967387 0.332275954338491 0.188562491500068 0.156767502869323 0.728239681328926 0.206391087657578 0.19790611279973 0.177739430543572 0.165360209033221 0.195479994037189 0.295970519907074 0.132690882134915 0.587461300309598 0.152046783625731 0.163646821972965 0.311346548188653 0.248012771201932 0.169801516024446 0.0648450033638669 0.16359927976162 0.46905955364602 0.307485380116959 0.507133217659533 0.341880341880342 0.699476875970376 0.667642495594729 0.258771929824561 0.185553975027659 0.166554493651007 0.228446528863413 0.214519529040772 0.679052257999626 0.171518504571831 0.206389958636428 0.231373889268626 0.208080808080808 0.108996851102114 0.139219015280136 0.27979371121899 0.35392174594562 0.60414613312307 0.609346282372598 0.340031279749762 0.296202660946398 0.0947876938723621 0.205661646742224 0.509178283069204 0.160164249371926 0.177237966711651 0.178559379217274 0.52393805025384 0.317393779433835 0.718037945469943 0.695711500974659 0.34307992202729 0.695906432748538 0.231453300915966 0.19482496194825 0.126315789473684 0.181999714733989 0.581151370889535 0.218455743879473 0.249854917191197 0.693657219973009 0.706454610045363 0.231761278989616 0.239405415153155 0.318979266347687 0.145772155711166 0.154425612052731 0.181644587659625 0.235495716034272 0.24819584422048 0.191848070566606 0.0915728627928202
