distribution k Trace stats.attr ratio
combined 1 gwa-t1 bot_user_iat 0.735632183908046
exponential 1 gwa-t1 bot_user_iat 0
gamma 1 gwa-t1 bot_user_iat 0.683908045977011
lognormal 1 gwa-t1 bot_user_iat 0.735632183908046
normal 1 gwa-t1 bot_user_iat 0.574712643678161
weibull 1 gwa-t1 bot_user_iat 0.482758620689655
combined 2 gwa-t1 bot_user_iat 0.919540229885057
exponential 2 gwa-t1 bot_user_iat 0
gamma 2 gwa-t1 bot_user_iat 0.873563218390805
lognormal 2 gwa-t1 bot_user_iat 0.919540229885057
normal 2 gwa-t1 bot_user_iat 0.747126436781609
weibull 2 gwa-t1 bot_user_iat 0.528735632183908
combined 3 gwa-t1 bot_user_iat 0.919540229885057
exponential 3 gwa-t1 bot_user_iat 0
gamma 3 gwa-t1 bot_user_iat 0.879310344827586
lognormal 3 gwa-t1 bot_user_iat 0.913793103448276
normal 3 gwa-t1 bot_user_iat 0.752873563218391
weibull 3 gwa-t1 bot_user_iat 0.517241379310345
combined 4 gwa-t1 bot_user_iat 0.925287356321839
exponential 4 gwa-t1 bot_user_iat 0
gamma 4 gwa-t1 bot_user_iat 0.896551724137931
lognormal 4 gwa-t1 bot_user_iat 0.913793103448276
normal 4 gwa-t1 bot_user_iat 0.775862068965517
weibull 4 gwa-t1 bot_user_iat 0.528735632183908
combined 5 gwa-t1 bot_user_iat 0.896551724137931
exponential 5 gwa-t1 bot_user_iat 0
gamma 5 gwa-t1 bot_user_iat 0.873563218390805
lognormal 5 gwa-t1 bot_user_iat 0.890804597701149
normal 5 gwa-t1 bot_user_iat 0.752873563218391
weibull 5 gwa-t1 bot_user_iat 0.557471264367816
combined 6 gwa-t1 bot_user_iat 0.942528735632184
exponential 6 gwa-t1 bot_user_iat 0
gamma 6 gwa-t1 bot_user_iat 0.931034482758621
lognormal 6 gwa-t1 bot_user_iat 0.931034482758621
normal 6 gwa-t1 bot_user_iat 0.850574712643678
weibull 6 gwa-t1 bot_user_iat 0.517241379310345
combined 7 gwa-t1 bot_user_iat 0.96551724137931
exponential 7 gwa-t1 bot_user_iat 0
gamma 7 gwa-t1 bot_user_iat 0.936781609195402
lognormal 7 gwa-t1 bot_user_iat 0.959770114942529
normal 7 gwa-t1 bot_user_iat 0.862068965517241
weibull 7 gwa-t1 bot_user_iat 0.540229885057471
combined 8 gwa-t1 bot_user_iat 0.959770114942529
exponential 8 gwa-t1 bot_user_iat 0
gamma 8 gwa-t1 bot_user_iat 0.936781609195402
lognormal 8 gwa-t1 bot_user_iat 0.954022988505747
normal 8 gwa-t1 bot_user_iat 0.867816091954023
weibull 8 gwa-t1 bot_user_iat 0.522988505747126
combined 9 gwa-t1 bot_user_iat 0.971264367816092
exponential 9 gwa-t1 bot_user_iat 0
gamma 9 gwa-t1 bot_user_iat 0.936781609195402
lognormal 9 gwa-t1 bot_user_iat 0.959770114942529
normal 9 gwa-t1 bot_user_iat 0.867816091954023
weibull 9 gwa-t1 bot_user_iat 0.540229885057471
combined 10 gwa-t1 bot_user_iat 0.977011494252874
exponential 10 gwa-t1 bot_user_iat 0
gamma 10 gwa-t1 bot_user_iat 0.96551724137931
lognormal 10 gwa-t1 bot_user_iat 0.971264367816092
normal 10 gwa-t1 bot_user_iat 0.925287356321839
weibull 10 gwa-t1 bot_user_iat 0.471264367816092
combined 11 gwa-t1 bot_user_iat 0.982758620689655
exponential 11 gwa-t1 bot_user_iat 0
gamma 11 gwa-t1 bot_user_iat 0.96551724137931
lognormal 11 gwa-t1 bot_user_iat 0.971264367816092
normal 11 gwa-t1 bot_user_iat 0.919540229885057
weibull 11 gwa-t1 bot_user_iat 0.477011494252874
combined 12 gwa-t1 bot_user_iat 0.971264367816092
exponential 12 gwa-t1 bot_user_iat 0
gamma 12 gwa-t1 bot_user_iat 0.96551724137931
lognormal 12 gwa-t1 bot_user_iat 0.96551724137931
normal 12 gwa-t1 bot_user_iat 0.931034482758621
